target,style_source,eval_granularity,group_col,model,k_clusters,baseline_r2,baseline_rmse,baseline_mae,augmented_r2,augmented_rmse,augmented_mae,delta_r2,delta_rmse,delta_mae,missing_style_games_learn,missing_style_games_val,n_train_eval_rows,n_val_eval_rows,style_map_val_rmse,style_map_val_mae
itt_relative_efficiency,oracle,config_treatment,CONFIG_treatmentName,linear,4,-2.74711619402505,0.21352292011118282,0.16812095780060166,-2.748373074485783,0.21355872768576517,0.17373131936706887,-0.001256880460732912,3.580757458235273e-05,0.005610361566467215,0,0,100,18,0.0,0.0
itt_relative_efficiency,oracle,config_treatment,CONFIG_treatmentName,ridge,4,-2.289593657680525,0.2000631248250011,0.15643075129252107,-2.214348372219424,0.197761793484528,0.1587869077949295,0.07524528546110121,-0.0023013313404731117,0.0023561565024084186,0,0,100,18,0.0,0.0
itt_relative_efficiency,oracle,game,,linear,4,-0.33086785167412147,0.3047361524696312,0.2430958919666387,-0.26563047834512954,0.29717342874160846,0.2314926779724022,0.06523737332899193,-0.007562723728022747,-0.0116032139942365,0,0,104,102,0.0,0.0
itt_relative_efficiency,oracle,game,,ridge,4,-0.2765850328198154,0.2984567372100869,0.23832653437090623,-0.20333031208735353,0.2897670110992171,0.22618307330521997,0.07325472073246186,-0.008689726110869822,-0.012143461065686256,0,0,104,102,0.0,0.0
itt_relative_efficiency,synthetic,config_treatment,CONFIG_treatmentName,linear,4,-2.74711619402505,0.21352292011118282,0.16812095780060166,-2.477581784700357,0.20570014423378447,0.1608689685164483,0.26953440932469297,-0.007822775877398352,-0.007251989284153354,0,0,100,18,0.24731852529315163,0.1756062818031912
itt_relative_efficiency,synthetic,config_treatment,CONFIG_treatmentName,ridge,4,-2.289593657680525,0.2000631248250011,0.15643075129252107,-1.9619989685859194,0.18984028250850377,0.14934751533842874,0.32759468909460576,-0.010222842316497338,-0.007083235954092326,0,0,100,18,0.24731852529315163,0.1756062818031912
itt_relative_efficiency,synthetic,game,,linear,4,-0.33086785167412147,0.3047361524696312,0.2430958919666387,-0.3283760825746209,0.3044507417571164,0.24302803134742576,0.0024917690995005515,-0.00028541071251481087,-6.786061921293385e-05,0,0,104,102,0.24731852529315163,0.1756062818031912
itt_relative_efficiency,synthetic,game,,ridge,4,-0.2765850328198154,0.2984567372100869,0.23832653437090623,-0.24725061493859224,0.29500771660975145,0.23609595629178465,0.02933441788122315,-0.003449020600335473,-0.0022305780791215812,0,0,104,102,0.24731852529315163,0.1756062818031912
