metric_scope,metric,n_groups,mean_abs_error,median_abs_error
paper_index_scenario,equality_index_mean,6,0.15627350427350434,0.16800000000000026
paper_index_scenario,intentions_index_mean,6,0.15994940476190475,0.1551666666666667
paper_index_scenario,kindness_index_mean,6,0.15572706228956235,0.1755555555555557
paper_index_scenario,payoff_index_mean,6,0.089084435053356,0.09412086640211648
paper_index_scenario,predictability_index_mean,6,0.281288821472645,0.27461538461538465
paper_index_scenario,prosociality_index_mean,6,0.13003996430588047,0.13389021164021175
paper_index_session,delegation_index_mean,4,0.5071428571428572,0.5157142857142858
scenario,C_decision_nonnull_rate,6,0.09375,0.0
scenario,PD_decision_nonnull_rate,6,0.14375,0.0
scenario,SH_decision_nonnull_rate,6,0.15375,0.0
scenario,TGReceiver_decision_direct_mean,6,0.30304008228456447,0.29000000000000026
scenario,TGReceiver_decision_nonnull_rate,6,0.10375000000000001,0.0
scenario,TGSender_decision_nonnull_rate,6,0.08499999999999999,0.0
scenario,UGProposer_decision_direct_mean,6,0.7813675213675215,0.8399999999999999
scenario,UGProposer_decision_nonnull_rate,6,0.16499999999999998,0.0
scenario,UGResponder_decision_direct_mean,6,1.6939031339031336,1.8399999999999999
scenario,UGResponder_decision_nonnull_rate,6,0.14250000000000002,0.0
session,C_delegated,4,0.375,0.32
session,PD_delegated,4,0.575,0.5700000000000001
session,SH_delegated,4,0.615,0.6199999999999999
session,TGReceiver_delegated,4,0.415,0.42
session,TGSender_delegated,4,0.33999999999999997,0.33999999999999997
session,UGProposer_delegated,4,0.6599999999999999,0.6499999999999999
session,UGResponder_delegated,4,0.57,0.5800000000000001
