dataset_name,n_rows,baseline_mean_tvd,persona_summary_mean_tvd,baseline_mean_jsd,persona_summary_mean_jsd,baseline_modal_match,persona_summary_modal_match,baseline_mean_simbench_score,persona_summary_mean_simbench_score,delta_tvd_persona_summary_minus_baseline,delta_simbench_score_persona_summary_minus_baseline
ChaosNLI,500,0.3791,0.26813065079817533,0.12385019129282991,0.07363967612014359,0.482,0.726,1.1902693310165193,30.11364444878141,-0.11096934920182466,28.92337511776489
Choices13k,500,0.17485732011312327,0.22318486917515815,0.026471136867946724,0.040137883242470536,0.46,0.46,-4.092726157978177e-15,-27.6382761847028,0.048327549062034875,-27.638276184702796
ConspiracyCorr,1,0.2734782608695651,0.2589945652173913,0.0511232060074171,0.0458195278098878,0.0,0.0,-102.9032258064516,-92.15725806451616,-0.014483695652173834,10.745967741935445
DICES,247,0.170838287809909,0.14965073308745613,0.07207553145963305,0.05903074700829943,0.902834008097166,0.9271255060728745,71.61927188417262,75.13908139365584,-0.021187554722452873,3.519809509483224
GlobalOpinionQA,23,0.15448224584451478,0.16301531440662267,0.02262216387527479,0.02669136940125806,0.6086956521739131,0.6086956521739131,37.284620434078626,33.820438315226895,0.008533068562107893,-3.464182118851731
ISSP,17,0.16746919879972466,0.21622739991586942,0.026361184773711854,0.03990965163448045,0.7647058823529411,0.4117647058823529,45.747427459358214,29.95193872492956,0.04875820111614476,-15.795488734428655
Jester,136,0.43028919820042216,0.46611337878619574,0.1702852007151383,0.1641930222597947,0.6838235294117647,0.125,-34.27409985736171,-45.45323152369224,0.03582418058577358,-11.179131666330527
MoralMachine,72,0.41910998948864553,0.36351600958147373,0.12757941828813724,0.10091254569858085,0.16666666666666666,0.16666666666666666,-89.37274906505428,-64.25288776245525,-0.0555939799071718,25.119861302599034
NumberGame,500,0.22625731196907664,0.2201220160150307,0.05679776956303078,0.050092460830296975,0.698,0.698,17.103787213632724,19.351638540459426,-0.006135295954045938,2.2478513268267015
OSPsychBig5,40,0.14000902165196466,0.18945707107772938,0.018529236959893343,0.027902043881037526,0.5,0.3,34.22040927268521,10.988531675708975,0.04944804942576472,-23.231877596976233
OSPsychMACH,1,0.2493131582233693,0.2668131582233694,0.041343770814082,0.0493677354215304,1.0,1.0,-121.31586726775558,-136.85065774887306,0.01750000000000007,-15.534790481117483
OSPsychMGKT,111,0.15655485228692245,0.1468174085539207,0.04393330583463966,0.03592984736075695,0.8918918918918919,0.9099099099099099,54.076393850707085,56.93276351516001,-0.009737443733001755,2.8563696644529273
OSPsychRWAS,22,0.31980534788596243,0.13149545227509124,0.0739355331774648,0.01708863178485436,0.45454545454545453,0.9545454545454546,24.015976046387618,68.75739051423099,-0.1883098956108712,44.74141446784337
OpinionQA,310,0.16477843476154286,0.15591578902485684,0.029757520115894942,0.02750370388465209,0.6516129032258065,0.6903225806451613,55.135421044357706,57.54847266719201,-0.00886264573668602,2.4130516228343026
TISP,10,0.14622498400571965,0.17234601375506883,0.02012255405364901,0.03403776948655076,0.7,0.8,37.521691191293655,26.360823066203572,0.026121029749349184,-11.160868125090083
WisdomOfCrowds,114,0.28286829336635005,0.26513115226716855,0.08934947195932233,0.07535561829378065,0.6403508771929824,0.631578947368421,49.253250693989955,52.435304935748846,-0.017737141099181508,3.182054241758891
