dataset_name,n_rows,baseline_mean_simbench_score,persona_summary_mean_simbench_score,delta_persona_minus_baseline,p_value,ci95_low_delta,ci95_high_delta,p_value_bh,significant_bh_0_05,direction
ChaosNLI,500,1.1902693310165198,30.113644448781415,28.923375117764888,5.424131295804291e-16,22.142065890674562,35.70468434485521,3.796891907063004e-15,True,persona_summary_better
Choices13k,500,-4.547473508864641e-15,-27.638276184702796,-27.638276184702796,1.8205767808407154e-18,-33.59141070492093,-21.685141664484657,2.5488074931770016e-17,True,baseline_better
ConspiracyCorr,1,-102.9032258064516,-92.15725806451616,10.745967741935445,,,,,False,
DICES,247,71.61927188417263,75.13908139365586,3.5198095094832262,0.0003916047616190278,1.591455396393613,5.44816362257284,0.0010964933325332779,True,persona_summary_better
GlobalOpinionQA,23,37.284620434078626,33.820438315226895,-3.464182118851734,0.674143065171002,-20.322956998715927,13.394592761012458,0.674143065171002,False,baseline_better
ISSP,17,45.74742745935822,29.95193872492956,-15.795488734428655,0.04893179283701276,-31.50751005141688,-0.08346741744043129,0.08563063746477233,False,baseline_better
Jester,136,-34.27409985736172,-45.45323152369224,-11.179131666330523,0.001386319077445049,-17.950151225404845,-4.408112107256202,0.003234744514038448,True,baseline_better
MoralMachine,72,-89.37274906505428,-64.25288776245523,25.11986130259905,3.346202398489164e-07,16.2255181046028,34.0142045005953,1.1711708394712075e-06,True,persona_summary_better
NumberGame,500,17.103787213632724,19.351638540459426,2.247851326826701,0.15349494097520694,-0.8416991021896041,5.337401755843006,0.17907743113774144,False,persona_summary_better
OSPsychBig5,40,34.22040927268521,10.988531675708973,-23.23187759697623,0.0037365714288677093,-38.46580804779864,-7.99794714615382,0.007473142857735419,True,baseline_better
OSPsychMACH,1,-121.31586726775558,-136.85065774887306,-15.534790481117483,,,,,False,
OSPsychMGKT,111,54.0763938507071,56.93276351516002,2.8563696644529264,0.060565144629000804,-0.12898600361828505,5.841725332524138,0.08782914976212143,False,persona_summary_better
OSPsychRWAS,22,24.015976046387618,68.757390514231,44.74141446784338,6.156700175466745e-08,33.31906524970252,56.163763685984236,2.8731267485511476e-07,True,persona_summary_better
OpinionQA,310,55.135421044357706,57.54847266719201,2.413051622834297,0.06273510697294388,-0.12901287867131694,4.955116124339911,0.08782914976212143,False,persona_summary_better
TISP,10,37.521691191293655,26.36082306620358,-11.160868125090081,0.479686794577761,-45.401620880994095,23.07988463081393,0.5165857787760503,False,baseline_better
WisdomOfCrowds,114,49.253250693989955,52.43530493574884,3.1820542417588884,0.09615942436717533,-0.5754880009262675,6.939596484444044,0.12238472192185951,False,persona_summary_better
