dataset_name,n_rows,baseline_mean_simbench_score,persona_summary_mean_simbench_score,baseline_median_simbench_score,persona_summary_median_simbench_score,delta_simbench_score_persona_summary_minus_baseline
ChaosNLI,500,-14.070463697391318,17.623680754407605,-19.999999999999996,38.07565789473685,31.694144451798923
Choices13k,500,0.4,-216.81025781040776,0.0,-54.19973544973544,-217.21025781040777
ConspiracyCorr,1,-102.9032258064516,-92.15725806451616,-102.9032258064516,-92.15725806451616,10.745967741935445
DICES,247,68.36757804439107,71.58265006099687,85.00000000000001,88.1171875,3.215072016605802
GlobalOpinionQA,23,-127.5901334937481,-79.1670580078443,43.846153846153854,36.05324074074073,48.423075485903794
ISSP,17,44.73102504883472,26.153276810044492,47.05824639074005,27.16414888741856,-18.577748238790225
Jester,136,-38.02192956941198,-47.10327021675829,-33.51982378854625,-41.39886975640663,-9.081340647346309
MoralMachine,72,-108.7088646473321,-62.91071236838369,-94.13919413919413,-58.60768826761584,45.798152278948415
NumberGame,500,-35.62841013376348,-8.426683137971965,60.00000000000001,40.81250000000001,27.201726995791518
OSPsychBig5,40,6.43371655517177,-32.72006866629802,36.29711032437207,-3.2212354950448385,-39.15378522146979
OSPsychMACH,1,-121.31586726775558,-136.85065774887306,-121.31586726775558,-136.85065774887306,-15.534790481117483
OSPsychMGKT,111,-353.23664423171834,-324.58297210746815,76.93474623535974,80.85555593358738,28.653672124250193
OSPsychRWAS,22,21.427114020005472,64.76151105635653,28.23649618630725,75.9604502205384,43.33439703635105
OpinionQA,310,50.817968273487395,53.168417328331444,57.89196277940034,61.49721836267009,2.3504490548440486
TISP,10,17.366369267850605,7.1536827143229775,53.82630384824071,52.27473735795938,-10.212686553527627
WisdomOfCrowds,114,38.50088962018067,43.572476322940666,58.8900564312123,62.95501056567334,5.071586702759994
