metric,direction,observed,null_mean,null_sd,null_ci_low,null_ci_high,observed_minus_null_mean,z_score,collapse_tail_p
total_top1,higher_is_more_collapsed,1536.0,1536.0,0.0,1536.0,1536.0,0.0,nan,1.0
candidate_identities,higher_is_more_collapsed,144.0,144.0,0.0,144.0,144.0,0.0,nan,1.0
selected_identities,lower_is_more_collapsed,135.0,143.99955,0.02120842992774226,144.0,144.0,-8.99955,-424.3383423790318,4.999750012499375e-05
selected_identity_share,lower_is_more_collapsed,0.9375,0.9999968749999998,0.00014728076338708888,1.0,1.0,-0.062496874999999785,-424.3383423790596,4.999750012499375e-05
never_selected_identities,higher_is_more_collapsed,9.0,0.00045,0.021208429927742273,0.0,0.0,8.99955,424.33834237903153,4.999750012499375e-05
never_selected_identity_share,higher_is_more_collapsed,0.0625,3.1250000000000006e-06,0.00014728076338709365,0.0,0.0,0.062496875,424.33834237904733,4.999750012499375e-05
entropy_effective_n,lower_is_more_collapsed,105.43229402957834,139.46354605349737,0.6447948652424991,138.1179275458451,140.62738702016796,-34.03125202391902,-52.778416607148856,4.999750012499375e-05
entropy_effective_n_share,lower_is_more_collapsed,0.7321687085387385,0.9684968475937299,0.004477742119739584,0.9591522746239244,0.9765790765289442,-0.2363281390549914,-52.778416607148365,4.999750012499375e-05
simpson_effective_n,lower_is_more_collapsed,92.1456022496484,135.52085333012974,1.1311202360768522,133.17317678934307,137.5843247025893,-43.375251080481334,-38.3471621292206,4.999750012499375e-05
simpson_effective_n_share,lower_is_more_collapsed,0.6399000156225584,0.9411170370147957,0.007855001639422621,0.9248137277037713,0.9554466993235368,-0.30121702139223727,-38.34716212922116,4.999750012499375e-05
hhi,higher_is_more_collapsed,0.010852389865451399,0.007379453362358957,6.172790591023314e-05,0.00726826985677083,0.007509019639756941,0.0034729365030924412,56.262017184624824,4.999750012499375e-05
gini,higher_is_more_collapsed,0.4246509693287037,0.13998686387803785,0.010161682085082504,0.12065949616608805,0.16014765986689822,0.2846641054506659,28.013482715480436,4.999750012499375e-05
top_1pct_share,higher_is_more_collapsed,0.0390625,0.02271686197916672,0.001196495631258383,0.020833333333333332,0.025390625,0.01634563802083328,13.661260094733636,4.999750012499375e-05
top_5pct_share,higher_is_more_collapsed,0.146484375,0.08392858072916674,0.0028103859958433053,0.07877604166666667,0.08984375,0.06255579427083326,22.258790914613243,4.999750012499375e-05
top_10pct_share,higher_is_more_collapsed,0.25390625,0.1499075520833328,0.004096109553117143,0.142578125,0.158203125,0.10399869791666719,25.389628028265037,4.999750012499375e-05
