persona_pid,n_requests,top1_unique_player_identities,top1_effective_n,probability_unique_player_identities,probability_effective_n,top_probability_player_identity,top_probability_share
102,48,48,48.00000000000018,144,112.71404681664775,chip2__cohort_14_m8agmu__game_2_alt_profile::otter-pink-5988,0.01624999999999999
1032,48,48,48.00000000000018,144,116.31288125876478,chip2__cohort_01_m7xia7__game_1::dog-orange-384,0.015624999999999995
1070,48,48,48.00000000000018,143,109.94693386203309,chip3__g7_m5wp78__game_2_alt_profile::badger-green-4722,0.01708333333333333
1096,48,48,48.00000000000018,144,114.57651361814987,chip3__cohort_01_m8aiq8__game_2_alt_profile::goose-green-3433,0.015625
1191,48,48,48.00000000000018,142,111.67391389444082,chip2__cohort_04_m8aexq__game_2_alt_profile::iguana-orange-9224,0.015624999999999995
1264,48,48,48.00000000000018,143,111.88190739396073,chip2__cohort_12_m8agmu__game_1::buffalo-orange-6610,0.015624999999999995
1266,48,48,48.00000000000018,144,106.9193271057015,chip4__cohort_04_m8aboy__game_1::ram-red-1301,0.01729166666666666
1306,48,48,48.00000000000018,143,112.44578789086319,chip3__g17_m5wp8w__game_1::owl-green-168,0.016666666666666666
14,48,48,48.00000000000018,144,110.29850001959775,chip2__cohort_14_m8agmu__game_1::ram-pink-8623,0.017708333333333326
1431,48,48,48.00000000000018,144,107.55934165022734,chip2__cohort_14_m8agmu__game_2_alt_profile::otter-pink-5988,0.015833333333333328
1474,48,48,48.00000000000018,144,111.76888538638103,chip2__cohort_14_m8agmu__game_1::ram-pink-8623,0.016666666666666666
1519,48,48,48.00000000000018,144,111.14860201823029,chip2__cohort_14_m8agmu__game_1::squid-yellow-4597,0.01666666666666666
1611,48,48,48.00000000000018,144,110.12026681735585,chip3__g7_m5wp78__game_2_alt_profile::badger-green-4722,0.01749999999999999
1709,48,48,48.00000000000018,144,110.7247877322339,chip3__g7_m5wp78__game_2_alt_profile::badger-green-4722,0.016249999999999994
1715,48,48,48.00000000000018,144,111.67496780628153,chip2__cohort_14_m8agmu__game_2_alt_profile::otter-pink-5988,0.017708333333333326
1749,48,48,48.00000000000018,143,111.1147870988039,chip2__cohort_12_m8agmu__game_1::buffalo-orange-6610,0.01666666666666665
1770,48,48,48.00000000000018,143,108.83680560899231,chip2__cohort_01_m7xia7__game_1::dog-orange-384,0.016249999999999994
1799,48,48,48.00000000000018,142,109.98038230069163,chip2__cohort_12_m8agmu__game_1::buffalo-orange-6610,0.016249999999999997
1856,48,48,48.00000000000018,144,110.34763197448956,chip2__cohort_14_m8agmu__game_1::squid-yellow-4597,0.016666666666666666
2004,48,48,48.00000000000018,142,107.97238720095287,chip2__cohort_12_m8agmu__game_1::buffalo-orange-6610,0.016666666666666663
2048,48,48,48.00000000000018,144,112.42680837341113,chip2__cohort_12_m8agmu__game_2_alt_profile::goose-purple-9985,0.016249999999999987
222,48,48,48.00000000000018,144,110.65789749583848,chip2__cohort_12_m8agmu__game_1::monkey-pink-6874,0.016666666666666656
336,48,48,48.00000000000018,144,109.76521416692486,chip3__g9_m5wp79__game_1::rabbit-yellow-6681,0.016666666666666653
377,48,48,48.00000000000018,143,108.57257485002864,chip2__cohort_12_m8agmu__game_1::buffalo-orange-6610,0.01624999999999999
380,48,48,48.00000000000018,144,108.6263244255839,chip3__g7_m5wp78__game_2_alt_profile::badger-green-4722,0.016666666666666666
411,48,48,48.00000000000018,143,108.76307749925188,chip2__cohort_01_m7xia7__game_1::cat-pink-8143,0.01624999999999999
447,48,48,48.00000000000018,144,112.56026268847683,chip2__cohort_12_m8agmu__game_1::monkey-pink-6874,0.015625
472,48,48,48.00000000000018,144,111.30963691468347,chip2__cohort_14_m8agmu__game_1::ram-pink-8623,0.016666666666666656
553,48,48,48.00000000000018,140,109.39964256945419,chip2__cohort_12_m8agmu__game_2_alt_profile::goose-purple-9985,0.016666666666666663
569,48,48,48.00000000000018,143,110.80213343379656,chip2__cohort_05_m7xjzy__game_2_alt_profile::owl-yellow-7660,0.016666666666666656
860,48,48,48.00000000000018,143,109.40548991902718,chip2__cohort_05_m7xjzy__game_1::owl-yellow-7660,0.017083333333333322
927,48,48,48.00000000000018,141,105.95096902457254,chip2__cohort_07_m8ag8i__game_1::whale-green-1798,0.01666666666666667
