baseline,metric,matched_value,baseline_value,difference
candidate_uniform,final_surplus,2.7266324869792147,2.4362500000001237,0.29038248697909097
unique_sampled_players,final_surplus,2.7266324869792147,2.4362500000000007,0.290382486979214
candidate_uniform,final_welfare,18.750846809896224,18.24888888888986,0.5019579210063654
unique_sampled_players,final_welfare,18.750846809896224,18.24888888888889,0.5019579210073353
candidate_uniform,proposer_mean_net_surplus,1.2644220920139064,1.330787037037101,-0.06636494502319468
unique_sampled_players,proposer_mean_net_surplus,1.2644220920139064,1.3307870370370367,-0.06636494502313028
candidate_uniform,proposer_acceptance_rate,0.5259982638889039,0.45833333333333026,0.06766493055557365
unique_sampled_players,proposer_acceptance_rate,0.5259982638889039,0.45833333333333354,0.06766493055557038
candidate_uniform,proposer_mean_trade_ratio,0.951489275450304,0.9369775063505065,0.014511769099797567
unique_sampled_players,proposer_mean_trade_ratio,0.951489275450304,0.9369775063504636,0.014511769099840421
candidate_uniform,response_acceptance_rate,0.2822612847222305,0.2916666666666651,-0.009405381944434577
unique_sampled_players,response_acceptance_rate,0.2822612847222305,0.29166666666666663,-0.00940538194443613
candidate_uniform,response_mean_net_surplus_if_accepted,0.8520990427154311,0.8346693121693278,0.017429730546103306
unique_sampled_players,response_mean_net_surplus_if_accepted,0.8520990427154311,0.834669312169312,0.017429730546119182
candidate_uniform,received_trade_rate,0.22982421875000694,0.2291666666666652,0.0006575520833417559
unique_sampled_players,received_trade_rate,0.22982421875000694,0.22916666666666663,0.0006575520833403126
