bootstrap_iter,metric_family,metric,distance_kind,n_treatments,mean_value,median_value,score
0,distribution_distance,final_surplus_ratio,wasserstein_1d,2,0.06018391063817706,0.06018391063817706,0.06018391063817706
0,distribution_distance,final_total_surplus,wasserstein_1d,2,2.0019021739130434,2.0019021739130434,2.0019021739130434
0,distribution_distance,mean_player_final_surplus,wasserstein_1d,2,0.6673007246376811,0.6673007246376811,0.6673007246376811
0,distribution_distance,proposer_net_surplus,wasserstein_1d,2,0.3308574879227053,0.3308574879227053,0.3308574879227053
0,distribution_distance,trade_ratio,wasserstein_1d,2,0.1361826403266621,0.1361826403266621,0.1361826403266621
0,distribution_distance,acceptance_rate,wasserstein_1d,2,0.03925120772946858,0.03925120772946858,0.03925120772946858
0,distribution_distance,accepted_proposer_net_surplus,wasserstein_1d,2,0.30605162559710675,0.30605162559710675,0.30605162559710675
0,distribution_distance,accepted_trade_ratio,wasserstein_1d,2,0.14676708615690934,0.14676708615690934,0.14676708615690934
0,distribution_distance,declined_proposer_net_surplus,wasserstein_1d,2,0.4031097121684448,0.4031097121684448,0.4031097121684448
0,distribution_distance,declined_trade_ratio,wasserstein_1d,2,0.12572650517877604,0.12572650517877604,0.12572650517877604
1,distribution_distance,final_surplus_ratio,wasserstein_1d,2,0.15676859337948287,0.15676859337948287,0.15676859337948287
1,distribution_distance,final_total_surplus,wasserstein_1d,2,2.05679347826087,2.05679347826087,2.05679347826087
1,distribution_distance,mean_player_final_surplus,wasserstein_1d,2,0.6855978260869567,0.6855978260869567,0.6855978260869567
1,distribution_distance,proposer_net_surplus,wasserstein_1d,2,0.24984903381642515,0.24984903381642515,0.24984903381642515
1,distribution_distance,trade_ratio,wasserstein_1d,2,0.05009220991256013,0.05009220991256013,0.05009220991256013
1,distribution_distance,acceptance_rate,wasserstein_1d,2,0.06652576489533013,0.06652576489533013,0.06652576489533013
1,distribution_distance,accepted_proposer_net_surplus,wasserstein_1d,2,0.23085688440759639,0.23085688440759639,0.23085688440759639
