PID;Duration;A1comp1;A1comp2;A1comp3;A1comp4;A2comp1;A2comp2;A2comp3;A2comp4OB;checkObs;calcPun;uncalcPun;A2comp4HID;checkHid;return;G1Bcomp1;G1Bcomp2;G1Bcomp3;G1Bcomp4;G2Bcomp1;G2Bcomp2;G2Bcomp3;punUncalc;noUncalc;punCalc;noCalc;punHid;noPunHid;gender;age;Condition;RecordedDate
635;334;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;10;1;33;6;22/11/2023 22:42
636;370;;;;;;;;;;;;;;;0;0;1;1;0;0;1;6;8;6;6;;;1;35;5;22/11/2023 22:43
637;176;;;;;;;;;;;;;;;0;0;1;1;1;1;1;10;10;10;10;;;3;21;5;22/11/2023 22:43
638;450;1;0;1;1;1;1;1;1;0;;0;;;50;;;;;;;;;;;;;;1;65;3;22/11/2023 22:46
639;258;1;1;1;0;0;0;1;1;1;1;;;;60;;;;;;;;;;;;;;2;23;3;22/11/2023 22:47
640;280;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;0;10;1;35;6;22/11/2023 22:47
641;205;;;;;;;;;;;;;;;1;1;1;0;0;0;1;;;;;6;6;1;36;6;22/11/2023 22:50
642;1435;;;;;;;;;;;;;;;1;1;1;0;1;1;1;;;;;2;5;1;37;6;22/11/2023 22:52
643;1003;;;;;;;;;;;;;;;0;0;0;1;0;1;1;;;;;10;10;2;32;6;22/11/2023 22:52
644;1412;;;;;;;;;;;;;;;0;0;1;1;1;0;1;5;0;2;0;;;2;30;5;22/11/2023 22:53
645;986;0;0;1;1;1;1;1;;;0;;1;1;50;;;;;;;;;;;;;;2;33;4;22/11/2023 22:55
646;422;;;;;;;;;;;;;;;0;1;1;1;1;1;1;0;5;10;10;;;2;30;5;22/11/2023 22:56
647;540;1;0;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;30;3;22/11/2023 22:56
648;133;;;;;;;;;;;;;;;1;1;1;0;1;0;1;2;5;4;4;;;2;26;5;22/11/2023 22:58
649;439;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;2;2;26;6;22/11/2023 22:59
650;339;;;;;;;;;;;;;;;0;1;1;0;1;1;1;5;7;4;6;;;2;33;5;22/11/2023 23:00
651;490;1;1;1;0;0;0;0;0;1;0;;;;50;;;;;;;;;;;;;;2;54;3;22/11/2023 23:00
652;663;1;1;1;1;1;1;1;;;;0;1;0;10;;;;;;;;;;;;;;2;30;4;22/11/2023 23:01
653;1221;0;1;1;0;0;0;1;0;1;1;;;;50;;;;;;;;;;;;;;2;42;3;22/11/2023 23:05
654;485;;;;;;;;;;;;;;;1;1;1;1;1;0;0;4;4;4;4;;;1;58;5;22/11/2023 23:06
655;306;1;1;1;1;1;1;0;1;1;0;;;;50;;;;;;;;;;;;;;2;29;3;22/11/2023 23:07
656;506;;;;;;;;;;;;;;;1;0;1;1;1;1;1;5;0;5;0;;;2;45;5;22/11/2023 23:07
657;519;;;;;;;;;;;;;;;1;1;1;1;1;0;0;;;;;10;10;2;42;6;22/11/2023 23:10
658;593;1;1;0;1;1;0;1;1;0;;1;;;50;;;;;;;;;;;;;;2;49;3;22/11/2023 23:11
659;391;;;;;;;;;;;;;;;1;0;1;1;1;1;1;10;2;8;1;;;2;42;5;22/11/2023 23:12
660;549;1;1;0;1;1;1;1;;;0;;1;1;6;;;;;;;;;;;;;;1;23;4;22/11/2023 23:15
661;421;;;;;;;;;;;;;;;0;0;0;1;1;0;0;5;5;5;5;;;2;22;5;22/11/2023 23:17
662;247;;;;;;;;;;;;;;;0;1;1;0;1;0;1;0;5;5;0;;;1;41;5;22/11/2023 23:18
663;299;;;;;;;;;;;;;;;1;1;1;0;1;0;1;;;;;0;0;1;32;6;22/11/2023 23:22
664;290;1;0;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;1;27;3;22/11/2023 23:22
665;558;1;1;0;0;1;1;1;;;;1;1;0;10;;;;;;;;;;;;;;1;37;4;22/11/2023 23:22
666;573;0;1;1;1;1;1;1;;;0;;1;1;50;;;;;;;;;;;;;;2;47;4;22/11/2023 23:22
667;328;1;1;1;0;0;1;1;1;0;;0;;;50;;;;;;;;;;;;;;2;48;3;22/11/2023 23:23
668;927;0;1;1;1;1;0;1;1;1;0;;;;50;;;;;;;;;;;;;;2;59;3;22/11/2023 23:24
669;394;;;;;;;;;;;;;;;0;0;1;1;1;0;1;;;;;8;5;2;40;6;22/11/2023 23:27
670;428;;;;;;;;;;;;;;;1;1;1;1;1;0;1;;;;;2;6;2;22;6;22/11/2023 23:29
671;414;;;;;;;;;;;;;;;1;1;1;1;1;0;1;;;;;10;10;2;50;6;22/11/2023 23:31
672;340;1;0;1;1;1;1;1;;;0;;1;1;0;;;;;;;;;;;;;;2;29;4;22/11/2023 23:31
673;347;1;1;0;1;1;0;1;0;1;0;;;;100;;;;;;;;;;;;;;2;46;3;22/11/2023 23:34
674;311;;;;;;;;;;;;;;;1;1;1;0;1;1;1;;;;;3;8;1;33;6;22/11/2023 23:35
675;360;1;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;23;4;22/11/2023 23:35
676;438;;;;;;;;;;;;;;;0;0;1;1;1;1;0;1;1;1;1;;;2;44;5;22/11/2023 23:35
677;271;;;;;;;;;;;;;;;1;1;1;1;1;1;1;2;4;5;1;;;2;47;5;22/11/2023 23:43
678;515;;;;;;;;;;;;;;;0;0;1;1;0;1;1;10;0;10;0;;;2;39;5;22/11/2023 23:43
679;346;;;;;;;;;;;;;;;1;1;1;1;1;0;1;5;10;5;10;;;2;51;5;22/11/2023 23:54
680;1023;;;;;;;;;;;;;;;0;1;0;0;0;0;1;;;;;3;0;1;31;6;22/11/2023 23:55
681;294;1;1;1;0;1;0;0;1;0;;0;;;100;;;;;;;;;;;;;;1;30;3;22/11/2023 23:56
682;486;;;;;;;;;;;;;;;0;0;1;0;1;1;1;;;;;5;5;2;58;6;23/11/2023 00:05
683;322;0;0;1;1;1;0;1;1;1;0;;;;74;;;;;;;;;;;;;;2;29;3;23/11/2023 00:11
684;135;0;0;1;1;0;0;1;0;1;1;;;;10;;;;;;;;;;;;;;2;22;3;23/11/2023 00:26
685;644;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;0;10;2;43;6;23/11/2023 00:29
686;635;1;1;0;1;0;1;0;;;1;;0;1;28;;;;;;;;;;;;;;2;65;4;23/11/2023 00:31
687;1105;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;5;5;1;31;6;23/11/2023 00:43
688;318;;;;;;;;;;;;;;;0;0;1;1;1;0;0;2;4;4;2;;;1;44;5;23/11/2023 00:45
689;764;1;0;1;1;1;0;1;1;0;;0;;;50;;;;;;;;;;;;;;1;56;3;23/11/2023 00:48
690;394;;;;;;;;;;;;;;;1;0;1;1;1;1;1;5;10;10;10;;;2;26;5;23/11/2023 00:49
691;603;;;;;;;;;;;;;;;0;0;0;0;1;0;0;5;5;5;5;;;2;33;5;23/11/2023 00:51
692;426;0;0;1;1;1;1;1;;;0;;1;1;0;;;;;;;;;;;;;;1;47;4;23/11/2023 00:53
693;408;1;1;1;0;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;38;3;23/11/2023 00:55
694;252;1;1;1;1;1;1;1;;;0;;1;1;50;;;;;;;;;;;;;;1;25;4;23/11/2023 01:13
695;284;;;;;;;;;;;;;;;1;1;1;1;1;1;1;10;10;10;10;;;1;32;5;23/11/2023 01:13
696;729;;;;;;;;;;;;;;;0;0;1;0;0;1;1;4;5;5;8;;;1;56;5;23/11/2023 01:16
697;563;;;;;;;;;;;;;;;0;1;1;1;0;1;1;;;;;0;4;2;61;6;23/11/2023 01:17
698;447;1;1;1;1;0;1;1;1;0;;0;;;50;;;;;;;;;;;;;;2;42;3;23/11/2023 01:36
699;353;;;;;;;;;;;;;;;1;0;1;1;1;1;1;2;5;4;4;;;2;35;5;23/11/2023 01:49
700;431;1;0;1;1;1;1;1;1;1;0;;;;100;;;;;;;;;;;;;;2;34;3;23/11/2023 01:58
701;302;;;;;;;;;;;;;;;1;1;1;1;0;0;1;10;5;10;7;;;1;42;5;23/11/2023 02:04
702;446;1;1;1;0;1;1;1;1;1;0;;;;50;;;;;;;;;;;;;;1;24;3;23/11/2023 02:42
703;461;0;0;1;1;0;1;1;;;0;;1;1;61;;;;;;;;;;;;;;2;43;4;23/11/2023 02:50
704;541;;;;;;;;;;;;;;;0;0;0;0;0;1;1;;;;;2;2;2;31;6;23/11/2023 02:52
705;482;0;1;1;1;0;1;1;1;1;1;;;;10;;;;;;;;;;;;;;1;31;3;23/11/2023 03:03
706;296;0;0;0;0;1;1;1;;;0;;0;1;1;;;;;;;;;;;;;;1;29;4;23/11/2023 03:04
707;409;1;0;1;1;0;1;0;1;1;0;;;;50;;;;;;;;;;;;;;2;31;3;23/11/2023 03:17
708;921;0;0;1;1;0;1;0;1;0;;1;;;10;;;;;;;;;;;;;;2;26;3;23/11/2023 03:43
709;398;;;;;;;;;;;;;;;0;0;1;0;1;0;0;;;;;5;10;2;52;6;23/11/2023 03:57
710;530;;;;;;;;;;;;;;;0;0;1;0;1;0;0;;;;;5;3;2;29;6;23/11/2023 04:10
711;411;;;;;;;;;;;;;;;0;1;1;1;1;1;1;5;10;6;10;;;3;25;5;23/11/2023 04:15
712;345;;;;;;;;;;;;;;;0;0;1;1;1;1;1;;;;;2;6;1;25;6;23/11/2023 04:17
713;378;;;;;;;;;;;;;;;0;0;1;0;0;0;0;;;;;3;0;2;34;6;23/11/2023 04:29
714;560;0;0;1;1;0;0;1;;;0;;1;1;50;;;;;;;;;;;;;;2;33;4;23/11/2023 04:42
715;165;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;5;0;2;22;6;23/11/2023 04:50
716;273;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;10;4;10;;;2;25;5;23/11/2023 04:54
717;354;;;;;;;;;;;;;;;1;0;1;1;0;1;1;0;1;0;2;;;2;45;5;23/11/2023 05:18
718;465;1;1;1;1;1;1;1;;;1;;1;1;25;;;;;;;;;;;;;;2;24;4;23/11/2023 05:22
719;673;1;0;1;1;1;1;1;1;1;0;;;;50;;;;;;;;;;;;;;2;34;3;23/11/2023 05:34
720;348;1;1;0;0;0;0;1;;;;0;0;0;50;;;;;;;;;;;;;;2;29;4;23/11/2023 05:34
721;358;1;1;0;0;1;0;1;;;;0;1;0;50;;;;;;;;;;;;;;1;38;4;23/11/2023 05:37
722;192;1;1;1;0;1;1;1;;;1;;1;1;0;;;;;;;;;;;;;;2;26;4;23/11/2023 05:42
723;531;1;0;0;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;34;4;23/11/2023 05:45
724;393;;;;;;;;;;;;;;;0;1;1;0;0;1;1;;;;;1;6;2;31;6;23/11/2023 05:46
725;376;;;;;;;;;;;;;;;0;1;1;0;0;0;1;;;;;2;5;2;28;6;23/11/2023 05:53
726;415;1;1;1;1;0;0;1;;;0;;1;1;20;;;;;;;;;;;;;;2;30;4;23/11/2023 06:05
727;276;1;1;1;1;1;1;1;;;0;;1;1;50;;;;;;;;;;;;;;1;47;4;23/11/2023 06:10
728;472;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;4;2;1;27;6;23/11/2023 06:13
729;352;1;1;1;1;1;1;1;;;0;;1;1;50;;;;;;;;;;;;;;1;32;4;23/11/2023 06:15
730;315;;;;;;;;;;;;;;;0;0;1;0;0;1;0;2;2;8;4;;;2;32;5;23/11/2023 06:15
731;695;1;1;1;1;1;1;1;;;;0;1;0;50;;;;;;;;;;;;;;2;49;4;23/11/2023 06:16
732;1461;;;;;;;;;;;;;;;0;0;1;1;1;1;0;;;;;5;5;1;40;6;23/11/2023 06:19
733;397;1;1;1;1;0;1;1;;;;0;1;0;50;;;;;;;;;;;;;;2;28;4;23/11/2023 06:22
734;327;;;;;;;;;;;;;;;1;0;1;1;1;0;1;;;;;6;6;1;45;6;23/11/2023 06:27
735;333;1;0;1;1;0;1;1;1;1;0;;;;0;;;;;;;;;;;;;;2;30;3;23/11/2023 06:29
736;172;0;0;1;0;1;0;1;;;0;;0;1;10;;;;;;;;;;;;;;2;35;4;23/11/2023 06:32
737;600;1;0;1;0;1;1;1;0;0;;0;;;5;;;;;;;;;;;;;;2;41;3;23/11/2023 06:35
738;267;1;1;1;1;1;1;1;1;1;1;;;;40;;;;;;;;;;;;;;3;27;3;23/11/2023 06:49
739;398;0;0;1;1;0;1;1;1;0;;0;;;50;;;;;;;;;;;;;;1;45;3;23/11/2023 06:54
740;528;1;1;1;1;0;1;1;;;0;;1;1;50;;;;;;;;;;;;;;1;32;4;23/11/2023 06:55
741;802;0;1;0;0;1;0;1;;;0;;0;1;20;;;;;;;;;;;;;;2;22;4;23/11/2023 06:58
742;287;;;;;;;;;;;;;;;0;0;1;0;1;1;1;;;;;1;4;2;20;6;23/11/2023 07:00
743;188;;;;;;;;;;;;;;;0;1;0;0;0;1;0;;;;;2;0;2;27;6;23/11/2023 07:03
744;249;;;;;;;;;;;;;;;0;1;0;0;1;1;0;;;;;10;10;1;76;6;23/11/2023 07:05
745;380;;;;;;;;;;;;;;;1;1;1;1;0;1;1;7;5;5;3;;;2;25;5;23/11/2023 07:07
746;576;1;1;1;1;1;1;1;1;0;;0;;;30;;;;;;;;;;;;;;1;67;3;23/11/2023 07:09
747;680;;;;;;;;;;;;;;;1;1;1;0;1;0;0;;;;;5;2;2;70;6;23/11/2023 07:12
748;583;0;0;0;1;0;1;0;0;1;0;;;;50;;;;;;;;;;;;;;2;62;3;23/11/2023 07:17
749;282;;;;;;;;;;;;;;;0;1;1;0;0;0;0;;;;;0;10;1;66;6;23/11/2023 07:21
750;220;;;;;;;;;;;;;;;1;0;0;0;0;1;1;5;5;2;7;;;2;47;5;23/11/2023 07:21
751;845;0;0;1;0;0;0;1;;;0;;1;1;51;;;;;;;;;;;;;;2;65;4;23/11/2023 07:23
752;671;;;;;;;;;;;;;;;1;1;1;0;1;0;1;;;;;5;5;2;39;6;23/11/2023 07:27
753;651;1;0;0;0;1;1;1;0;1;0;;;;50;;;;;;;;;;;;;;1;35;3;23/11/2023 07:28
754;365;;;;;;;;;;;;;;;0;0;1;0;1;1;1;3;3;3;3;;;2;29;5;23/11/2023 07:29
755;6035;;;;;;;;;;;;;;;0;0;1;1;0;1;0;3;5;3;5;;;1;56;5;23/11/2023 07:30
756;643;;;;;;;;;;;;;;;1;1;1;1;1;1;1;3;6;2;5;;;2;20;5;23/11/2023 07:31
757;259;0;0;1;0;1;0;0;0;1;0;;;;50;;;;;;;;;;;;;;1;49;3;23/11/2023 07:32
758;249;;;;;;;;;;;;;;;1;1;0;0;1;0;0;5;10;5;5;;;1;49;5;23/11/2023 07:35
759;457;0;1;1;0;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;1;47;3;23/11/2023 07:38
760;533;;;;;;;;;;;;;;;0;1;1;0;1;0;1;10;10;10;0;;;1;52;5;23/11/2023 07:43
761;484;1;1;0;1;0;1;1;;;;0;1;0;0;;;;;;;;;;;;;;2;33;4;23/11/2023 07:44
762;1686;1;1;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;1;29;3;23/11/2023 07:48
763;308;0;1;0;0;1;1;0;;;1;;0;1;50;;;;;;;;;;;;;;1;30;4;23/11/2023 07:49
764;296;1;1;1;1;0;1;0;1;1;0;;;;0;;;;;;;;;;;;;;1;25;3;23/11/2023 07:54
765;330;0;0;1;0;1;1;1;1;0;;0;;;50;;;;;;;;;;;;;;2;31;3;23/11/2023 07:55
766;249;;;;;;;;;;;;;;;1;1;1;1;0;1;1;;;;;0;0;1;31;6;23/11/2023 07:57
767;177;0;1;1;1;1;1;1;;;0;;1;1;48;;;;;;;;;;;;;;2;24;4;23/11/2023 08:03
768;403;0;0;1;1;0;1;1;1;1;1;;;;50;;;;;;;;;;;;;;1;42;3;23/11/2023 08:03
769;605;1;1;1;1;1;0;1;1;0;;0;;;10;;;;;;;;;;;;;;2;38;3;23/11/2023 08:06
770;363;;;;;;;;;;;;;;;1;1;0;1;0;1;0;;;;;5;5;1;38;6;23/11/2023 08:06
771;180;;;;;;;;;;;;;;;1;1;0;0;0;0;1;9;3;4;6;;;4;29;5;23/11/2023 08:07
772;336;1;1;1;0;1;1;1;;;;0;1;0;0;;;;;;;;;;;;;;1;42;4;23/11/2023 08:07
773;432;0;1;1;0;1;0;1;1;0;;0;;;50;;;;;;;;;;;;;;2;22;3;23/11/2023 08:08
774;393;0;1;0;0;0;1;1;;;1;;1;1;0;;;;;;;;;;;;;;2;50;4;23/11/2023 08:18
775;557;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;5;5;2;50;6;23/11/2023 08:21
776;409;;;;;;;;;;;;;;;1;0;1;1;1;1;1;10;10;10;10;;;2;46;5;23/11/2023 08:22
777;334;0;0;1;1;1;0;1;;;;0;1;0;10;;;;;;;;;;;;;;2;28;4;23/11/2023 08:23
778;244;1;1;1;1;1;1;1;1;0;;0;;;20;;;;;;;;;;;;;;1;22;3;23/11/2023 08:26
779;692;0;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;23;4;23/11/2023 08:27
780;567;;;;;;;;;;;;;;;0;0;1;1;1;0;1;4;10;10;2;;;1;46;5;23/11/2023 08:29
781;427;1;1;1;0;1;1;1;1;0;;1;;;50;;;;;;;;;;;;;;1;39;3;23/11/2023 08:30
782;435;;;;;;;;;;;;;;;0;0;1;0;1;0;0;4;2;2;0;;;2;35;5;23/11/2023 08:32
783;666;;;;;;;;;;;;;;;1;0;1;1;1;1;1;;;;;1;5;2;36;6;23/11/2023 08:34
784;326;1;1;1;1;0;1;1;;;;0;1;0;50;;;;;;;;;;;;;;2;32;4;23/11/2023 08:35
785;732;;;;;;;;;;;;;;;1;1;1;1;1;0;0;5;6;4;6;;;1;22;5;23/11/2023 08:36
786;202;;;;;;;;;;;;;;;1;1;1;1;0;1;1;4;10;2;10;;;1;24;5;23/11/2023 08:41
787;421;0;1;1;1;1;1;1;;;0;;1;1;50;;;;;;;;;;;;;;2;40;4;23/11/2023 08:41
788;351;;;;;;;;;;;;;;;0;1;1;1;1;0;0;7;7;6;10;;;1;54;5;23/11/2023 08:43
789;737;;;;;;;;;;;;;;;1;1;1;0;1;1;1;1;8;1;4;;;2;60;5;23/11/2023 08:44
790;624;;;;;;;;;;;;;;;1;1;1;1;1;1;1;10;0;10;0;;;3;27;5;23/11/2023 08:47
791;956;;;;;;;;;;;;;;;0;1;1;0;1;0;1;6;8;2;4;;;1;33;5;23/11/2023 08:48
792;398;1;0;1;1;0;1;1;;;;0;1;0;100;;;;;;;;;;;;;;1;35;4;23/11/2023 08:51
793;381;1;1;1;1;0;1;1;1;0;;0;;;0;;;;;;;;;;;;;;2;53;3;23/11/2023 08:52
794;495;0;1;1;0;1;1;1;;;0;;1;1;20;;;;;;;;;;;;;;2;25;4;23/11/2023 08:53
795;392;1;1;0;0;0;1;1;1;1;1;;;;50;;;;;;;;;;;;;;1;57;3;23/11/2023 08:54
796;567;1;1;1;1;1;1;1;1;1;0;;;;50;;;;;;;;;;;;;;2;40;3;23/11/2023 08:54
797;368;;;;;;;;;;;;;;;0;0;1;0;0;1;1;3;3;3;3;;;2;34;5;23/11/2023 08:54
798;256;;;;;;;;;;;;;;;1;1;1;1;1;1;1;10;0;10;0;;;1;29;5;23/11/2023 08:55
799;404;;;;;;;;;;;;;;;0;0;1;1;1;1;1;;;;;0;2;2;24;6;23/11/2023 08:56
800;538;1;1;1;1;0;1;1;1;0;;0;;;20;;;;;;;;;;;;;;2;21;3;23/11/2023 08:56
801;746;;;;;;;;;;;;;;;1;0;1;1;1;1;1;8;10;10;10;;;2;44;5;23/11/2023 08:57
802;443;;;;;;;;;;;;;;;1;1;1;0;0;0;0;6;8;4;5;;;1;44;5;23/11/2023 09:03
803;383;0;0;1;1;1;1;1;;;1;;0;1;0;;;;;;;;;;;;;;1;41;4;23/11/2023 09:03
804;212;;;;;;;;;;;;;;;0;0;0;0;1;0;1;0;0;0;0;;;2;27;5;23/11/2023 09:03
805;227;0;0;1;1;1;1;1;;;0;;0;1;51;;;;;;;;;;;;;;1;30;4;23/11/2023 09:05
806;250;1;1;1;0;0;1;1;0;1;1;;;;50;;;;;;;;;;;;;;1;43;3;23/11/2023 09:06
807;244;1;1;1;1;0;1;1;1;0;;0;;;29;;;;;;;;;;;;;;2;25;3;23/11/2023 09:06
808;300;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;10;2;26;6;23/11/2023 09:07
809;346;;;;;;;;;;;;;;;0;1;1;1;1;0;1;2;5;2;5;;;2;49;5;23/11/2023 09:07
810;301;;;;;;;;;;;;;;;1;1;1;0;1;1;1;5;7;7;5;;;2;46;5;23/11/2023 09:07
811;279;1;1;1;1;1;1;1;;;;0;1;0;50;;;;;;;;;;;;;;2;29;4;23/11/2023 09:10
812;1081;;;;;;;;;;;;;;;1;1;1;0;1;0;0;;;;;10;10;1;77;6;23/11/2023 09:10
813;97;;;;;;;;;;;;;;;1;0;0;1;0;0;0;2;6;2;5;;;2;42;5;23/11/2023 09:12
814;404;;;;;;;;;;;;;;;1;1;1;1;1;1;1;0;5;5;10;;;2;23;5;23/11/2023 09:12
815;497;0;1;1;1;1;0;1;;;0;;1;1;50;;;;;;;;;;;;;;2;34;4;23/11/2023 09:12
816;441;1;1;1;1;1;0;1;;;;0;1;0;40;;;;;;;;;;;;;;2;36;4;23/11/2023 09:13
817;290;;;;;;;;;;;;;;;0;1;1;1;1;0;0;;;;;0;10;1;36;6;23/11/2023 09:13
818;334;;;;;;;;;;;;;;;1;0;0;0;1;1;0;;;;;0;0;2;53;6;23/11/2023 09:14
819;428;1;0;1;1;1;1;1;1;0;;0;;;10;;;;;;;;;;;;;;1;35;3;23/11/2023 09:15
820;421;;;;;;;;;;;;;;;1;1;1;1;1;1;0;8;8;8;6;;;1;41;5;23/11/2023 09:18
821;264;0;0;1;1;1;1;1;;;1;;1;1;19;;;;;;;;;;;;;;2;23;4;23/11/2023 09:20
822;529;1;1;0;1;1;0;1;;;0;;1;1;1;;;;;;;;;;;;;;1;43;4;23/11/2023 09:21
823;386;1;0;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;1;19;3;23/11/2023 09:21
824;386;;;;;;;;;;;;;;;0;0;1;1;1;0;1;;;;;5;0;2;30;6;23/11/2023 09:24
825;390;1;1;1;0;1;0;1;1;0;;0;;;32;;;;;;;;;;;;;;2;35;3;23/11/2023 09:24
826;162;;;;;;;;;;;;;;;1;1;1;0;0;0;0;6;5;10;5;;;2;45;5;23/11/2023 09:24
827;303;;;;;;;;;;;;;;;1;1;1;1;1;0;0;;;;;0;10;1;45;6;23/11/2023 09:25
828;412;1;1;1;1;0;1;1;;;0;;1;1;50;;;;;;;;;;;;;;2;26;4;23/11/2023 09:25
829;459;1;1;0;1;1;1;1;1;1;1;;;;45;;;;;;;;;;;;;;2;45;3;23/11/2023 09:28
830;408;;;;;;;;;;;;;;;1;1;1;1;1;1;1;4;6;5;5;;;2;24;5;23/11/2023 09:31
831;288;0;1;1;0;0;0;1;;;1;;1;1;20;;;;;;;;;;;;;;2;32;4;23/11/2023 09:33
832;521;0;1;1;0;1;1;1;1;0;;0;;;50;;;;;;;;;;;;;;2;30;3;23/11/2023 09:34
833;349;1;1;1;1;1;1;1;;;0;;1;1;50;;;;;;;;;;;;;;2;29;4;23/11/2023 09:34
834;291;0;1;0;1;1;1;1;;;;0;1;0;50;;;;;;;;;;;;;;2;42;4;23/11/2023 09:35
835;161;;;;;;;;;;;;;;;0;0;0;0;0;1;0;;;;;8;6;2;32;6;23/11/2023 09:36
836;586;0;0;0;1;0;0;1;;;0;;1;1;50;;;;;;;;;;;;;;2;37;4;23/11/2023 09:36
837;299;1;0;1;1;1;1;1;;;1;;1;1;0;;;;;;;;;;;;;;1;35;4;23/11/2023 09:37
838;294;1;0;0;1;1;0;1;;;;0;1;0;0;;;;;;;;;;;;;;1;33;4;23/11/2023 09:38
839;530;1;0;1;1;0;1;1;;;0;;1;1;50;;;;;;;;;;;;;;2;35;4;23/11/2023 09:39
840;371;0;0;0;1;1;0;1;1;1;0;;;;30;;;;;;;;;;;;;;2;59;3;23/11/2023 09:40
841;288;;;;;;;;;;;;;;;1;0;1;0;1;1;1;;;;;5;2;2;37;6;23/11/2023 09:41
842;794;;;;;;;;;;;;;;;1;0;1;0;1;0;0;1;1;2;0;;;2;42;5;23/11/2023 09:43
843;912;;;;;;;;;;;;;;;0;0;1;1;0;0;1;5;10;5;10;;;2;44;5;23/11/2023 09:43
844;482;1;1;1;1;1;1;1;;;1;;1;1;30;;;;;;;;;;;;;;2;30;4;23/11/2023 09:44
845;206;;;;;;;;;;;;;;;1;1;1;0;1;1;0;4;3;2;2;;;2;31;5;23/11/2023 09:44
846;362;1;1;1;1;0;0;1;0;0;;0;;;0;;;;;;;;;;;;;;1;54;3;23/11/2023 09:44
847;254;1;1;1;1;1;1;1;;;0;;1;1;30;;;;;;;;;;;;;;2;29;4;23/11/2023 09:45
848;385;0;0;1;1;1;0;1;;;0;;0;1;50;;;;;;;;;;;;;;1;51;4;23/11/2023 09:45
849;645;;;;;;;;;;;;;;;0;1;1;1;1;1;0;10;10;10;10;;;1;39;5;23/11/2023 09:47
850;377;;;;;;;;;;;;;;;1;0;1;1;1;1;1;10;10;10;10;;;2;40;5;23/11/2023 09:49
851;433;1;0;1;1;1;1;1;;;1;;1;1;30;;;;;;;;;;;;;;1;22;4;23/11/2023 09:51
852;341;0;0;0;0;1;1;1;0;0;;0;;;100;;;;;;;;;;;;;;1;57;3;23/11/2023 09:51
853;533;;;;;;;;;;;;;;;1;1;1;0;0;0;1;;;;;2;10;2;27;6;23/11/2023 09:51
854;323;0;1;1;1;1;0;1;0;1;1;;;;40;;;;;;;;;;;;;;2;29;3;23/11/2023 09:52
855;287;;;;;;;;;;;;;;;1;0;1;0;1;0;1;10;5;10;0;;;1;22;5;23/11/2023 09:52
856;242;1;0;1;1;1;1;1;;;0;;1;1;0;;;;;;;;;;;;;;1;37;4;23/11/2023 09:52
857;237;0;0;1;0;0;1;0;;;;1;0;0;0;;;;;;;;;;;;;;1;77;4;23/11/2023 09:54
858;383;1;1;1;1;1;1;1;;;1;;1;1;45;;;;;;;;;;;;;;1;32;4;23/11/2023 09:55
859;396;;;;;;;;;;;;;;;0;1;0;0;1;0;0;;;;;5;1;2;58;6;23/11/2023 09:56
860;496;0;0;1;0;0;1;1;;;0;;1;1;29;;;;;;;;;;;;;;1;34;4;23/11/2023 09:56
861;217;;;;;;;;;;;;;;;1;1;1;1;1;0;1;;;;;5;0;2;21;6;23/11/2023 09:57
862;457;;;;;;;;;;;;;;;1;1;0;0;0;0;1;5;10;0;10;;;1;35;5;23/11/2023 09:57
863;432;;;;;;;;;;;;;;;1;0;1;1;1;0;1;4;4;4;4;;;2;47;5;23/11/2023 09:59
864;618;;;;;;;;;;;;;;;1;1;1;1;0;1;1;;;;;2;0;2;48;6;23/11/2023 10:00
865;396;1;1;0;1;0;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;24;3;23/11/2023 10:03
866;506;;;;;;;;;;;;;;;0;0;0;1;1;0;1;5;1;0;5;;;1;23;5;23/11/2023 10:04
867;282;1;1;1;1;1;1;1;1;1;1;;;;40;;;;;;;;;;;;;;2;21;3;23/11/2023 10:05
868;160;;;;;;;;;;;;;;;0;0;1;0;1;0;1;2;6;3;2;;;2;42;5;23/11/2023 10:05
869;228;;;;;;;;;;;;;;;0;0;1;0;0;0;1;;;;;1;2;1;37;6;23/11/2023 10:06
