PID;Duration;A1comp1;A1comp2;A1comp3;A1comp4;A2comp1;A2comp2;A2comp3;A2comp4OB;checkObs;calcPun;uncalcPun;A2comp4HID;checkHid;return;G1Bcomp1;G1Bcomp2;G1Bcomp3;G1Bcomp4;G2Bcomp1;G2Bcomp2;G2Bcomp3;punUncalc;noUncalc;punCalc;noCalc;punHid;noPunHid;gender;age;Condition;RecordedDate
52;502;;;;;;;;;;;;;;;0;1;1;1;1;1;1;;;;;5;5;2;29;6;22/11/2023 16:08
53;392;;;;;;;;;;;;;;;0;0;0;0;1;1;1;;;;;2;10;2;40;6;22/11/2023 16:08
54;266;;;;;;;;;;;;;;;0;0;1;0;0;1;1;;;;;10;10;2;44;6;22/11/2023 16:09
55;296;1;1;1;0;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;52;4;22/11/2023 16:09
56;293;1;1;1;0;1;1;1;0;0;;0;;;0;;;;;;;;;;;;;;2;38;3;22/11/2023 16:09
57;430;1;1;1;1;1;1;1;1;0;;0;;;50;;;;;;;;;;;;;;2;30;3;22/11/2023 16:09
58;1415;;;;;;;;;;;;;;;0;0;0;1;0;1;0;4;5;6;4;;;2;37;5;22/11/2023 16:09
59;346;;;;;;;;;;;;;;;1;1;1;1;1;1;1;0;10;2;10;;;1;38;5;22/11/2023 16:09
60;466;0;0;1;0;1;0;0;0;0;;1;;;30;;;;;;;;;;;;;;2;58;3;22/11/2023 16:10
61;383;;;;;;;;;;;;;;;1;0;1;1;0;1;1;2;5;2;4;;;2;50;5;22/11/2023 16:10
62;130;;;;;;;;;;;;;;;1;0;0;1;0;0;0;3;4;5;6;;;1;46;5;22/11/2023 16:10
63;422;1;1;1;1;1;1;1;;;;0;1;0;50;;;;;;;;;;;;;;1;29;4;22/11/2023 16:10
64;374;1;1;1;1;1;1;1;1;0;;0;;;50;;;;;;;;;;;;;;2;26;3;22/11/2023 16:10
65;369;;;;;;;;;;;;;;;0;1;1;1;1;1;0;;;;;3;7;1;29;6;22/11/2023 16:11
66;753;1;0;1;1;1;1;1;;;;0;1;0;10;;;;;;;;;;;;;;2;45;4;22/11/2023 16:11
67;170;;;;;;;;;;;;;;;1;1;1;1;0;1;0;5;4;5;4;;;1;24;5;22/11/2023 16:12
68;462;0;1;0;1;1;1;1;1;0;;0;;;50;;;;;;;;;;;;;;2;59;3;22/11/2023 16:12
69;685;;;;;;;;;;;;;;;1;0;1;1;1;1;1;;;;;3;5;2;46;6;22/11/2023 16:12
70;328;;;;;;;;;;;;;;;0;0;1;1;0;0;0;5;5;2;4;;;1;32;5;22/11/2023 16:12
71;232;;;;;;;;;;;;;;;0;0;1;0;0;1;1;;;;;2;10;2;42;6;22/11/2023 16:12
72;777;0;0;1;1;0;1;1;;;;0;1;0;50;;;;;;;;;;;;;;2;39;4;22/11/2023 16:12
73;368;;;;;;;;;;;;;;;1;0;1;1;1;1;1;1;5;1;5;;;2;58;5;22/11/2023 16:13
74;316;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;8;2;26;6;22/11/2023 16:13
75;555;1;1;0;1;0;0;1;1;0;;0;;;30;;;;;;;;;;;;;;1;35;3;22/11/2023 16:13
76;279;;;;;;;;;;;;;;;0;0;0;1;1;0;1;2;2;3;2;;;2;38;5;22/11/2023 16:13
77;525;0;1;1;1;1;1;1;1;1;0;;;;51;;;;;;;;;;;;;;2;28;3;22/11/2023 16:13
78;398;1;1;1;1;1;1;1;;;0;;1;1;50;;;;;;;;;;;;;;1;43;4;22/11/2023 16:13
79;272;1;1;1;1;1;0;1;0;1;0;;;;75;;;;;;;;;;;;;;1;38;3;22/11/2023 16:13
80;439;;;;;;;;;;;;;;;1;1;1;1;1;0;1;;;;;0;0;1;52;6;22/11/2023 16:13
81;370;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;0;5;2;29;6;22/11/2023 16:13
82;481;1;1;1;1;1;1;0;;;;0;1;0;50;;;;;;;;;;;;;;2;41;4;22/11/2023 16:13
83;332;;;;;;;;;;;;;;;1;1;1;1;1;0;1;;;;;10;10;2;44;6;22/11/2023 16:13
84;384;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;8;6;2;29;6;22/11/2023 16:13
85;386;;;;;;;;;;;;;;;0;0;1;1;1;1;1;10;10;0;10;;;2;42;5;22/11/2023 16:14
86;393;;;;;;;;;;;;;;;1;1;1;0;0;0;1;;;;;10;10;1;29;6;22/11/2023 16:14
87;365;1;1;1;1;1;1;1;;;;0;1;0;50;;;;;;;;;;;;;;2;31;4;22/11/2023 16:14
88;262;1;0;1;0;0;1;1;;;;0;1;0;50;;;;;;;;;;;;;;2;39;4;22/11/2023 16:14
89;492;;;;;;;;;;;;;;;0;0;1;1;1;1;1;;;;;2;10;1;38;6;22/11/2023 16:14
90;639;1;1;1;1;1;1;1;;;0;;1;1;5;;;;;;;;;;;;;;2;49;4;22/11/2023 16:15
91;675;;;;;;;;;;;;;;;0;0;1;1;1;1;1;5;10;5;10;;;2;40;5;22/11/2023 16:15
92;371;;;;;;;;;;;;;;;0;0;1;1;1;1;0;;;;;2;3;2;55;6;22/11/2023 16:15
93;436;0;0;1;1;1;1;1;0;1;0;;;;100;;;;;;;;;;;;;;1;63;3;22/11/2023 16:15
94;502;;;;;;;;;;;;;;;0;1;0;0;0;0;1;;;;;6;4;2;29;6;22/11/2023 16:15
95;228;0;0;1;0;1;0;1;1;1;0;;;;8;;;;;;;;;;;;;;2;58;3;22/11/2023 16:15
96;748;;;;;;;;;;;;;;;1;1;1;1;1;1;1;5;5;5;5;;;1;47;5;22/11/2023 16:16
97;412;0;1;1;0;1;1;1;;;;0;1;0;0;;;;;;;;;;;;;;2;60;4;22/11/2023 16:16
98;1348;1;0;1;1;1;1;1;;;;0;1;0;50;;;;;;;;;;;;;;2;49;4;22/11/2023 16:16
99;507;0;0;1;1;1;0;1;1;1;1;;;;50;;;;;;;;;;;;;;1;55;3;22/11/2023 16:16
100;348;;;;;;;;;;;;;;;1;1;1;1;1;0;1;;;;;3;3;1;48;6;22/11/2023 16:16
101;500;;;;;;;;;;;;;;;0;0;1;0;1;0;0;;;;;2;2;2;46;6;22/11/2023 16:17
102;328;;;;;;;;;;;;;;;1;0;1;1;1;1;0;;;;;1;2;2;61;6;22/11/2023 16:18
103;486;1;1;1;1;1;1;1;;;;1;1;0;50;;;;;;;;;;;;;;2;52;4;22/11/2023 16:18
104;457;0;0;1;1;1;0;1;;;;1;1;0;50;;;;;;;;;;;;;;2;40;4;22/11/2023 16:18
105;425;1;1;1;0;1;0;1;;;0;;1;1;50;;;;;;;;;;;;;;2;37;4;22/11/2023 16:18
106;829;;;;;;;;;;;;;;;0;0;1;0;0;1;0;10;4;10;10;;;2;63;5;22/11/2023 16:20
107;326;;;;;;;;;;;;;;;0;0;1;1;0;0;0;;;;;4;5;2;49;6;22/11/2023 16:20
108;353;1;1;1;1;1;1;1;1;0;;0;;;0;;;;;;;;;;;;;;1;33;3;22/11/2023 16:20
109;403;1;0;1;1;0;1;1;;;;1;1;0;50;;;;;;;;;;;;;;2;46;4;22/11/2023 16:21
110;411;1;0;1;1;1;0;0;;;1;;0;1;50;;;;;;;;;;;;;;2;44;4;22/11/2023 16:21
111;468;0;0;1;1;1;0;1;1;1;1;;;;50;;;;;;;;;;;;;;4;37;3;22/11/2023 16:21
112;380;0;0;1;1;1;1;0;1;1;0;;;;50;;;;;;;;;;;;;;2;27;3;22/11/2023 16:22
113;491;1;1;1;1;1;0;1;;;1;;1;1;50;;;;;;;;;;;;;;1;38;4;22/11/2023 16:22
114;355;1;0;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;60;4;22/11/2023 16:23
115;562;;;;;;;;;;;;;;;1;1;1;1;1;0;0;6;7;8;8;;;1;45;5;22/11/2023 16:24
116;374;;;;;;;;;;;;;;;0;0;1;1;1;1;0;2;5;3;5;;;2;45;5;22/11/2023 16:24
117;631;0;1;1;1;1;1;0;0;1;1;;;;40;;;;;;;;;;;;;;2;33;3;22/11/2023 16:24
118;372;;;;;;;;;;;;;;;0;0;1;1;1;0;1;;;;;10;10;2;32;6;22/11/2023 16:24
119;541;;;;;;;;;;;;;;;1;0;1;1;1;1;1;;;;;5;5;2;47;6;22/11/2023 16:25
