ID;Duration;G1Bcomp1;G1Bcomp2;G1Bcomp3;G1Bcomp4;G2Bcomp1;G2Bcomp2;G2Bcomp3;punFast;noFast;punSlow;noSlow;punHid;noPunHid;gender;age;Condition;RecordedDate
72;415;1;1;1;1;1;1;1;6;0;5;0;;;2;35;1;17/11/2023 23:24
73;403;1;1;1;1;1;0;1;;;;;6;6;2;44;2;17/11/2023 23:25
74;497;0;0;1;0;1;0;1;;;;;10;10;2;48;2;17/11/2023 23:25
75;358;1;1;1;1;1;0;1;;;;;9;7;1;47;2;17/11/2023 23:25
76;588;0;1;1;0;1;1;0;;;;;5;5;2;66;2;17/11/2023 23:25
77;402;0;0;1;1;1;1;1;;;;;3;4;1;38;2;17/11/2023 23:26
78;344;1;1;1;0;0;1;1;10;10;10;10;;;1;32;1;17/11/2023 23:26
79;571;0;1;1;0;1;1;1;10;1;10;4;;;3;22;1;17/11/2023 23:27
80;368;1;1;1;0;0;1;1;0;10;0;10;;;1;37;1;17/11/2023 23:27
81;505;1;1;1;1;1;1;1;0;0;0;0;;;2;49;1;17/11/2023 23:27
82;823;1;1;1;0;1;0;1;10;6;5;10;;;1;48;1;17/11/2023 23:27
83;1183;1;1;1;0;0;0;1;;;;;0;3;2;38;2;17/11/2023 23:27
84;207;0;1;1;0;1;1;1;5;1;4;2;;;2;26;1;17/11/2023 23:28
85;364;1;1;1;1;1;0;0;;;;;0;7;2;27;2;17/11/2023 23:28
86;945;1;1;0;1;1;1;1;0;5;5;5;;;1;55;1;17/11/2023 23:28
87;646;0;1;1;1;1;1;0;6;10;10;4;;;2;43;1;17/11/2023 23:28
88;290;0;1;1;0;1;1;0;;;;;2;4;1;74;2;17/11/2023 23:29
89;575;1;1;1;1;1;1;1;;;;;10;10;1;51;2;17/11/2023 23:29
90;373;1;1;1;1;1;1;0;;;;;10;10;1;67;2;17/11/2023 23:29
91;394;1;1;1;1;1;1;1;10;10;10;10;;;1;38;1;17/11/2023 23:30
92;605;0;0;1;1;1;0;1;;;;;10;10;2;33;2;17/11/2023 23:30
93;225;0;1;1;0;1;1;1;2;4;2;4;;;2;32;1;17/11/2023 23:31
94;377;1;1;1;1;1;0;1;;;;;5;5;1;19;2;17/11/2023 23:32
95;644;1;1;1;0;1;1;1;0;4;0;2;;;1;68;1;17/11/2023 23:33
96;271;0;1;0;0;1;1;1;3;4;1;2;;;2;35;1;17/11/2023 23:33
97;378;1;1;1;1;1;1;1;;;;;5;5;1;60;2;17/11/2023 23:33
98;372;1;1;1;1;1;1;1;;;;;0;10;2;36;2;17/11/2023 23:33
99;563;0;1;1;0;0;0;0;2;6;4;6;;;2;48;1;17/11/2023 23:33
100;469;1;0;1;1;0;1;1;;;;;4;8;1;61;2;17/11/2023 23:33
101;395;0;0;1;1;0;0;1;10;10;6;6;;;2;49;1;17/11/2023 23:34
102;386;1;1;1;1;1;1;0;2;0;0;0;;;1;23;1;17/11/2023 23:34
103;509;1;1;1;0;1;0;0;6;0;5;1;;;2;48;1;17/11/2023 23:34
104;367;0;0;1;0;1;0;0;;;;;0;1;2;53;2;17/11/2023 23:34
105;394;1;1;1;1;0;1;1;;;;;0;10;1;32;2;17/11/2023 23:35
106;945;1;0;1;1;1;1;1;;;;;0;10;2;73;2;17/11/2023 23:35
107;303;1;0;0;1;1;1;1;;;;;5;5;1;60;2;17/11/2023 23:35
108;240;1;1;1;1;1;1;1;2;0;2;0;;;1;33;1;17/11/2023 23:35
109;322;1;1;1;1;1;1;1;;;;;2;2;2;34;2;17/11/2023 23:35
110;965;1;1;1;1;1;1;0;6;8;6;8;;;1;47;1;17/11/2023 23:36
111;450;1;1;1;1;1;1;1;10;5;5;5;;;1;36;1;17/11/2023 23:36
112;523;1;1;1;0;0;1;1;0;0;0;1;;;2;57;1;17/11/2023 23:36
113;236;0;0;1;1;0;0;0;6;8;5;8;;;2;48;1;17/11/2023 23:37
114;616;0;0;1;0;1;0;0;;;;;0;5;2;38;2;17/11/2023 23:38
115;497;1;1;1;1;0;1;0;10;10;10;10;;;1;45;1;17/11/2023 23:38
116;432;1;1;1;0;1;1;1;;;;;10;10;1;43;2;17/11/2023 23:38
117;813;0;1;1;1;1;1;0;;;;;10;10;1;48;2;17/11/2023 23:39
118;479;1;0;0;1;0;1;1;0;1;1;2;;;2;40;1;17/11/2023 23:40
119;581;1;1;1;1;0;0;1;10;10;10;10;;;1;25;1;17/11/2023 23:40
120;390;1;1;1;1;0;1;1;;;;;5;0;1;29;2;17/11/2023 23:41
121;178;1;1;1;0;1;0;1;;;;;8;4;1;31;2;17/11/2023 23:41
122;367;1;1;1;1;1;1;1;8;4;7;4;;;2;29;1;17/11/2023 23:42
123;674;0;1;1;1;0;1;1;2;10;2;10;;;2;42;1;17/11/2023 23:42
124;1059;0;1;1;1;1;1;1;;;;;5;10;1;36;2;17/11/2023 23:42
125;2422;0;0;0;1;1;1;0;;;;;10;10;2;41;2;17/11/2023 23:43
126;596;0;1;1;0;1;1;1;3;6;6;7;;;2;51;1;17/11/2023 23:43
127;834;1;1;1;0;1;1;1;;;;;5;5;1;35;2;17/11/2023 23:43
128;256;1;1;1;0;1;1;1;;;;;0;5;2;28;2;17/11/2023 23:44
129;520;0;0;1;0;0;1;0;;;;;5;5;2;62;2;17/11/2023 23:44
130;433;1;1;1;1;1;1;0;4;8;10;2;;;1;44;1;17/11/2023 23:44
131;478;0;0;1;1;0;1;1;5;2;3;2;;;2;20;1;17/11/2023 23:46
132;454;0;1;1;1;0;1;1;;;;;10;10;2;51;2;17/11/2023 23:46
133;362;0;0;1;1;1;1;1;1;10;2;5;;;1;60;1;17/11/2023 23:46
134;148;0;1;1;1;1;1;0;4;5;5;8;;;2;23;1;17/11/2023 23:47
135;524;0;1;1;0;1;0;0;10;2;6;6;;;2;51;1;17/11/2023 23:47
136;244;1;1;1;1;1;0;1;;;;;5;10;1;37;2;17/11/2023 23:47
137;503;1;1;1;1;1;0;0;;;;;4;4;2;23;2;17/11/2023 23:47
138;497;0;1;1;1;1;1;1;2;10;4;10;;;1;51;1;17/11/2023 23:48
139;289;0;1;1;1;1;1;1;;;;;0;4;2;44;2;17/11/2023 23:48
140;156;1;1;1;0;1;0;1;;;;;4;7;2;20;2;17/11/2023 23:48
141;402;1;1;1;0;1;1;0;;;;;10;0;2;54;2;17/11/2023 23:49
142;1816;1;1;1;1;0;1;0;0;0;0;0;;;2;68;1;17/11/2023 23:49
143;352;0;0;1;0;1;0;1;5;6;5;6;;;2;66;1;17/11/2023 23:50
144;727;0;0;0;1;1;0;1;;;;;3;5;2;21;2;17/11/2023 23:50
145;431;1;1;1;0;1;1;1;5;7;5;4;;;2;67;1;17/11/2023 23:51
146;434;1;1;1;0;0;1;1;;;;;2;5;2;50;2;17/11/2023 23:51
147;471;1;1;1;1;1;1;1;0;5;0;0;;;2;65;1;17/11/2023 23:52
148;257;1;1;1;1;1;0;1;;;;;2;8;1;35;2;17/11/2023 23:52
149;1987;0;0;1;0;1;1;1;;;;;2;6;1;27;2;17/11/2023 23:52
150;312;0;1;0;0;0;0;1;2;10;4;10;;;1;67;1;17/11/2023 23:52
151;688;0;0;0;0;1;1;1;5;5;5;5;;;2;47;1;17/11/2023 23:52
152;195;1;1;1;1;1;1;1;;;;;10;10;1;43;2;17/11/2023 23:53
153;364;1;1;1;1;1;0;1;;;;;10;10;1;47;2;17/11/2023 23:53
154;483;1;1;1;0;1;1;1;10;0;6;0;;;1;26;1;17/11/2023 23:53
155;451;0;0;1;0;1;0;1;1;6;1;2;;;2;42;1;17/11/2023 23:53
156;429;1;1;1;0;1;0;0;;;;;5;5;2;44;2;17/11/2023 23:53
157;1323;0;0;0;0;0;0;0;4;2;2;1;;;1;32;1;17/11/2023 23:54
158;378;1;1;1;1;1;1;0;0;0;0;0;;;1;36;1;17/11/2023 23:55
159;506;1;1;1;1;1;0;1;;;;;2;2;2;29;2;17/11/2023 23:55
160;401;1;1;1;0;1;1;0;10;0;0;10;;;1;21;1;17/11/2023 23:56
161;374;0;1;1;1;1;1;1;;;;;10;10;1;45;2;17/11/2023 23:57
162;415;0;0;1;1;1;1;0;;;;;8;2;2;43;2;17/11/2023 23:57
163;813;1;1;1;1;0;0;1;10;5;7;8;;;2;42;1;17/11/2023 23:58
164;398;0;0;1;1;1;0;0;;;;;10;0;2;49;2;17/11/2023 23:58
165;322;1;1;1;1;1;1;1;;;;;5;3;2;21;2;17/11/2023 23:58
166;810;0;1;1;0;1;0;1;;;;;5;5;2;38;2;17/11/2023 23:58
