PID;Duration;A1comp1;A1comp2;A1comp3;A1comp4;A2comp1;A2comp2;A2comp3;A2comp4OB;checkObs;calcHelp;uncalcHelp;A2comp4HID;checkHid;return;G1Bcomp1;G1Bcomp2;G1Bcomp3;G1Bcomp4;G2Bcomp1;G2Bcomp2;G2Bcomp3;helpUncalc;noUncalc;helpCalc;noCalc;helpHid;noHelpHid;gender;age;Condition;RecordedDate
1;215;;;;;;;;;;;;;;;1;0;0;0;1;0;1;6;5;6;5;;;1;32;5;18/11/2023 22:37
2;434;1;1;1;0;1;1;0;;;1;;1;1;40;;;;;;;;;;;;;;1;25;4;18/11/2023 22:37
3;446;;;;;;;;;;;;;;;1;1;1;1;1;0;1;5;2;5;2;;;1;26;5;18/11/2023 22:43
4;503;;;;;;;;;;;;;;;0;0;0;0;0;0;1;10;0;10;10;;;1;30;5;18/11/2023 22:43
5;584;;;;;;;;;;;;;;;0;1;1;1;1;0;1;;;;;6;6;1;23;6;18/11/2023 22:45
6;747;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;0;0;1;70;6;18/11/2023 22:46
7;67;;;;;;;;;;;;;;;0;1;0;0;0;1;1;;;;;5;5;2;26;6;18/11/2023 22:50
8;80;;;;;;;;;;;;;;;0;0;0;0;0;0;0;7;7;4;4;;;1;38;5;18/11/2023 22:51
9;98;0;1;0;0;1;0;1;;;;0;1;0;50;;;;;;;;;;;;;;1;26;4;18/11/2023 22:51
10;99;;;;;;;;;;;;;;;0;0;1;0;1;0;1;;;;;4;4;2;26;6;18/11/2023 22:54
11;109;;;;;;;;;;;;;;;0;0;1;0;0;1;0;;;;;1;3;1;42;6;18/11/2023 22:55
12;109;0;1;1;1;0;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;26;4;18/11/2023 22:55
13;109;;;;;;;;;;;;;;;1;1;0;0;0;0;1;6;4;6;2;;;2;67;5;18/11/2023 22:55
14;110;1;1;0;1;0;0;1;;;0;;0;1;13;;;;;;;;;;;;;;2;29;4;18/11/2023 22:56
15;114;;;;;;;;;;;;;;;0;0;0;1;0;1;0;;;;;2;2;2;40;6;18/11/2023 22:56
16;120;1;0;0;0;0;1;0;;;;0;0;0;7;;;;;;;;;;;;;;1;24;4;18/11/2023 22:57
17;121;;;;;;;;;;;;;;;1;0;0;1;0;1;1;;;;;6;6;2;41;6;18/11/2023 22:58
18;122;1;0;0;1;1;0;1;;;0;;0;1;10;;;;;;;;;;;;;;1;32;4;18/11/2023 22:58
19;122;;;;;;;;;;;;;;;0;0;1;1;0;0;1;;;;;10;10;1;46;6;18/11/2023 22:58
20;126;0;1;0;1;1;0;1;0;1;1;;;;40;;;;;;;;;;;;;;2;31;3;18/11/2023 22:59
21;127;0;0;0;0;0;0;0;;;;1;1;0;40;;;;;;;;;;;;;;2;27;4;18/11/2023 23:00
22;131;;;;;;;;;;;;;;;0;0;0;1;0;0;1;;;;;0;0;1;30;6;18/11/2023 23:01
23;133;;;;;;;;;;;;;;;0;0;1;0;1;0;0;7;7;6;7;;;2;56;5;18/11/2023 23:02
24;133;0;0;0;1;0;0;0;;;1;;0;1;57;;;;;;;;;;;;;;1;56;4;18/11/2023 23:02
25;134;;;;;;;;;;;;;;;0;0;1;1;0;0;0;;;;;4;6;1;49;6;18/11/2023 23:04
26;135;0;1;0;1;0;0;0;;;1;;0;1;50;;;;;;;;;;;;;;1;28;4;18/11/2023 23:05
27;136;1;1;1;0;1;1;1;1;1;1;;;;0;;;;;;;;;;;;;;1;21;3;18/11/2023 23:05
28;137;;;;;;;;;;;;;;;0;0;0;0;0;0;0;;;;;10;10;1;55;6;18/11/2023 23:07
29;142;0;1;0;1;0;0;1;1;1;0;;;;50;;;;;;;;;;;;;;1;24;3;18/11/2023 23:08
30;142;0;1;0;0;1;0;0;;;1;;0;1;57;;;;;;;;;;;;;;2;32;4;18/11/2023 23:10
31;143;1;1;1;0;0;1;1;0;1;1;;;;50;;;;;;;;;;;;;;2;26;3;18/11/2023 23:10
32;144;;;;;;;;;;;;;;;1;0;1;1;0;0;0;;;;;5;5;2;36;6;18/11/2023 23:11
33;144;0;0;0;1;0;0;1;0;1;1;;;;50;;;;;;;;;;;;;;2;20;3;18/11/2023 23:11
34;145;;;;;;;;;;;;;;;1;0;1;1;1;1;1;;;;;5;0;2;27;6;18/11/2023 23:11
35;145;0;0;1;0;1;0;1;;;1;;1;1;100;;;;;;;;;;;;;;2;38;4;18/11/2023 23:15
36;152;;;;;;;;;;;;;;;1;1;1;0;0;0;1;;;;;5;5;2;31;6;18/11/2023 23:15
37;153;0;1;0;0;0;0;0;0;0;;0;;;100;;;;;;;;;;;;;;1;35;3;18/11/2023 23:16
38;153;1;1;0;1;0;1;1;;;1;;1;1;26;;;;;;;;;;;;;;2;24;4;18/11/2023 23:17
39;154;;;;;;;;;;;;;;;1;1;0;0;1;0;1;6;6;6;6;;;2;25;5;18/11/2023 23:18
40;156;0;0;1;0;1;0;0;;;1;;1;1;50;;;;;;;;;;;;;;1;65;4;18/11/2023 23:18
41;159;0;0;0;1;0;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;32;4;18/11/2023 23:20
42;161;;;;;;;;;;;;;;;0;0;0;1;0;1;1;;;;;4;5;1;28;6;18/11/2023 23:20
43;162;0;0;0;0;0;0;0;0;1;1;;;;30;;;;;;;;;;;;;;1;44;3;18/11/2023 23:22
44;162;;;;;;;;;;;;;;;0;1;1;1;1;1;1;;;;;10;0;1;35;6;18/11/2023 23:22
45;163;;;;;;;;;;;;;;;0;1;0;0;0;0;0;;;;;10;10;2;38;6;18/11/2023 23:24
46;163;;;;;;;;;;;;;;;0;1;1;0;0;1;1;;;;;10;0;2;33;6;18/11/2023 23:25
47;165;0;1;0;1;1;0;1;1;0;;1;;;41;;;;;;;;;;;;;;2;30;3;18/11/2023 23:25
48;165;0;1;0;1;0;0;0;0;1;1;;;;43;;;;;;;;;;;;;;2;45;3;18/11/2023 23:26
49;165;0;1;0;0;0;1;0;0;1;1;;;;50;;;;;;;;;;;;;;2;38;3;18/11/2023 23:26
50;166;0;0;0;0;1;0;0;;;1;;1;1;50;;;;;;;;;;;;;;2;52;4;18/11/2023 23:27
51;167;;;;;;;;;;;;;;;1;1;1;1;1;1;1;6;4;4;4;;;1;18;5;18/11/2023 23:27
52;169;;;;;;;;;;;;;;;0;1;0;1;1;0;1;;;;;10;10;2;28;6;18/11/2023 23:30
53;169;;;;;;;;;;;;;;;0;0;1;1;1;1;0;;;;;5;5;2;29;6;18/11/2023 23:31
54;169;0;1;0;1;0;0;0;0;1;1;;;;51;;;;;;;;;;;;;;1;18;3;18/11/2023 23:32
55;170;0;1;0;1;0;0;1;;;1;;1;1;64;;;;;;;;;;;;;;2;32;4;18/11/2023 23:33
56;171;0;0;0;0;0;1;1;0;1;1;;;;1;;;;;;;;;;;;;;2;43;3;18/11/2023 23:33
57;172;;;;;;;;;;;;;;;1;0;1;0;0;0;1;5;5;5;5;;;1;20;5;18/11/2023 23:37
58;172;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;0;0;1;30;6;18/11/2023 23:39
59;173;0;0;1;0;1;0;0;;;;1;0;0;50;;;;;;;;;;;;;;1;52;4;18/11/2023 23:40
60;173;0;1;0;0;1;1;1;;;1;;0;1;50;;;;;;;;;;;;;;2;24;4;18/11/2023 23:40
61;173;;;;;;;;;;;;;;;1;1;1;0;1;0;1;10;0;9;0;;;2;23;5;18/11/2023 23:40
62;175;;;;;;;;;;;;;;;0;1;0;0;0;1;0;10;0;10;0;;;1;37;5;18/11/2023 23:40
63;175;;;;;;;;;;;;;;;1;1;1;1;1;1;1;7;2;5;4;;;1;19;5;18/11/2023 23:40
64;176;;;;;;;;;;;;;;;1;0;1;0;0;0;1;10;10;10;10;;;2;21;5;18/11/2023 23:43
65;177;1;0;1;0;1;0;1;0;1;1;;;;40;;;;;;;;;;;;;;2;21;3;18/11/2023 23:49
