ID;Duration;Timer1_First Click;Timer1_Last Click;Timer1_Page Submit;Timer1_Click Count;G1comp1;G1comp2;G1comp3;G1comp4;Timer2_First Click;Timer2_Last Click;Timer2_Page Submit;Timer2_Click Count;G2comp1;G2comp2;G2comp3;Timer3obs_First Click;Timer3obs_Last Click;Timer3obs_Page Submit;Timer3obs_Click Count;A2comp4OB;punTimer_First Click;punTimer_Last Click;decisionT;punTimer_Click Count;punishing;Timer3hid_First Click;Timer3hid_Last Click;Timer3hid_Page Submit;Timer3hid_Click Count;A2comp4HID;return;gender;age;Condition;RecordedDate
1;1901;0.879;29.4;31.369;18;0;1;1;1;0.93;51.01;55.6;15;1;1;1;1;56.188;58.032;7;1;0.7;0.7;1.361;1;0;;;;;;50;1;34;1;16/11/2023 14:05
2;1797;264.348;425.772;427.839;4;0;1;1;1;672.442;765.163;780.481;3;1;0;1;;;;;;3.903;5.782;6.508;2;1;208.299;208.299;210.166;1;1;50;1;53;2;16/11/2023 14:09
3;1771;36.399;190.864;192.034;22;1;0;0;1;310.129;415.102;415.939;19;0;1;1;;;;;;9.602;9.602;10.239;1;1;7.463;11.227;11.894;2;1;60;2;51;2;16/11/2023 14:10
4;1710;81.876;128.044;130.026;4;1;1;1;1;62.722;96.667;97.676;3;1;1;1;432.144;436.366;437.413;3;1;12.432;12.432;13.95;1;1;;;;;;50;2;26;1;16/11/2023 14:10
5;1706;20.469;127.189;129.322;9;0;0;1;1;5.456;78.4;80.383;6;1;0;0;1.578;23.314;25.38;3;1;7.504;7.504;8.962;1;0;;;;;;50;2;44;1;16/11/2023 14:10
6;1679;2.497;56.087;57.016;17;0;0;1;1;4.116;52.537;53.301;15;1;1;1;3.594;21.122;22.042;4;0;4.231;4.231;5.608;1;1;;;;;;50;2;41;1;16/11/2023 14:12
7;1548;4.08;635.727;636.938;96;1;0;0;1;5.912;472.421;473.629;67;0;1;1;;;;;;7.249;7.249;8.702;1;1;11.239;182.066;183.66;24;1;75;1;34;2;16/11/2023 14:13
8;1461;2.714;163.697;164.231;28;0;1;1;1;2.084;109.248;109.973;13;1;1;1;;;;;;13.073;13.073;13.748;1;1;7.624;22.057;23.096;4;1;50;2;27;2;16/11/2023 14:13
9;1379;2.391;167.656;168.645;35;1;0;0;1;5.26;137.795;140.062;22;1;1;0;;;;;;18.608;18.608;22.129;1;0;4.029;62.497;65.475;14;0;50;1;37;2;16/11/2023 14:14
10;1302;151.313;310.268;401.718;4;0;1;1;1;140.368;282.936;347.682;3;1;1;1;73.972;73.972;135.841;1;1;22.776;22.776;26.029;1;0;;;;;;0;2;40;1;16/11/2023 14:15
