PID;Duration;A1comp1;A1comp2;A1comp3;A1comp4;A2comp1;A2comp2;A2comp3;A2comp4OB;checkObs;calcHelp;uncalcHelp;A2comp4HID;checkHid;return;G1Bcomp1;G1Bcomp2;G1Bcomp3;G1Bcomp4;G2Bcomp1;G2Bcomp2;G2Bcomp3;helpUncalc;noUncalc;helpCalc;noCalc;helpedHidB;noHelpdHidB;gender;age;Condition;RecordedDate
1;312;;;;;;;;;;;;;;;0;1;1;1;0;1;1;;;;;10;10;1;40;6;13/11/2023 18:22
2;182;0;1;0;0;0;1;0;0;1;1;;;;50;;;;;;;;;;;;;;2;42;3;13/11/2023 18:24
3;545;1;1;1;1;1;1;1;;;;1;1;0;50;;;;;;;;;;;;;;1;28;4;13/11/2023 18:26
4;364;0;0;1;0;1;0;1;1;1;1;;;;50;;;;;;;;;;;;;;1;28;3;13/11/2023 18:26
5;287;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;5;2;1;31;6;13/11/2023 18:27
6;335;0;0;1;1;1;1;1;;;1;;1;1;51;;;;;;;;;;;;;;2;20;4;13/11/2023 18:27
7;283;0;1;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;30;3;13/11/2023 18:27
8;237;;;;;;;;;;;;;;;1;1;1;0;0;1;0;;;;;10;10;2;40;6;13/11/2023 18:28
9;344;;;;;;;;;;;;;;;1;0;1;1;0;1;1;8;2;5;2;;;2;26;5;13/11/2023 18:28
10;252;;;;;;;;;;;;;;;1;1;1;1;1;1;1;10;2;10;2;;;2;25;5;13/11/2023 18:28
11;432;;;;;;;;;;;;;;;1;0;1;1;0;0;1;5;2;5;2;;;2;30;5;13/11/2023 18:28
12;283;0;1;1;1;1;1;1;;;1;;1;1;40;;;;;;;;;;;;;;4;18;4;13/11/2023 18:28
13;243;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;5;1;43;6;13/11/2023 18:28
14;287;1;1;1;1;1;1;1;;;;1;1;0;20;;;;;;;;;;;;;;2;28;4;13/11/2023 18:28
15;454;;;;;;;;;;;;;;;0;1;1;1;1;1;0;5;0;5;0;;;2;58;5;13/11/2023 18:29
16;307;1;1;1;1;0;1;1;0;1;1;;;;48;;;;;;;;;;;;;;1;32;3;13/11/2023 18:29
17;380;;;;;;;;;;;;;;;1;0;1;1;1;1;1;;;;;0;0;1;25;6;13/11/2023 18:30
18;503;1;1;1;1;1;1;1;;;1;;1;1;20;;;;;;;;;;;;;;2;39;4;13/11/2023 18:30
19;350;;;;;;;;;;;;;;;1;1;1;1;1;1;1;10;2;10;4;;;2;26;5;13/11/2023 18:31
20;384;;;;;;;;;;;;;;;1;1;1;1;1;1;1;2;0;2;0;;;1;51;5;13/11/2023 18:31
21;321;;;;;;;;;;;;;;;1;1;1;0;1;1;1;;;;;10;0;2;29;6;13/11/2023 18:32
22;374;0;0;1;1;1;0;1;0;1;1;;;;50;;;;;;;;;;;;;;1;43;3;13/11/2023 18:32
23;187;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;5;0;2;19;6;13/11/2023 18:32
24;374;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;10;3;30;6;13/11/2023 18:32
25;346;1;1;1;1;0;1;1;1;1;0;;;;27;;;;;;;;;;;;;;1;22;3;13/11/2023 18:32
26;457;0;0;0;1;1;1;1;1;1;1;;;;29;;;;;;;;;;;;;;2;51;3;13/11/2023 18:32
27;282;1;0;1;0;0;0;1;;;0;;1;1;30;;;;;;;;;;;;;;2;27;4;13/11/2023 18:32
28;385;0;1;1;1;1;1;1;;;1;;1;1;20;;;;;;;;;;;;;;2;46;4;13/11/2023 18:32
29;333;;;;;;;;;;;;;;;1;1;1;1;1;1;1;0;0;4;4;;;2;44;5;13/11/2023 18:33
30;357;;;;;;;;;;;;;;;1;1;0;1;1;1;1;0;0;0;0;;;2;32;5;13/11/2023 18:33
31;604;;;;;;;;;;;;;;;1;1;1;1;1;1;1;5;0;10;5;;;1;28;5;13/11/2023 18:33
32;374;;;;;;;;;;;;;;;0;1;1;1;1;0;1;;;;;10;10;1;43;6;13/11/2023 18:33
33;378;1;1;1;1;1;1;1;1;0;;0;;;50;;;;;;;;;;;;;;2;25;3;13/11/2023 18:34
34;224;;;;;;;;;;;;;;;0;0;1;1;1;0;0;;;;;0;0;2;44;6;13/11/2023 18:34
35;610;0;0;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;37;4;13/11/2023 18:35
36;460;0;1;1;0;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;46;3;13/11/2023 18:35
37;295;;;;;;;;;;;;;;;1;1;1;1;0;1;1;;;;;10;5;2;23;6;13/11/2023 18:35
38;377;;;;;;;;;;;;;;;1;1;1;1;1;1;1;0;0;0;0;;;2;54;5;13/11/2023 18:35
39;362;1;1;0;1;0;1;1;1;1;0;;;;50;;;;;;;;;;;;;;2;35;3;13/11/2023 18:35
40;338;1;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;30;4;13/11/2023 18:35
41;298;1;0;1;1;0;1;0;;;1;;1;1;50;;;;;;;;;;;;;;2;42;4;13/11/2023 18:36
42;365;;;;;;;;;;;;;;;0;1;1;0;1;1;1;4;8;2;10;;;2;33;5;13/11/2023 18:36
43;316;1;1;1;1;1;1;1;1;1;0;;;;0;;;;;;;;;;;;;;2;50;3;13/11/2023 18:36
44;252;;;;;;;;;;;;;;;0;0;1;1;1;1;1;;;;;4;4;2;43;6;13/11/2023 18:36
