PID;Duration;A1comp1;A1comp2;A1comp3;A1comp4;A2comp1;A2comp2;A2comp3;A2comp4OB;checkObs;calcPun;uncalcPun;A2comp4HID;checkHid;return;G1Bcomp1;G1Bcomp2;G1Bcomp3;G1Bcomp4;G2Bcomp1;G2Bcomp2;G2Bcomp3;punUncalc;noUncalc;punCalc;noCalc;punHid;noPunHid;gender;age;Condition;RecordedDate
1;214;0;0;1;1;1;0;0;0;1;0;;;;49;;;;;;;;;;;;;;2;22;3;15/11/2023 09:42
2;286;;;;;;;;;;;;;;;0;0;1;1;1;1;0;;;;;0;2;2;29;6;15/11/2023 09:44
3;296;0;1;1;0;1;0;0;;;0;;1;1;50;;;;;;;;;;;;;;1;37;4;15/11/2023 09:44
4;214;;;;;;;;;;;;;;;0;0;1;0;0;0;1;0;10;10;10;;;2;38;5;15/11/2023 09:45
5;331;1;0;0;0;0;1;1;1;0;;0;;;100;;;;;;;;;;;;;;1;34;3;15/11/2023 09:46
6;215;1;1;1;0;1;1;1;;;0;;0;1;50;;;;;;;;;;;;;;1;32;4;15/11/2023 09:46
7;409;;;;;;;;;;;;;;;1;1;1;1;0;1;1;;;;;10;2;1;42;6;15/11/2023 09:47
8;295;;;;;;;;;;;;;;;0;0;1;1;1;0;0;5;0;5;0;;;2;34;5;15/11/2023 09:47
9;329;;;;;;;;;;;;;;;0;1;1;1;1;1;1;;;;;5;5;2;41;6;15/11/2023 09:48
10;260;1;1;1;1;1;1;1;1;1;0;;;;50;;;;;;;;;;;;;;1;47;3;15/11/2023 09:48
11;391;1;1;0;1;1;1;0;;;1;;1;1;0;;;;;;;;;;;;;;1;42;4;15/11/2023 09:48
12;229;0;1;1;1;0;0;1;1;0;;0;;;20;;;;;;;;;;;;;;2;25;3;15/11/2023 09:48
13;305;1;1;1;0;1;1;1;0;1;0;;;;50;;;;;;;;;;;;;;2;27;3;15/11/2023 09:49
14;371;1;0;1;1;0;1;0;;;0;;1;1;50;;;;;;;;;;;;;;1;61;4;15/11/2023 09:49
15;347;;;;;;;;;;;;;;;0;0;1;1;1;1;1;2;10;2;6;;;2;32;5;15/11/2023 09:49
16;80;0;0;1;0;1;0;0;;;0;;0;1;48;;;;;;;;;;;;;;1;34;4;15/11/2023 09:49
17;245;0;1;1;0;1;0;1;;;0;;1;1;50;;;;;;;;;;;;;;2;35;4;15/11/2023 09:49
18;305;;;;;;;;;;;;;;;0;1;1;1;1;1;1;;;;;0;0;2;26;6;15/11/2023 09:51
19;101;;;;;;;;;;;;;;;0;0;0;0;0;0;1;;;;;4;5;2;30;6;15/11/2023 09:52
20;359;0;0;1;1;1;0;1;1;1;1;;;;50;;;;;;;;;;;;;;2;41;3;15/11/2023 09:52
21;477;;;;;;;;;;;;;;;1;1;1;1;1;1;0;4;8;6;6;;;2;29;5;15/11/2023 09:52
22;444;;;;;;;;;;;;;;;0;0;1;1;1;0;1;0;4;0;10;;;2;35;5;15/11/2023 09:52
23;393;1;1;1;1;1;1;1;;;;0;1;0;50;;;;;;;;;;;;;;2;24;4;15/11/2023 09:53
24;299;;;;;;;;;;;;;;;0;1;1;1;1;1;1;;;;;5;10;2;52;6;15/11/2023 09:53
25;366;1;1;1;1;0;1;1;1;1;0;;;;30;;;;;;;;;;;;;;2;34;3;15/11/2023 09:53
26;407;;;;;;;;;;;;;;;1;1;1;1;1;1;1;10;10;10;10;;;1;44;5;15/11/2023 09:54
27;307;;;;;;;;;;;;;;;1;1;1;1;0;1;1;;;;;3;5;2;26;6;15/11/2023 09:54
28;202;;;;;;;;;;;;;;;1;1;1;1;1;1;0;;;;;4;0;1;65;6;15/11/2023 09:54
