tag,n_rows,n_clusters,n_features_used,cv_splits,cv_accuracy_mean,cv_log_loss_mean,train_accuracy,train_log_loss
COMMUNICATION,1734,15,13,5,0.1274558144958438,2.6106766921934375,0.16551326412918108,2.4965935312901983
CONTRIBUTION,3691,15,14,5,0.19398329977887058,2.422285617189945,0.2145759956651314,2.3695974301861646
PUNISHMENT,1812,15,13,5,0.1699663637885637,2.487975941103623,0.2108167770419426,2.387522896520707
RESPONSE_TO_END_GAME,1886,15,13,5,0.17815670919119198,2.4915660646152027,0.21580063626723223,2.3811959376598755
RESPONSE_TO_OTHERS_OUTCOME,1825,15,13,5,0.3052054794520548,1.8769637793511724,0.34356164383561644,1.7795562648998888
RESPONSE_TO_PUNISHER,847,15,11,5,0.1522589627567003,2.5497439959603776,0.2384887839433294,2.321426429343556
RESPONSE_TO_REWARDER,858,15,11,5,0.251733986128111,2.3152015661453973,0.2948717948717949,2.1219796314919916
REWARD,1815,15,13,5,0.20495867768595044,2.3642726883307006,0.23911845730027548,2.2617174685431807
