feature,marginal_tv,n_eval_values,coef_abs_mean,tag
CONFIG_punishmentExists,0.44007190646174027,2,1.8614859402228832,RESPONSE_TO_OTHERS_OUTCOME
CONFIG_chat,0.25256482487613596,2,0.8134366746046864,RESPONSE_TO_OTHERS_OUTCOME
CONFIG_rewardExists,0.1207522776317966,2,0.2653953177690014,RESPONSE_TO_OTHERS_OUTCOME
CONFIG_showNRounds,0.07227200040025944,2,0.1720699027308076,RESPONSE_TO_OTHERS_OUTCOME
CONFIG_numRounds,0.07020513114873922,10,0.18303888630739695,RESPONSE_TO_OTHERS_OUTCOME
CONFIG_allOrNothing,0.05917643305807414,2,0.15516166705138174,RESPONSE_TO_OTHERS_OUTCOME
CONFIG_playerCount,0.05427464938919871,10,0.3730252203968825,RESPONSE_TO_OTHERS_OUTCOME
CONFIG_rewardMagnitude,0.04702556788672245,6,0.16913589250297897,RESPONSE_TO_OTHERS_OUTCOME
CONFIG_MPCR,0.03846005708546207,10,0.09470866323124981,RESPONSE_TO_OTHERS_OUTCOME
CONFIG_defaultContribProp,0.03784546868208726,2,0.10753030461560097,RESPONSE_TO_OTHERS_OUTCOME
CONFIG_punishmentMagnitude,0.03236620386536457,9,0.09349003688642375,RESPONSE_TO_OTHERS_OUTCOME
CONFIG_showPunishmentId,0.029881658146849815,2,0.08901650840328827,RESPONSE_TO_OTHERS_OUTCOME
CONFIG_showRewardId,0.02988165814684981,2,0.08901650840328827,RESPONSE_TO_OTHERS_OUTCOME
