treatment_name,metric,generated_game_count,human_game_count,generated_sd,human_sd,sd_ratio,abs_log_sd_ratio,generated_iqr,human_iqr,iqr_ratio,abs_log_iqr_ratio
VALIDATION_0_C,final_round_normalized_efficiency,10,10,0.2531404088012172,0.2731795634738752,0.9266447518334424,0.07618501034581009,0.35336538461538464,0.4606711216973225,0.7670664992270959,0.2651817809466842
VALIDATION_0_T,final_round_normalized_efficiency,12,12,0.107719490616959,0.28614540806108135,0.3764501808603719,0.9769695622494844,0.10769230769230764,0.2673735168276652,0.4027785136316264,0.9093684620837639
VALIDATION_10_C,final_round_normalized_efficiency,10,10,0.17707277378281047,0.5043570131399739,0.35108617342387893,1.0467235773183703,0.21067415730337077,0.791198501872659,0.26627218934911245,1.3232362251527536
VALIDATION_10_T,final_round_normalized_efficiency,10,10,0.3353524254886122,1.0313056339783555,0.32517268832805624,1.123398889066424,0.38389513108614226,0.294943820224719,1.3015873015873018,0.2635845208727206
VALIDATION_11_C,final_round_normalized_efficiency,10,10,0.44598807372319355,0.23838838681861219,1.8708464773602511,0.626390990136073,0.9064716312056736,0.36300832664999794,2.4971097483382723,0.9151339624095741
VALIDATION_11_T,final_round_normalized_efficiency,10,11,0.432545593040752,0.47564151189004067,0.9093941176874157,0.09497670595675223,0.6521498226950353,0.4131591790841922,1.578446893375549,0.45644138472207124
VALIDATION_12_C,final_round_normalized_efficiency,12,12,0.18628917837984782,0.20817768394941574,0.8948566188540817,0.11109177593873051,0.0,0.17717086834733897,0.0,
VALIDATION_12_T,final_round_normalized_efficiency,12,12,0.055886753513954335,0.32123983268754447,0.17397205398345747,1.7488606019571356,0.0,0.3865108543417367,0.0,
VALIDATION_13_C,final_round_normalized_efficiency,10,10,0.13620863591972546,0.19457814395275885,0.7000202240226694,0.35664605289512635,0.26109015804597696,0.21219405594405594,1.2304310640766123,0.20736456658692728
VALIDATION_13_T,final_round_normalized_efficiency,11,11,0.08244706462085487,0.2735662484795471,0.3013787887909679,1.1993873708768124,0.12257543103448276,0.28871880412533446,0.42454952459997053,0.8567266143113392
VALIDATION_14_C,final_round_normalized_efficiency,12,12,0.0734725832274265,0.3235742334137886,0.22706561784068058,1.4825162378946335,0.12239583333333337,0.45166666666666655,0.2709870848708489,1.305684116541222
VALIDATION_14_T,final_round_normalized_efficiency,10,10,0.10696248044161201,1.0724088604114053,0.09974039229830522,2.305184545662499,0.09375000000000001,0.203125,0.4615384615384616,0.7731898882334816
VALIDATION_15_C,final_round_normalized_efficiency,11,11,0.23524625845582103,0.24943391664684408,0.9431205732494256,0.05856114317608829,0.26923076923076916,0.39239926739926745,0.6861143523920651,0.37671097069915327
VALIDATION_15_T,final_round_normalized_efficiency,9,9,0.262538066562137,0.6815117251382604,0.38522897974921133,0.9539173688942274,0.4615384615384614,0.2234848484848485,2.065189048239895,0.7252217710071146
VALIDATION_16_C,final_round_normalized_efficiency,10,10,0.06666666666666667,0.33781024752987077,0.19734945033238427,1.6227792621197021,0.0,0.3974960876369328,0.0,
VALIDATION_16_T,final_round_normalized_efficiency,8,8,0.1659940129814296,0.9836276043157709,0.16875696884991148,1.7792956531938264,0.2361111111111111,0.6251956181533647,0.37765957446808507,0.9737620857886339
VALIDATION_17_C,final_round_normalized_efficiency,11,11,0.4847459310118427,0.13585255991392448,3.5681766417870624,1.2720547207196362,1.0009442870632672,0.1642625328190076,6.093564185852144,1.8072331627210025
VALIDATION_17_T,final_round_normalized_efficiency,8,8,0.4005458927508916,0.2031456740393295,1.971717560046811,0.6789050207943536,0.6752894985338701,0.1366218846129701,4.942762284731081,1.5979243418738571
VALIDATION_18_C,final_round_normalized_efficiency,12,12,0.478139679763325,0.4197840765343599,1.1390133797135313,0.13016243129116178,1.0135135135135134,0.5658783783783783,1.791044776119403,0.58279912339108
VALIDATION_18_T,final_round_normalized_efficiency,10,10,0.4031504007405162,0.5506993448647906,0.7320698753318818,0.31187931147299663,0.4940878378378378,0.9142736486486485,0.5404157043879908,0.6154166126447883
VALIDATION_19_C,final_round_normalized_efficiency,10,10,0.09592528423856767,0.5726657662189237,0.16750658044730493,1.7867326422361338,0.125,0.4084821428571428,0.3060109289617487,1.1841344621062715
VALIDATION_19_T,final_round_normalized_efficiency,10,10,0.04318835925339142,4.998625867457863,0.008640046364453277,4.751347329924405,0.015625,0.78125,0.02,3.912023005428146
VALIDATION_1_C,final_round_normalized_efficiency,8,8,0.0,0.32795732377770404,0.0,,0.0,0.5486798679867986,0.0,
VALIDATION_1_T,final_round_normalized_efficiency,8,8,0.1916874613116987,1.0400321086678526,0.1843091763361284,1.6911406253335428,0.2805280528052805,0.726072607260726,0.38636363636363635,0.9509762898620451
VALIDATION_2_C,final_round_normalized_efficiency,9,9,0.1304902355346278,0.25322935632098775,0.5153045343179775,0.6629972243115951,0.15046296296296297,0.37037037037037035,0.40625000000000006,0.9007865453381897
VALIDATION_2_T,final_round_normalized_efficiency,11,11,0.14517151877952172,0.3369074226379392,0.43089439123320145,0.8418922508451483,0.16782407407407407,0.4224537037037036,0.39726027397260283,0.9231636111619169
