family_name,metric,run_name,mean_value,stderr,n_groups,bootstrap_mean,bootstrap_p05,bootstrap_p95
gpt-5-mini,player_mean_payoff,baseline_gpt_5_mini,16.63006827400272,3.253798485056938,40.0,,,
gpt-5-mini,round_efficiency,baseline_gpt_5_mini,0.35346595498836214,0.02909797800897978,40.0,,,
gpt-5-mini,player_mean_payoff,demographic_only_row_resampled_seed_0_gpt_5_mini,15.391841903619513,3.1875497430749884,40.0,,,
gpt-5-mini,round_efficiency,demographic_only_row_resampled_seed_0_gpt_5_mini,0.3178001803437215,0.02928101414301461,40.0,,,
gpt-5-mini,player_mean_payoff,twin_sampled_seed_0_gpt_5_mini,11.533170731525942,2.514552672671653,40.0,,,
gpt-5-mini,round_efficiency,twin_sampled_seed_0_gpt_5_mini,0.24585808236693554,0.02224250490939491,40.0,,,
gpt-5-mini,player_mean_payoff,twin_sampled_unadjusted_seed_0_gpt_5_mini,10.68320306048339,2.3418444350595986,40.0,,,
gpt-5-mini,round_efficiency,twin_sampled_unadjusted_seed_0_gpt_5_mini,0.23449275117906065,0.02275150313060641,40.0,,,
gpt-5-mini,player_mean_payoff,human_ceiling,,,,1.9001468057565345,1.6942571024224296,2.1214366037682155
gpt-5-mini,round_efficiency,human_ceiling,,,,0.05860640739911929,0.051297804309810596,0.06633080725129654
gpt-5.1,player_mean_payoff,baseline_gpt_5_1,12.059644426235527,2.9055130571991583,40.0,,,
gpt-5.1,round_efficiency,baseline_gpt_5_1,0.25019129157865583,0.022476694288656306,40.0,,,
gpt-5.1,player_mean_payoff,demographic_only_row_resampled_seed_0_gpt_5_1,11.695020023393486,2.5477321925435215,40.0,,,
gpt-5.1,round_efficiency,demographic_only_row_resampled_seed_0_gpt_5_1,0.25390322939273025,0.022767172144757604,40.0,,,
gpt-5.1,player_mean_payoff,twin_sampled_seed_0_gpt_5_1,9.062410029599553,1.665778464035043,40.0,,,
gpt-5.1,round_efficiency,twin_sampled_seed_0_gpt_5_1,0.21966981506708327,0.017480201865864405,40.0,,,
gpt-5.1,player_mean_payoff,twin_sampled_unadjusted_seed_0_gpt_5_1,8.688001368947734,1.6092648504536444,40.0,,,
gpt-5.1,round_efficiency,twin_sampled_unadjusted_seed_0_gpt_5_1,0.22199972988141797,0.018281837989474303,40.0,,,
gpt-5.1,player_mean_payoff,human_ceiling,,,,1.9001468057565345,1.6942571024224296,2.1214366037682155
gpt-5.1,round_efficiency,human_ceiling,,,,0.05860640739911929,0.051297804309810596,0.06633080725129654
