metric,n_treatments,mean_abs_error,median_abs_error
act_rate,10,0.442,0.59
check_rate,8,0.1825,0.21000000000000002
fast_rate,2,0.39999999999999997,0.39999999999999997
mean_action_premium,5,1.8800000000000001,2.2600000000000002
mean_action_premium_after_check,4,2.27,1.8199999999999998
mean_action_premium_fast,1,3.3799999999999994,3.3799999999999994
mean_action_premium_slow,1,2.7399999999999998,2.7399999999999998
mean_action_premium_without_check,4,2.21,2.05
mean_fast_premium_if_act,1,0.22000000000000008,0.22000000000000008
mean_fast_premium_if_no_act,1,0.42,0.42
mean_process_premium_if_act,4,0.34,0.41000000000000003
mean_process_premium_if_no_act,4,0.51,0.5599999999999999
mean_return_pct,10,11.11,10.739999999999998
mean_send_if_act,5,0.9559999999999998,0.9199999999999999
mean_send_if_act_after_check,4,0.8699999999999997,0.6999999999999997
mean_send_if_act_fast,1,2.1400000000000006,2.1400000000000006
mean_send_if_act_slow,1,1.92,1.92
mean_send_if_act_without_check,4,0.8699999999999999,0.6000000000000001
mean_send_if_no_act,5,0.9320000000000002,1.2600000000000007
mean_send_if_no_act_after_check,4,1.4099999999999997,1.2099999999999995
mean_send_if_no_act_fast,1,1.2400000000000002,1.2400000000000002
mean_send_if_no_act_slow,1,0.8199999999999998,0.8199999999999998
mean_send_if_no_act_without_check,4,1.34,1.4500000000000002
pattern_checked_act,8,0.4025,0.44000000000000006
pattern_checked_no_act,8,0.245,0.19
pattern_fast_act,2,0.72,0.72
pattern_fast_no_act,2,0.32,0.32
pattern_slow_act,2,0.11,0.11
pattern_slow_no_act,2,0.29000000000000004,0.29000000000000004
pattern_unchecked_act,8,0.0975,0.1
pattern_unchecked_no_act,8,0.155,0.13
