unit_id,profile_id,summary,source_row_id,matching_age_bracket,matching_sex,matching_education
00bepzvk,minority_game_bret_njzas_demo_profile_00001,"54-year-old, male, White, High school diploma/A-levels, part-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01704,50-64,male,high school
00g8t5am,minority_game_bret_njzas_demo_profile_00002,"36-year-old, male, Asian, Graduate degree (MA/MSc/MPhil/other), not in paid work (e.g. homemaker', 'retired or disabled), United Kingdom citizen living in United Kingdom.",minority_demo_source_01276,30-49,male,postgraduate
00okp6aa,minority_game_bret_njzas_demo_profile_00003,"37-year-old, male, White, Doctorate degree (PhD/other), full-time, Italy citizen living in United Kingdom, born in Italy.",minority_demo_source_01024,30-49,male,postgraduate
01ccqf0z,minority_game_bret_njzas_demo_profile_00004,"34-year-old, male, White, Graduate degree (MA/MSc/MPhil/other), full-time, Italy citizen living in United Kingdom, born in Italy.",minority_demo_source_00541,30-49,male,postgraduate
01ubxp0s,minority_game_bret_njzas_demo_profile_00005,"20-year-old, male, White, Undergraduate degree (BA/BSc/other), student, other, United Kingdom citizen living in United Kingdom.",minority_demo_source_00617,18-29,male,college/postsecondary
024b8dre,minority_game_bret_njzas_demo_profile_00006,"60-year-old, male, White, Graduate degree (MA/MSc/MPhil/other), full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_00083,50-64,male,postgraduate
0268s5y8,minority_game_bret_njzas_demo_profile_00007,"23-year-old, male, White, Graduate degree (MA/MSc/MPhil/other), unemployed (and job seeking), United Kingdom citizen living in United Kingdom.",minority_demo_source_00151,18-29,male,postgraduate
02giodi8,minority_game_bret_njzas_demo_profile_00008,"30-year-old, female, White, Undergraduate degree (BA/BSc/other), full-time, Latvia citizen living in United Kingdom, born in Latvia.",minority_demo_source_00034,30-49,female,college/postsecondary
02tv1qz6,minority_game_bret_njzas_demo_profile_00009,"37-year-old, male, White, Technical/community college, full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_00352,30-49,male,college/postsecondary
02vnkog8,minority_game_bret_njzas_demo_profile_00010,"40-year-old, male, White, Secondary education (e.g. GED/GCSE), full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01629,30-49,male,high school
051fm7lz,minority_game_bret_njzas_demo_profile_00011,"57-year-old, female, White, Undergraduate degree (BA/BSc/other), part-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01301,50-64,female,college/postsecondary
0559yfs3,minority_game_bret_njzas_demo_profile_00012,"38-year-old, male, Other, Graduate degree (MA/MSc/MPhil/other), full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01829,30-49,male,postgraduate
05m1mr7w,minority_game_bret_njzas_demo_profile_00013,"53-year-old, male, White, Graduate degree (MA/MSc/MPhil/other), full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01009,50-64,male,postgraduate
06k1m1d7,minority_game_bret_njzas_demo_profile_00014,"43-year-old, male, White, High school diploma/A-levels, full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01216,30-49,male,high school
06mfopjs,minority_game_bret_njzas_demo_profile_00015,"25-year-old, male, White, Undergraduate degree (BA/BSc/other), unemployed (and job seeking), United Kingdom citizen living in United Kingdom.",minority_demo_source_01945,18-29,male,college/postsecondary
09bgz4bu,minority_game_bret_njzas_demo_profile_00016,"20-year-old, male, White, High school diploma/A-levels, student, part-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01462,18-29,male,high school
09c9rf7v,minority_game_bret_njzas_demo_profile_00017,"30-year-old, female, White, High school diploma/A-levels, full-time, Italy citizen living in United Kingdom, born in Italy.",minority_demo_source_01267,30-49,female,high school
09rqx4uq,minority_game_bret_njzas_demo_profile_00018,"26-year-old, female, White, Undergraduate degree (BA/BSc/other), full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01089,18-29,female,college/postsecondary
09vwx04x,minority_game_bret_njzas_demo_profile_00019,"26-year-old, male, Asian, Undergraduate degree (BA/BSc/other), student, other, United Kingdom citizen living in United Kingdom, born in Sri Lanka.",minority_demo_source_01122,18-29,male,college/postsecondary
09x7uvd0,minority_game_bret_njzas_demo_profile_00020,"23-year-old, female, Asian, Undergraduate degree (BA/BSc/other), student, full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01873,18-29,female,college/postsecondary
09y07ob4,minority_game_bret_njzas_demo_profile_00021,"40-year-old, female, Asian, Undergraduate degree (BA/BSc/other), part-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_00556,30-49,female,college/postsecondary
0bbscwqf,minority_game_bret_njzas_demo_profile_00022,"27-year-old, female, White, Undergraduate degree (BA/BSc/other), student, part-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01635,18-29,female,college/postsecondary
0bhpk52r,minority_game_bret_njzas_demo_profile_00023,"37-year-old, male, White, Graduate degree (MA/MSc/MPhil/other), full-time, United Kingdom citizen living in United Kingdom, born in Poland.",minority_demo_source_01344,30-49,male,postgraduate
0ccif91b,minority_game_bret_njzas_demo_profile_00024,"41-year-old, female, White, Undergraduate degree (BA/BSc/other), part-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_00006,30-49,female,college/postsecondary
0cqpyzro,minority_game_bret_njzas_demo_profile_00025,"32-year-old, male, White, High school diploma/A-levels, full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_00790,30-49,male,high school
0dgqcg7v,minority_game_bret_njzas_demo_profile_00026,"58-year-old, female, White, Doctorate degree (PhD/other), not in paid work (e.g. homemaker', 'retired or disabled), United Kingdom citizen living in United Kingdom.",minority_demo_source_01718,50-64,female,postgraduate
0e20qls4,minority_game_bret_njzas_demo_profile_00027,"31-year-old, male, Asian, Technical/community college, full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01111,30-49,male,college/postsecondary
0fhgvroy,minority_game_bret_njzas_demo_profile_00028,"41-year-old, male, White, Undergraduate degree (BA/BSc/other), full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_00068,30-49,male,college/postsecondary
0gygf8b0,minority_game_bret_njzas_demo_profile_00029,"40-year-old, female, White, Undergraduate degree (BA/BSc/other), student, part-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01533,30-49,female,college/postsecondary
0hbvf9yq,minority_game_bret_njzas_demo_profile_00030,"20-year-old, male, White, High school diploma/A-levels, student, part-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01462,18-29,male,high school
0himwaks,minority_game_bret_njzas_demo_profile_00031,"34-year-old, male, White, High school diploma/A-levels, full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01696,30-49,male,high school
0hsj7r3t,minority_game_bret_njzas_demo_profile_00032,"37-year-old, male, White, Technical/community college, full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_00352,30-49,male,college/postsecondary
0i1ucuab,minority_game_bret_njzas_demo_profile_00033,"32-year-old, female, White, Technical/community college, student, full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_00179,30-49,female,college/postsecondary
0jk811d8,minority_game_bret_njzas_demo_profile_00034,"34-year-old, female, Mixed, Graduate degree (MA/MSc/MPhil/other), United Kingdom citizen living in United Kingdom.",minority_demo_source_01729,30-49,female,postgraduate
0jo78c23,minority_game_bret_njzas_demo_profile_00035,"29-year-old, male, White, Undergraduate degree (BA/BSc/other), other, United Kingdom citizen living in United Kingdom.",minority_demo_source_00045,18-29,male,college/postsecondary
0ki3gzxu,minority_game_bret_njzas_demo_profile_00036,"35-year-old, female, White, Graduate degree (MA/MSc/MPhil/other), full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01085,30-49,female,postgraduate
0kj460f8,minority_game_bret_njzas_demo_profile_00037,"29-year-old, male, White, Undergraduate degree (BA/BSc/other), not in paid work (e.g. homemaker', 'retired or disabled), United Kingdom citizen living in United Kingdom.",minority_demo_source_00162,18-29,male,college/postsecondary
0m4fqa3c,minority_game_bret_njzas_demo_profile_00038,"43-year-old, female, White, Graduate degree (MA/MSc/MPhil/other), part-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_00601,30-49,female,postgraduate
0m7xfyrf,minority_game_bret_njzas_demo_profile_00039,"30-year-old, male, White, High school diploma/A-levels, unemployed (and job seeking), United Kingdom citizen living in United Kingdom.",minority_demo_source_00964,30-49,male,high school
0mb9rgae,minority_game_bret_njzas_demo_profile_00040,"42-year-old, female, White, Undergraduate degree (BA/BSc/other), part-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_00847,30-49,female,college/postsecondary
0n0vn4et,minority_game_bret_njzas_demo_profile_00041,"24-year-old, male, Asian, Graduate degree (MA/MSc/MPhil/other), due to start a new job within the next month, Malaysia citizen living in United Kingdom, born in Malaysia.",minority_demo_source_00808,18-29,male,postgraduate
0nelw9on,minority_game_bret_njzas_demo_profile_00042,"37-year-old, male, White, Doctorate degree (PhD/other), full-time, Ireland citizen living in United Kingdom.",minority_demo_source_00057,30-49,male,postgraduate
0nz7ibqq,minority_game_bret_njzas_demo_profile_00043,"32-year-old, male, White, Doctorate degree (PhD/other), student, full-time, Turkey citizen living in United Kingdom.",minority_demo_source_00011,30-49,male,postgraduate
0o0az476,minority_game_bret_njzas_demo_profile_00044,"34-year-old, female, White, Graduate degree (MA/MSc/MPhil/other), full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_00249,30-49,female,postgraduate
0oe9tq4w,minority_game_bret_njzas_demo_profile_00045,"38-year-old, female, White, Undergraduate degree (BA/BSc/other), full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_00017,30-49,female,college/postsecondary
0p11mh6p,minority_game_bret_njzas_demo_profile_00046,"37-year-old, male, White, Graduate degree (MA/MSc/MPhil/other), full-time, United Kingdom citizen living in United Kingdom, born in Poland.",minority_demo_source_01344,30-49,male,postgraduate
0p36jbf4,minority_game_bret_njzas_demo_profile_00047,"65-year-old, male, White, Technical/community college, not in paid work (e.g. homemaker', 'retired or disabled), United Kingdom citizen living in United Kingdom.",minority_demo_source_01053,65+,male,college/postsecondary
0qjdnsy8,minority_game_bret_njzas_demo_profile_00048,"41-year-old, male, White, Undergraduate degree (BA/BSc/other), full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01297,30-49,male,college/postsecondary
0qle7ojp,minority_game_bret_njzas_demo_profile_00049,"45-year-old, male, White, Undergraduate degree (BA/BSc/other), part-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_00516,30-49,male,college/postsecondary
0qncdp9c,minority_game_bret_njzas_demo_profile_00050,"29-year-old, female, White, Undergraduate degree (BA/BSc/other), full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01233,18-29,female,college/postsecondary
0qypvj20,minority_game_bret_njzas_demo_profile_00051,"48-year-old, female, Asian, Undergraduate degree (BA/BSc/other), full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01531,30-49,female,college/postsecondary
0qzrk6y4,minority_game_bret_njzas_demo_profile_00052,"24-year-old, female, White, Graduate degree (MA/MSc/MPhil/other), other, United Kingdom citizen living in United Kingdom.",minority_demo_source_00769,18-29,female,postgraduate
0rkfpg4y,minority_game_bret_njzas_demo_profile_00053,"29-year-old, female, White, Technical/community college, full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_00924,18-29,female,college/postsecondary
0rst3pzg,minority_game_bret_njzas_demo_profile_00054,"66-year-old, male, White, High school diploma/A-levels, part-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01998,65+,male,high school
0run6fwe,minority_game_bret_njzas_demo_profile_00055,"29-year-old, female, White, Undergraduate degree (BA/BSc/other), full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01613,18-29,female,college/postsecondary
0txfdz91,minority_game_bret_njzas_demo_profile_00056,"55-year-old, female, White, Graduate degree (MA/MSc/MPhil/other), United Kingdom citizen living in United Kingdom.",minority_demo_source_01965,50-64,female,postgraduate
0uddip6e,minority_game_bret_njzas_demo_profile_00057,"37-year-old, female, White, Secondary education (e.g. GED/GCSE), part-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_00761,30-49,female,high school
0uv2u7fc,minority_game_bret_njzas_demo_profile_00058,"28-year-old, male, White, Graduate degree (MA/MSc/MPhil/other), student, full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01374,18-29,male,postgraduate
0w0ctdq7,minority_game_bret_njzas_demo_profile_00059,"60-year-old, male, White, Secondary education (e.g. GED/GCSE), part-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01904,50-64,male,high school
0wflnbp0,minority_game_bret_njzas_demo_profile_00060,"33-year-old, male, White, Undergraduate degree (BA/BSc/other), United Kingdom citizen living in United Kingdom.",minority_demo_source_01303,30-49,male,college/postsecondary
0wupqta6,minority_game_bret_njzas_demo_profile_00061,"40-year-old, male, White, Technical/community college, full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01684,30-49,male,college/postsecondary
0x1heyif,minority_game_bret_njzas_demo_profile_00062,"53-year-old, male, White, Graduate degree (MA/MSc/MPhil/other), part-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_01379,50-64,male,postgraduate
0x8u9a82,minority_game_bret_njzas_demo_profile_00063,"20-year-old, male, White, High school diploma/A-levels, student, not in paid work (e.g. homemaker', 'retired or disabled), United Kingdom citizen living in United Kingdom.",minority_demo_source_01411,18-29,male,high school
0xr34tdz,minority_game_bret_njzas_demo_profile_00064,"30-year-old, male, White, Undergraduate degree (BA/BSc/other), full-time, United Kingdom citizen living in United Kingdom.",minority_demo_source_00780,30-49,male,college/postsecondary
0y8l8fyi,minority_game_bret_njzas_demo_profile_00065,"30-year-old, male, White, Graduate degree (MA/MSc/MPhil/other), United Kingdom citizen living in United Kingdom.",minority_demo_source_01753,30-49,male,postgraduate
0yglyhdd,minority_game_bret_njzas_demo_profile_00066,"35-year-old, female, White, Undergraduate degree (BA/BSc/other), not in paid work (e.g. homemaker', 'retired or disabled), United Kingdom citizen living in United Kingdom.",minority_demo_source_00271,30-49,female,college/postsecondary
