tag,alignment_score_orig,k_with_orig,k_without_orig,n_with_orig,n_without_orig,sil_with_orig,sil_without_orig,db_with_orig,db_without_orig,ch_with_orig,ch_without_orig,alignment_score_delex,k_with_delex,k_without_delex,n_with_delex,n_without_delex,sil_with_delex,sil_without_delex,db_with_delex,db_without_delex,ch_with_delex,ch_without_delex
PUNISHMENT,1.0447961653384783,6,7,1812,1879,0.4398606419563293,0.4087656736373901,0.7051422797767944,0.7934746007800694,2272.772705078125,2173.789306640625,0.6424263159868223,6,7,1812,1879,0.3615745306015014,0.4035766720771789,0.8525508974638639,0.7897455614975047,1844.0625,2296.797119140625
REWARD,0.9321677664303322,6,7,1815,1876,0.4184918403625488,0.4525707960128784,0.7298776778457055,0.7445483698061669,1946.0533447265625,2753.883056640625,0.7977607075738319,6,7,1815,1876,0.3727318346500397,0.3808048367500305,0.8572268927733503,0.8642302852917715,1927.82373046875,2129.95849609375
COMMUNICATION,0.8860834831616803,7,6,1870,1821,0.4056477844715118,0.466750830411911,0.7444594728378969,0.7010443972046914,2145.79638671875,2986.69287109375,0.6425544017077504,7,6,1870,1821,0.3737906813621521,0.3861479461193084,0.8350535832235862,0.8460635433298256,1818.7808837890625,1931.045654296875
