metric,num_treatments,mean_abs_diff_from_human_mean,mean_abs_z_score,median_abs_z_score,mean_percentile_within_humans,median_percentile_within_humans,within_human_range_rate,within_human_iqr_rate
final_round_normalized_efficiency,40,0.4192951320100957,1.4125974422565593,0.9149961700461577,0.2836152290288981,0.16666666666666666,0.6906474820143885,0.3237410071942446
final_total_contribution_rate,40,0.3840124789154642,2.6463537297110946,1.9273664434172402,0.2580399316910108,0.08333333333333333,0.4892086330935252,0.2733812949640288
mean_round_normalized_efficiency,40,0.2228089446395739,1.2592214413609288,0.8153286420278939,0.394237337402805,0.36363636363636365,0.7673860911270983,0.34772182254196643
mean_total_contribution_rate,40,0.20108683246708534,1.709525737953022,1.2074784822809512,0.3961688225177434,0.3333333333333333,0.6498800959232613,0.2733812949640288
mean_within_round_contribution_rate_var,40,0.05879677858238804,1.6129600387991359,1.237792697566631,0.18041263958530146,0.1,0.5899280575539568,0.22302158273381295
messages_per_round,26,2.3356111295127606,1.8206828891931885,1.1060033357672943,0.69738814134121,0.8181818181818182,0.7509025270758123,0.33574007220216606
punish_actor_round_rate,20,0.12690550615921908,1.2587770095171145,0.9921545817137736,0.18761522996959892,0.15,0.6941747572815534,0.3300970873786408
reward_actor_round_rate,22,0.16590894340074883,1.2781299647888094,1.1059832760828594,0.12947957839262186,0.05,0.6565217391304348,0.13478260869565217
round_normalized_efficiency_decay_slope,40,0.4345758855764375,1.5397506691150111,0.927511319191824,0.22415582685366858,0.1,0.6091127098321343,0.2685851318944844
round_normalized_efficiency_rmse_to_treatment_mean,40,0.16724179054404825,1.4317053098293275,0.7312194482803384,0.5435651478816946,0.5454545454545454,0.7529976019184652,0.40047961630695444
rounds_with_chat_rate,26,0.4629893085860115,1.8213513131781742,1.4459683281967535,0.9164902636473033,0.95,0.628158844765343,0.19494584837545126
total_contribution_rate_decay_slope,40,0.35935429701178306,2.407916051921925,1.7359755706925235,0.2161228592883269,0.09090909090909091,0.4988009592326139,0.18944844124700239
total_contribution_rate_rmse_to_treatment_mean,40,0.12697808571558308,2.1555703636622074,1.002960866709079,0.690875784221108,0.8,0.6522781774580336,0.3237410071942446
total_contribution_rate_sd,40,0.07087459628249539,1.7599752116040634,1.261880609450115,0.5385552164329144,0.6,0.5851318944844125,0.2565947242206235
