model_name,cue,cue_label,outcome,outcome_label,eligibility_filter,beta,stderr,pvalue,ci_low,ci_high,num_seats,num_games,num_twin_profiles
gpt-5-mini twin,behavioral_stability,Behavioral stability,player_contribution_volatility,Contribution volatility,all_games,-0.1241500574449376,0.01940538118486039,1.577214886747043e-10,-0.16218460456726397,-0.08611551032261122,3582,417,1576
gpt-5.1 twin,behavioral_stability,Behavioral stability,player_contribution_volatility,Contribution volatility,all_games,-0.09596725407240662,0.021152104865237966,5.705813370264155e-06,-0.13742537960827303,-0.05450912853654021,3582,417,1576
gpt-5-mini twin,behavioral_stability,Behavioral stability,player_mean_contribution_rate,Mean contribution,all_games,0.18134804965053317,0.01989270245619528,7.772543553109158e-20,0.14235835283639042,0.2203377464646759,3582,417,1576
gpt-5.1 twin,behavioral_stability,Behavioral stability,player_mean_contribution_rate,Mean contribution,all_games,0.15219580885971742,0.020713466234939405,2.0168481951461353e-13,0.11159741503923619,0.19279420268019865,3582,417,1576
gpt-5-mini twin,behavioral_stability,Behavioral stability,player_mean_normalized_payoff,Mean normalized payoff,all_games,-0.1758352867115601,0.021227854024886743,1.1987433565843345e-16,-0.21744188060033812,-0.13422869282278208,3582,417,1576
gpt-5.1 twin,behavioral_stability,Behavioral stability,player_mean_normalized_payoff,Mean normalized payoff,all_games,-0.15861678603706256,0.019995902408409524,2.14839139371028e-15,-0.19780875475754522,-0.11942481731657989,3582,417,1576
gpt-5-mini twin,behavioral_stability,Behavioral stability,player_message_rate,Message rate,chat_enabled,0.07962319570219324,0.02329792020140265,0.0006317365311873779,0.033959272107444045,0.12528711929694245,2125,277,1224
gpt-5.1 twin,behavioral_stability,Behavioral stability,player_message_rate,Message rate,chat_enabled,0.1570823990289054,0.019507604202472925,8.120760062551532e-16,0.11884749479205846,0.1953173032657523,2125,277,1224
gpt-5-mini twin,behavioral_stability,Behavioral stability,player_punish_round_rate,Punish rate,punishment_enabled,0.259340094445021,0.026719540862478734,2.8425078203216944e-22,0.20696979435456267,0.31171039453547933,1751,206,1100
gpt-5.1 twin,behavioral_stability,Behavioral stability,player_punish_round_rate,Punish rate,punishment_enabled,0.17864850569217172,0.038012231961427785,2.6046277097456648e-06,0.10414453104777327,0.2531524803365702,1751,206,1100
gpt-5-mini twin,behavioral_stability,Behavioral stability,player_reward_round_rate,Reward rate,reward_enabled,0.1452561453311383,0.024469198808564605,2.9155226891922537e-09,0.09729651566635167,0.1932157749959249,1953,230,1207
gpt-5.1 twin,behavioral_stability,Behavioral stability,player_reward_round_rate,Reward rate,reward_enabled,0.09820272867831226,0.02915958282399396,0.0007577915827766424,0.0410499463432841,0.1553555110133404,1953,230,1207
gpt-5-mini twin,communication_coordination,Communication coordination,player_contribution_volatility,Contribution volatility,all_games,-0.0340311213595502,0.020343700172670953,0.09436493529786445,-0.07390477369798526,0.0058425309788848676,3582,417,1576
