feature,marginal_tv,n_eval_values,coef_abs_mean,tag
CONFIG_punishmentExists,0.15121831534318797,2,0.5263596127262833,RESPONSE_TO_END_GAME
CONFIG_chat,0.15098898208144823,2,0.3506478646751454,RESPONSE_TO_END_GAME
CONFIG_rewardExists,0.11838215905244301,2,0.30240268702377454,RESPONSE_TO_END_GAME
CONFIG_showOtherSummaries,0.08243075463947584,2,0.19884511886746273,RESPONSE_TO_END_GAME
CONFIG_allOrNothing,0.07760758161015242,2,0.16725001463907668,RESPONSE_TO_END_GAME
CONFIG_numRounds,0.0690920076819947,10,0.18016551574912706,RESPONSE_TO_END_GAME
CONFIG_MPCR,0.0647500356430511,10,0.16676759013437312,RESPONSE_TO_END_GAME
CONFIG_punishmentMagnitude,0.05609592863467133,9,0.15053827367439018,RESPONSE_TO_END_GAME
CONFIG_playerCount,0.055363995805497564,10,0.1578068188380631,RESPONSE_TO_END_GAME
CONFIG_rewardMagnitude,0.053742876703653714,6,0.13584918162884804,RESPONSE_TO_END_GAME
CONFIG_defaultContribProp,0.0505280553735433,2,0.1119524730081768,RESPONSE_TO_END_GAME
CONFIG_showRewardId,0.020853367482157503,2,0.04967788359421552,RESPONSE_TO_END_GAME
CONFIG_showPunishmentId,0.020853367482157503,2,0.04967788359421552,RESPONSE_TO_END_GAME
