record_id,treatment_name,n_requests,n_players,top1_total,top1_unique_players,top1_effective_n,top1_effective_n_share_of_players,top1_top_player,top1_top_player_count,top1_top_player_share,top1_uniform_expected_share,probability_unique_players,probability_effective_n,top_probability_player,top_probability_share
chip2__cohort_01_m7xia7__game_1,CHIP2__GAME_1,32,3,32.0,3,2.490865864796076,0.830288621598692,cat-pink-8143,18.0,0.5625,0.3333333333333333,3,2.8410176345332787,cat-pink-8143,0.45031250000000006
chip2__cohort_02_m7xiz2__game_1,CHIP2__GAME_1,32,3,32.0,3,2.6391521302478145,0.8797173767492715,otter-blue-1497,18.0,0.5625,0.3333333333333333,3,2.854296771427912,otter-blue-1497,0.48593749999999997
chip2__cohort_03_m8aexq__game_1,CHIP2__GAME_1,32,3,32.0,3,2.759537472461462,0.9198458241538207,dog-purple-778,17.0,0.53125,0.3333333333333333,3,2.8681811167844504,dog-purple-778,0.47843750000000007
chip2__cohort_04_m8aexq__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,32,3,32.0,3,2.4471461657205658,0.8157153885735219,iguana-orange-9224,19.0,0.59375,0.3333333333333333,3,2.7763083750840756,iguana-orange-9224,0.508125
chip2__cohort_05_m7xjzy__game_1,CHIP2__GAME_1,32,3,32.0,3,2.0599357721347684,0.6866452573782561,owl-yellow-7660,22.0,0.6875,0.3333333333333333,3,2.5992434524863546,owl-yellow-7660,0.5659375
chip2__cohort_05_m7xjzy__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,32,3,32.0,3,1.9280857762075423,0.6426952587358474,iguana-red-1137,24.0,0.75,0.3333333333333333,3,2.6053839124099993,iguana-red-1137,0.5803125
chip2__cohort_05_m8aexq__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,32,3,32.0,3,2.4602329762891006,0.8200776587630335,duck-pink-5390,20.0,0.625,0.3333333333333333,3,2.8020535166223657,duck-pink-5390,0.501875
chip2__cohort_07_m8ag8i__game_1,CHIP2__GAME_1,32,3,32.0,3,2.6008869288389365,0.8669623096129788,whale-green-1798,19.0,0.59375,0.3333333333333333,3,2.850241745705972,whale-green-1798,0.486875
chip2__cohort_12_m8agmu__game_1,CHIP2__GAME_1,32,3,32.0,3,2.524944422019916,0.8416481406733053,monkey-pink-6874,19.0,0.59375,0.3333333333333333,3,2.7514021489748717,monkey-pink-6874,0.5228125000000001
chip2__cohort_12_m8agmu__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,32,3,32.0,3,2.690047357268725,0.8966824524229083,goose-purple-9985,17.0,0.53125,0.3333333333333333,3,2.8575392286264596,goose-purple-9985,0.47437500000000005
chip2__cohort_14_m8agmu__game_1,CHIP2__GAME_1,32,3,32.0,3,2.499924953703035,0.8333083179010116,ram-pink-8623,20.0,0.625,0.3333333333333333,3,2.8106257630236167,ram-pink-8623,0.5084374999999999
chip2__cohort_14_m8agmu__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,32,3,32.0,3,2.2965374234073592,0.7655124744691197,otter-pink-5988,22.0,0.6875,0.3333333333333333,3,2.7200999607821728,otter-pink-5988,0.54875
chip2__cohort_15_m8agmu__game_1,CHIP2__GAME_1,32,3,32.0,3,2.392739436740695,0.7975798122468983,camel-pink-767,20.0,0.625,0.3333333333333333,3,2.7969006013889004,camel-pink-767,0.51
chip2__cohort_15_m8agmu__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,32,3,32.0,3,2.690047357268725,0.8966824524229083,camel-pink-767,17.0,0.53125,0.3333333333333333,3,2.8533902139623013,camel-pink-767,0.4756250000000001
chip2__cohort_18_m8agzl__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,32,3,32.0,3,2.499924953703035,0.8333083179010116,turtle-yellow-3106,20.0,0.625,0.3333333333333333,3,2.907919079736704,turtle-yellow-3106,0.451875
chip2__cohort_20_m8agzl__game_2_alt_profile,CHIP2__GAME_2_ALT_PROFILE,32,3,32.0,3,2.419636060125915,0.806545353375305,tiger-yellow-3019,15.0,0.46875,0.3333333333333333,3,2.8482277009590153,tiger-yellow-3019,0.40875
chip3__cohort_01_m8aiq8__game_1,CHIP3__GAME_1,32,3,32.0,3,2.759537472461462,0.9198458241538207,buffalo-green-2230,17.0,0.53125,0.3333333333333333,3,2.9142698556687994,buffalo-green-2230,0.44875
chip3__cohort_01_m8aiq8__game_2_alt_profile,CHIP3__GAME_2_ALT_PROFILE,32,3,32.0,3,2.7539127085016437,0.9179709028338813,goose-green-3433,15.0,0.46875,0.3333333333333333,3,2.8767197515211467,goose-green-3433,0.44031250000000005
chip3__cohort_02_m8aiq8__game_2_alt_profile,CHIP3__GAME_2_ALT_PROFILE,32,3,32.0,3,2.6391521302478145,0.8797173767492715,peacock-red-3668,18.0,0.5625,0.3333333333333333,3,2.8902773078207495,peacock-red-3668,0.45749999999999996
chip3__cohort_03_m8aiq8__game_2_alt_profile,CHIP3__GAME_2_ALT_PROFILE,32,3,32.0,3,2.860829690593588,0.9536098968645293,squid-yellow-9545,15.0,0.46875,0.3333333333333333,3,2.969616208824061,squid-yellow-9545,0.40093750000000006
chip3__cohort_05_m8aiq8__game_1,CHIP3__GAME_1,32,3,32.0,3,2.6391521302478145,0.8797173767492715,alligator-blue-3197,18.0,0.5625,0.3333333333333333,3,2.859897559751014,alligator-blue-3197,0.47687500000000005
chip3__cohort_06_m8ak4g__game_2_alt_profile,CHIP3__GAME_2_ALT_PROFILE,32,3,32.0,2,1.9843952490181156,0.6614650830060386,dolphin-orange-3122,18.0,0.5625,0.3333333333333333,3,2.7740004119538444,dolphin-orange-3122,0.466875
chip3__g11_m5wp7b__game_1,CHIP3__GAME_1,32,3,32.0,3,2.411715882847101,0.8039052942823669,cat-green-4185,21.0,0.65625,0.3333333333333333,3,2.8151738206638477,cat-green-4185,0.5065624999999999
chip3__g12_m5wp8p__game_2_alt_profile,CHIP3__GAME_2_ALT_PROFILE,32,3,32.0,3,2.6008869288389365,0.8669623096129788,bear-purple-7271,19.0,0.59375,0.3333333333333333,3,2.8923890416130096,bear-purple-7271,0.459375
chip3__g13_m5wp8q__game_2_alt_profile,CHIP3__GAME_2_ALT_PROFILE,32,3,32.0,3,2.1665794477914635,0.7221931492638212,gorilla-yellow-5964,23.0,0.71875,0.3333333333333333,3,2.710600903104722,gorilla-yellow-5964,0.5528124999999999
chip3__g17_m5wp8w__game_1,CHIP3__GAME_1,32,3,32.0,3,2.675366828465664,0.891788942821888,iguana-blue-1059,18.0,0.5625,0.3333333333333333,3,2.8675604508143246,iguana-blue-1059,0.47718750000000004
chip3__g20_m5wq93__game_1,CHIP3__GAME_1,32,3,32.0,3,2.675366828465664,0.891788942821888,lion-blue-472,18.0,0.5625,0.3333333333333333,3,2.839539243180315,lion-blue-472,0.49249999999999994
chip3__g3_m5wp6q__game_2_alt_profile,CHIP3__GAME_2_ALT_PROFILE,32,3,32.0,3,2.8182213824676525,0.9394071274892175,butterfly-blue-7661,15.0,0.46875,0.3333333333333333,3,2.94260991309853,butterfly-blue-7661,0.415
chip3__g6_m5wp77__game_1,CHIP3__GAME_1,32,3,32.0,3,2.8898482033797173,0.9632827344599058,dog-green-8079,14.0,0.4375,0.3333333333333333,3,2.9401470630879625,dog-green-8079,0.40687500000000004
chip3__g7_m5wp78__game_1,CHIP3__GAME_1,32,3,32.0,3,2.1975387105464486,0.7325129035154828,badger-green-4722,23.0,0.71875,0.3333333333333333,3,2.671272034172645,badger-green-4722,0.5687499999999999
chip3__g7_m5wp78__game_2_alt_profile,CHIP3__GAME_2_ALT_PROFILE,32,3,32.0,3,2.575748572619749,0.8585828575399163,badger-green-4722,19.0,0.59375,0.3333333333333333,3,2.823992557374084,badger-green-4722,0.5021875000000001
