metric,n_requests,mean_diff,iid_low,iid_high,record_low,record_high,persona_low,persona_high,paired_sign_p
final_surplus,1536,0.017322981770833645,-0.035211644422742744,0.06996984483506974,-0.1307063096788191,0.16257100097656282,-0.08480393880208302,0.12258453450520859,0.6644738567146117
final_welfare,1536,0.10429529079861298,0.00259625434027969,0.2038332432725714,-0.17368370442708145,0.38522784613715494,-0.06190433810763697,0.2696358262803837,0.33209519422950606
proposer_mean_net_surplus,1536,-0.00021390335648132147,-0.02500748517071744,0.02515613968460663,-0.05779630172164335,0.057890223524305645,-0.045382637080439665,0.045948846209490905,0.6278361713672188
proposer_acceptance_rate,1536,0.03299479166666671,0.02573271122685189,0.03995739293981485,0.018228045428240778,0.048091959635416716,0.01635188802083337,0.048977973090277814,3.1666751188335773e-25
proposer_mean_trade_ratio,1536,0.023834773826495476,0.015691117204353466,0.032161763704181875,0.00709696563490548,0.0444729931447516,0.014816421835880738,0.03306753273386472,2.439551539643966e-10
response_acceptance_rate,1536,-0.014521484374999982,-0.018369149667245354,-0.01076785843460646,-0.022646610966435166,-0.006879322193287019,-0.023089219835069428,-0.00605243598090276,1.4373995417372576e-06
response_mean_net_surplus_if_accepted,1536,-0.026346044546842626,-0.045819792176818634,-0.0070631242616340136,-0.07173496386656059,0.018983807634274402,-0.049785614873198346,-0.0027057413394682302,0.007568720105305605
received_trade_rate,1536,-0.007088758680555539,-0.010822491681134241,-0.003320520471643504,-0.014986590350115719,0.0009047670717592636,-0.014523871527777763,0.0004417860243055707,1.0358588017056694e-09
