custom_id,persona_pid,record_id,metric,matched_value,candidate_uniform_value,diff
concordia_compact_chip_match__pid_concordia_03229008ac79__record_chip3__g17_m5wp8w__game_1__p028__g020,concordia_03229008ac79,chip3__g17_m5wp8w__game_1,final_surplus,2.2600000000000002,2.733333333333334,-0.4733333333333336
concordia_compact_chip_match__pid_concordia_03229008ac79__record_chip3__g20_m5wq93__game_1__p028__g021,concordia_03229008ac79,chip3__g20_m5wq93__game_1,final_surplus,2.28,1.7999999999999996,0.4800000000000002
concordia_compact_chip_match__pid_concordia_03229008ac79__record_chip3__g3_m5wp6q__game_2_alt_profile__p028__g031,concordia_03229008ac79,chip3__g3_m5wp6q__game_2_alt_profile,final_surplus,5.031000000000001,5.203333333333332,-0.17233333333333167
concordia_compact_chip_match__pid_concordia_03229008ac79__record_chip3__g6_m5wp77__game_1__p028__g022,concordia_03229008ac79,chip3__g6_m5wp77__game_1,final_surplus,0.35000000000000026,2.5,-2.15
concordia_compact_chip_match__pid_concordia_03229008ac79__record_chip3__g7_m5wp78__game_1__p028__g023,concordia_03229008ac79,chip3__g7_m5wp78__game_1,final_surplus,5.705000000000001,4.133333333333333,1.571666666666668
concordia_compact_chip_match__pid_concordia_03229008ac79__record_chip3__g7_m5wp78__game_2_alt_profile__p028__g032,concordia_03229008ac79,chip3__g7_m5wp78__game_2_alt_profile,final_surplus,-3.2286,-0.12666666666666676,-3.101933333333333
concordia_compact_chip_match__pid_concordia_03229008ac79__record_chip3__g9_m5wp79__game_1__p028__g024,concordia_03229008ac79,chip3__g9_m5wp79__game_1,final_surplus,0.5210000000000007,-0.029999999999999957,0.5510000000000006
concordia_compact_chip_match__pid_concordia_03229008ac79__record_chip4__cohort_01_m898xg__game_2_alt_profile__p028__g041,concordia_03229008ac79,chip4__cohort_01_m898xg__game_2_alt_profile,final_surplus,4.35,3.0,1.3499999999999996
concordia_compact_chip_match__pid_concordia_03229008ac79__record_chip4__cohort_02_m7xl5i__game_2_alt_profile__p028__g042,concordia_03229008ac79,chip4__cohort_02_m7xl5i__game_2_alt_profile,final_surplus,6.75,6.666666666666666,0.08333333333333393
concordia_compact_chip_match__pid_concordia_03229008ac79__record_chip4__cohort_02_m89542__game_1__p028__g033,concordia_03229008ac79,chip4__cohort_02_m89542__game_1,final_surplus,4.12,3.5333333333333323,0.5866666666666678
concordia_compact_chip_match__pid_concordia_03229008ac79__record_chip4__cohort_02_m89542__game_2_alt_profile__p028__g043,concordia_03229008ac79,chip4__cohort_02_m89542__game_2_alt_profile,final_surplus,0.9999999999999994,1.366666666666666,-0.3666666666666666
concordia_compact_chip_match__pid_concordia_03229008ac79__record_chip4__cohort_02_m8aboy__game_2_alt_profile__p028__g044,concordia_03229008ac79,chip4__cohort_02_m8aboy__game_2_alt_profile,final_surplus,0.23100000000000037,0.8033333333333333,-0.5723333333333329
concordia_compact_chip_match__pid_concordia_03229008ac79__record_chip4__cohort_03_m898xg__game_2_alt_profile__p028__g045,concordia_03229008ac79,chip4__cohort_03_m898xg__game_2_alt_profile,final_surplus,3.2165000000000004,3.0700000000000003,0.14650000000000007
concordia_compact_chip_match__pid_concordia_03229008ac79__record_chip4__cohort_04_m89542__game_2_alt_profile__p028__g046,concordia_03229008ac79,chip4__cohort_04_m89542__game_2_alt_profile,final_surplus,2.142499999999999,2.8699999999999983,-0.7274999999999991
concordia_compact_chip_match__pid_concordia_03229008ac79__record_chip4__cohort_04_m8aboy__game_1__p028__g034,concordia_03229008ac79,chip4__cohort_04_m8aboy__game_1,final_surplus,0.5015,0.6366666666666667,-0.13516666666666677
concordia_compact_chip_match__pid_concordia_03229008ac79__record_chip4__cohort_05_m7xlsd__game_1__p028__g035,concordia_03229008ac79,chip4__cohort_05_m7xlsd__game_1,final_surplus,2.1680000000000006,1.4033333333333335,0.764666666666667
