baseline,metric,matched_value,baseline_value,difference
candidate_uniform,final_surplus,2.4535729817708334,2.43625,0.01732298177083358
unique_sampled_players,final_surplus,2.4535729817708334,2.43625,0.01732298177083358
candidate_uniform,final_welfare,18.3531841796875,18.24888888888889,0.10429529079861055
unique_sampled_players,final_welfare,18.3531841796875,18.24888888888889,0.10429529079861055
candidate_uniform,proposer_mean_net_surplus,1.3305731336805555,1.330787037037037,-0.00021390335648141523
unique_sampled_players,proposer_mean_net_surplus,1.3305731336805555,1.330787037037037,-0.00021390335648141523
candidate_uniform,proposer_acceptance_rate,0.49132812499999995,0.4583333333333333,0.032994791666666634
unique_sampled_players,proposer_acceptance_rate,0.49132812499999995,0.4583333333333333,0.032994791666666634
candidate_uniform,proposer_mean_trade_ratio,0.9608122801769592,0.9369775063504638,0.023834773826495348
unique_sampled_players,proposer_mean_trade_ratio,0.9608122801769592,0.9369775063504638,0.023834773826495348
candidate_uniform,response_acceptance_rate,0.2771451822916667,0.2916666666666667,-0.014521484375000004
unique_sampled_players,response_acceptance_rate,0.2771451822916667,0.2916666666666667,-0.014521484375000004
candidate_uniform,response_mean_net_surplus_if_accepted,0.7851121334245812,0.8346693121693121,-0.04955717874473087
unique_sampled_players,response_mean_net_surplus_if_accepted,0.7851121334245812,0.8346693121693122,-0.04955717874473098
candidate_uniform,received_trade_rate,0.22207790798611113,0.22916666666666666,-0.007088758680555529
unique_sampled_players,received_trade_rate,0.22207790798611113,0.22916666666666666,-0.007088758680555529
