player,most_aligned_count,most_aligned_share,top_k_probability_mass,top_k_probability_share
badger-green-4722,42,0.02734375,34.269999999999996,0.022311197916666664
butterfly-purple-4350,42,0.02734375,33.46,0.02178385416666667
camel-pink-767,37,0.024088541666666668,31.539999999999992,0.02053385416666666
iguana-red-1137,33,0.021484375,28.069999999999997,0.01827473958333333
owl-yellow-7660,29,0.018880208333333332,26.52,0.017265625
monkey-pink-6874,29,0.018880208333333332,26.430000000000007,0.017207031250000004
whale-pink-487,29,0.018880208333333332,26.909999999999993,0.017519531249999994
iguana-red-1430,28,0.018229166666666668,25.019999999999996,0.016289062499999996
otter-pink-5988,27,0.017578125,25.14,0.0163671875
ram-pink-8623,26,0.016927083333333332,23.830000000000002,0.015514322916666668
dog-red-9959,24,0.015625,20.750000000000004,0.013509114583333336
butterfly-yellow-2785,24,0.015625,17.79,0.01158203125
goose-green-3433,23,0.014973958333333334,22.590000000000007,0.014707031250000004
gorilla-yellow-5964,23,0.014973958333333334,17.689999999999998,0.011516927083333331
buffalo-green-2230,22,0.014322916666666666,21.099999999999998,0.013736979166666665
goose-purple-9985,21,0.013671875,21.200000000000006,0.013802083333333338
cat-green-4185,21,0.013671875,16.209999999999994,0.010553385416666663
buffalo-yellow-4552,21,0.013671875,16.389999999999997,0.010670572916666664
bear-blue-8468,21,0.013671875,21.34,0.013893229166666667
camel-blue-7414,20,0.013020833333333334,15.559999999999999,0.010130208333333333
turtle-yellow-3106,20,0.013020833333333334,14.459999999999997,0.009414062499999999
duck-purple-3491,20,0.013020833333333334,15.969999999999997,0.010397135416666665
duck-pink-5390,20,0.013020833333333334,16.059999999999995,0.010455729166666664
whale-green-1798,19,0.012369791666666666,15.58,0.010143229166666667
iguana-orange-9224,19,0.012369791666666666,16.259999999999994,0.010585937499999996
bear-green-5745,19,0.012369791666666666,20.31,0.01322265625
ram-purple-8899,19,0.012369791666666666,15.58,0.010143229166666667
bear-purple-7271,19,0.012369791666666666,14.699999999999998,0.009570312499999999
otter-yellow-9944,19,0.012369791666666666,21.910000000000007,0.01426432291666667
butterfly-yellow-2139,19,0.012369791666666666,18.599999999999998,0.012109374999999999
cat-pink-8143,18,0.01171875,14.409999999999998,0.009381510416666666
otter-blue-1497,18,0.01171875,15.549999999999995,0.010123697916666664
lion-blue-472,18,0.01171875,15.759999999999996,0.010260416666666664
dolphin-orange-3122,18,0.01171875,14.94,0.009726562499999999
pig-green-499,18,0.01171875,14.829999999999998,0.009654947916666665
alligator-blue-3197,18,0.01171875,15.259999999999998,0.009934895833333332
iguana-blue-1059,18,0.01171875,15.269999999999998,0.009941406249999998
alligator-orange-6315,18,0.01171875,15.599999999999998,0.010156249999999999
peacock-red-3668,18,0.01171875,14.639999999999995,0.009531249999999996
dog-purple-778,17,0.011067708333333334,15.310000000000002,0.009967447916666669
peacock-red-7894,16,0.010416666666666666,13.58,0.008841145833333333
badger-purple-8825,16,0.010416666666666666,13.469999999999995,0.008769531249999997
tiger-yellow-3019,15,0.009765625,13.08,0.008515625
butterfly-blue-7661,15,0.009765625,13.279999999999996,0.00864583333333333
unicorn-pink-1559,15,0.009765625,12.879999999999999,0.008385416666666666
squid-yellow-9545,15,0.009765625,12.829999999999998,0.008352864583333333
buffalo-orange-6610,14,0.009114583333333334,16.369999999999997,0.010657552083333332
dog-green-8079,14,0.009114583333333334,13.02,0.0084765625
whale-red-86,14,0.009114583333333334,11.799999999999999,0.007682291666666666
camel-yellow-4406,14,0.009114583333333334,12.719999999999997,0.008281249999999999
