run_id,label,factor,mode,threshold,n_total,n_high,n_low,human_delta,sim_delta,human_sign,sim_sign,sign_match,sign_match_nonzero_human
260310_valraw417_exact_sequence_oracle_treatment,exact_sequence_oracle,CONFIG_punishmentExists,binary,,40,20,20,-0.050888433005333744,-0.007980603091421345,-1,-1,True,True
260310_valraw417_exact_sequence_oracle_treatment,exact_sequence_oracle,CONFIG_playerCount,median,6.5,40,20,20,0.058444032010863234,0.15173631124796605,1,1,True,True
260310_valraw417_exact_sequence_oracle_treatment,exact_sequence_oracle,CONFIG_numRounds,median,14.5,40,20,20,0.06586654582702178,0.030127247706378313,1,1,True,True
260310_valraw417_exact_sequence_oracle_treatment,exact_sequence_oracle,CONFIG_MPCR,median,0.485,40,20,20,-0.018682233388819913,0.0809335863316345,-1,1,False,False
260310_valraw417_archetype_cluster,archetype_cluster,CONFIG_chat,binary,,40,26,14,0.10463505361235781,0.12284594061011522,1,1,True,True
260310_valraw417_archetype_cluster,archetype_cluster,CONFIG_allOrNothing,binary,,40,18,22,0.02620401018009788,0.07316015622338667,1,1,True,True
260310_valraw417_archetype_cluster,archetype_cluster,CONFIG_defaultContribProp,binary,,40,16,24,-0.017895809725879452,0.0036515900591120865,-1,1,False,False
260310_valraw417_archetype_cluster,archetype_cluster,CONFIG_rewardExists,binary,,40,22,18,-0.007912467455160388,0.0022344623519863216,-1,1,False,False
260310_valraw417_archetype_cluster,archetype_cluster,CONFIG_showNRounds,binary,,40,28,12,-0.02568019855556558,-0.07629506095766836,-1,-1,True,True
260310_valraw417_archetype_cluster,archetype_cluster,CONFIG_showPunishmentId,binary,,40,20,20,0.06908306989364155,0.034994689489187825,1,1,True,True
260310_valraw417_archetype_cluster,archetype_cluster,CONFIG_showOtherSummaries,binary,,40,26,14,-0.07095861062585307,-0.015296705001418776,-1,-1,True,True
260310_valraw417_archetype_cluster,archetype_cluster,CONFIG_punishmentExists,binary,,40,20,20,-0.050888433005333744,-0.09922095819104926,-1,-1,True,True
