simbench_row_id,dataset_name,group_size,tvd_baseline,tvd_twin,jsd_baseline,jsd_twin,predicted_entropy_baseline,predicted_entropy_twin,normalized_predicted_entropy_baseline,normalized_predicted_entropy_twin,modal_match_baseline,modal_match_twin
simbenchpop_001765,ChaosNLI,100,0.3,0.3618749999999999,0.1190737122470084,0.131967648891291,0.8979457248567798,0.9859994334009132,0.8173454221465101,0.8974953617133471,1.0,1
simbenchpop_001766,ChaosNLI,100,0.5900000000000001,0.5334375,0.2345914923926884,0.1949820625560527,0.8979457248567798,0.9859994334009132,0.8173454221465101,0.8974953617133471,0.0,0
simbenchpop_001767,ChaosNLI,100,0.46,0.398125,0.1415026912972349,0.1032299501486667,0.8979457248567798,0.9859994334009132,0.8173454221465101,0.8974953617133471,0.0,0
simbenchpop_001768,ChaosNLI,100,0.58,0.5181250000000001,0.2415496377210237,0.1995278029206982,0.8979457248567798,0.9859994334009132,0.8173454221465101,0.8974953617133471,0.0,0
simbenchpop_001769,ChaosNLI,100,0.3233333333333333,0.3822283115671641,0.1122612559618545,0.1390751258667675,0.6365141682948128,0.6697344091265103,0.9182958340544894,0.9662225107595165,1.0,1
simbenchpop_001770,ChaosNLI,100,0.6666666666666667,0.6077716884328359,0.3182570841474064,0.2792537010589838,0.6365141682948128,0.6697344091265103,0.9182958340544894,0.9662225107595165,0.0,0
simbenchpop_001771,ChaosNLI,100,0.6,0.5381250000000001,0.2979155597251458,0.2489508260968861,0.8979457248567798,0.9859994334009132,0.8173454221465101,0.8974953617133471,0.0,0
simbenchpop_001772,ChaosNLI,100,0.47,0.408125,0.1396531617953844,0.1032857521618249,0.8979457248567798,0.9859994334009132,0.8173454221465101,0.8974953617133471,0.0,0
simbenchpop_001773,ChaosNLI,100,0.26,0.2453124999999999,0.0827492186336703,0.0660011678205572,0.8979457248567798,0.9859994334009132,0.8173454221465101,0.8974953617133471,1.0,1
simbenchpop_001774,ChaosNLI,100,0.49,0.4281250000000001,0.1668172779702724,0.1253507908792381,0.8979457248567798,0.9859994334009132,0.8173454221465101,0.8974953617133471,0.0,0
simbenchpop_001775,ChaosNLI,100,0.6100000000000001,0.5534375,0.2598800567815915,0.2081677797624874,0.8979457248567798,0.9859994334009132,0.8173454221465101,0.8974953617133471,0.0,0
simbenchpop_001776,ChaosNLI,100,0.3233333333333333,0.3822283115671641,0.1122612559618545,0.1390751258667675,0.6365141682948128,0.6697344091265103,0.9182958340544894,0.9662225107595165,1.0,1
simbenchpop_001777,ChaosNLI,100,0.8200000000000001,0.7634375,0.4064114564511753,0.3508454672129152,0.8979457248567798,0.9859994334009132,0.8173454221465101,0.8974953617133471,0.0,0
simbenchpop_001778,ChaosNLI,100,0.3399999999999999,0.4018749999999998,0.0990600564409813,0.1213009716104351,0.8979457248567798,0.9859994334009132,0.8173454221465101,0.8974953617133471,1.0,1
simbenchpop_001779,ChaosNLI,100,0.6,0.5381250000000001,0.2743971623453871,0.2410303753543751,0.8979457248567798,0.9859994334009132,0.8173454221465101,0.8974953617133471,0.0,0
simbenchpop_001780,ChaosNLI,100,0.6700000000000002,0.6134375,0.2525364807502549,0.2038867973397037,0.8979457248567798,0.9859994334009132,0.8173454221465101,0.8974953617133471,0.0,0
