dataset_name,n_rows,mean_tvd_baseline,mean_tvd_twin,se_tvd_baseline,se_tvd_twin,weighted_mean_tvd_baseline,weighted_mean_tvd_twin,mean_normalized_predicted_entropy_baseline,mean_normalized_predicted_entropy_twin,mean_predicted_entropy_baseline,mean_predicted_entropy_twin,mean_jsd_baseline,mean_jsd_twin,modal_match_baseline,modal_match_twin
ChaosNLI,500,0.4391333333333333,0.42056995452257556,0.008646506020059902,0.0075243784827150354,0.43913333333333326,0.42056995452257556,0.8526780663143027,0.916217383815952,0.8064446800600913,0.8698176166385054,0.16618193297684927,0.1490181372157261,0.434,0.434
Choices13k,500,0.17485732011312324,0.18132278340856647,0.005395983741154648,0.005671491514724376,0.17127553001889342,0.17784433976099578,1.0,0.9955927544527945,0.6931471805599454,0.6900923107348645,0.026471136867946724,0.028387684017361515,0.46,0.46
ConspiracyCorr,1,0.3739130434782608,0.2604008152173913,0.0,0.0,0.3739130434782608,0.2604008152173913,0.7196392507304269,0.8399699643899753,1.1582146934012183,1.3518795059951474,0.0837630705487545,0.0378163993256806,0.0,0.0
DICES,247,0.06942835994177647,0.49725583762846925,0.007256326945980046,0.006613310917987715,0.0680978762696214,0.4986542961159766,0.0,0.8605524539896662,0.0,0.9454135009965455,0.026990655924036617,0.19072583325437487,0.9878542510121457,0.8340080971659919
GlobalOpinionQA,23,0.2145687469461093,0.14263499821447254,0.016863222531267482,0.017159450523110017,0.2145687469461093,0.14263499821447254,0.9162990216970088,0.9113705959148067,1.0051980253788502,1.0025922752322312,0.03463286063760589,0.020660767661769365,0.5652173913043478,0.782608695652174
ISSP,17,0.21268482018946894,0.22457330656641813,0.018498595698472137,0.016939480100802182,0.21671993116150437,0.22543664922581938,0.8841338603826953,0.870428200219537,1.6118375659980577,1.585206375842577,0.0434014168490189,0.046360686391125984,0.4117647058823529,0.4117647058823529
Jester,136,0.30821139092798344,0.238098517796241,0.004447273470952164,0.0049478202700059,0.28102031185109677,0.20202609679462769,0.9689518618347959,0.9508823129460126,2.2310941128896276,2.1894874389811876,0.06704486515714235,0.04326445476568513,0.0,0.9852941176470589
MoralMachine,72,0.2213148362464077,0.20950642991852586,0.014853858882230293,0.01420705513546251,0.22097374807788503,0.20937932475869347,1.0,0.9964225452840757,0.6931471805599453,0.6906674779100215,0.03849108412490004,0.03504388689562573,0.3194444444444444,0.6805555555555556
NumberGame,500,0.27294046900811597,0.24380817387269588,0.007048589090491017,0.006165987004597242,0.2728807535098632,0.24368365674567913,1.0,0.9819584759317806,0.6931471805599454,0.6806417490190545,0.06993543205201867,0.05817709776231153,0.302,0.698
OSPsychBig5,40,0.17814188337724823,0.1446765279450187,0.01811044713917051,0.010160289867950567,0.17814188337724823,0.14467652794501873,0.9515326854728079,0.9671147278700772,1.531432778920169,1.55651110870749,0.03113147297816781,0.01884765402352896,0.425,0.325
OSPsychMACH,1,0.1609873870873746,0.2303623870873747,0.0,0.0,0.1609873870873746,0.2303623870873747,0.932475350168255,0.8476856809528006,1.500761180971053,1.3642974727529542,0.0184443734920084,0.0381742104990543,0.0,1.0
OSPsychMGKT,111,0.14238494680848873,0.16559970858333456,0.014794974753992612,0.010328485731769461,0.14272513555820163,0.166406449042874,0.5571881474798911,0.8020940834389251,0.3862133934671053,0.5559692524795045,0.03168699745773169,0.032975860698824834,0.9099099099099099,0.9369369369369369
OSPsychRWAS,22,0.32470834565281403,0.242376297968329,0.028028122560363085,0.01883730787009057,0.32471269427692473,0.242395022130987,0.8546937803562389,0.9284410269916369,1.8779541802951327,2.039993443113305,0.08659728408842936,0.041620990645042814,0.5909090909090909,0.8636363636363636
OpinionQA,500,0.3793684510919438,0.30961396896718923,0.009854153069013674,0.007237056403356953,0.39098569473180983,0.3198610961879075,0.6618883182942636,0.7965239230260374,0.9359013622292706,1.1369896307021863,0.1383751324285286,0.08438976359033148,0.37,0.386
TISP,10,0.1707107742381886,0.1568805205981607,0.031510219602942514,0.04241100365915375,0.1707268216749679,0.15689308260138327,0.9039672758875092,0.8290190638119324,1.5159787382601153,1.3678711049623429,0.030929358815354274,0.028242753568711625,0.5,0.7
WisdomOfCrowds,14,0.5968986720709505,0.5497971513248866,0.038709548569532196,0.03940989460213097,0.5967621816168328,0.549639246932026,0.9625887371974718,0.9742169572534881,1.3476103121380285,1.3658732534946478,0.2399773284479065,0.20746323759222565,0.21428571428571427,0.2857142857142857
