dataset_name,n_rows,baseline_mean_simbench_score,persona_summary_mean_simbench_score,delta_persona_minus_baseline,p_value,ci95_low_delta,ci95_high_delta,direction,p_value_bh,significant_bh_0_05
ChaosNLI,500,-14.456993918331879,-9.618580674867646,4.838413243464233,3.2553897487943386e-18,3.787758250601531,5.889068236326933,persona_summary_better,1.1792683133469852e-17,True
Choices13k,500,-4.547473508864641e-15,-3.6975651298215175,-3.697565129821513,0.00012770147554212134,-5.579056640357383,-1.8160736192856441,baseline_better,0.00029797010959828313,True
ConspiracyCorr,1,-177.4193548387097,-93.20060483870968,84.21875000000001,,,,,,False
DICES,247,88.46612529137589,17.392740745303634,-71.07338454607225,5.822519944251775e-89,-75.48356103380364,-66.66320805834083,baseline_better,8.151527921952485e-88,True
GlobalOpinionQA,23,12.891217148322001,42.09426459653722,29.203047448215223,0.00015958195446299348,15.876121371096849,42.52997352533359,persona_summary_better,0.00031916390892598696,True
ISSP,17,31.099577006864564,27.248236138295685,-3.8513408685688795,0.47043018332757436,-14.894793867589685,7.19211213045193,baseline_better,0.5066171205066186,False
Jester,136,3.8209482001358945,25.700054084158257,21.879105884022362,2.2564777081612268e-69,20.637858075492083,23.120353692552634,persona_summary_better,1.5795343957128587e-68,True
MoralMachine,72,-7.894919286223335e-16,5.335569240705849,5.3355692407058495,0.003263509017579263,1.8416718947243234,8.829466586687372,persona_summary_better,0.005076569582901076,True
NumberGame,500,-1.8189894035458565e-14,10.673497866142311,10.673497866142329,3.3693380381342435e-18,8.35464074975563,12.992354982529031,persona_summary_better,1.1792683133469852e-17,True
OSPsychBig5,40,16.304677786568913,32.027503058130876,15.722825271561963,0.0265232076356169,1.930735099393857,29.51491544373007,persona_summary_better,0.033756809718057876,True
OSPsychMACH,1,-42.90887591456656,-104.49322389328218,-61.58434797871562,,,,,,False
OSPsychMGKT,111,58.232976344692524,51.423186925685584,-6.80978941900694,0.05125067083788678,-13.657220307192457,0.03764146917857758,baseline_better,0.05979244931086791,False
OSPsychRWAS,22,22.85105024941876,42.412700249213735,19.561649999794977,0.0043670183645334775,6.823803354353007,32.29949664523694,persona_summary_better,0.006113825710346869,True
OpinionQA,500,-3.2914643953550007,15.700738530500029,18.99220292585503,6.200881409031164e-13,13.94331117805468,24.041094673655387,persona_summary_better,1.736246794528726e-12,True
TISP,10,27.05952035248845,32.96884469743483,5.909324344946384,0.6835267699434808,-25.832110053482296,37.650758743375064,persona_summary_better,0.6835267699434808,False
WisdomOfCrowds,14,-7.083996273292461,1.3660461007980769,8.450042374090538,0.0003861994943249644,4.598878215218408,12.301206532962672,persona_summary_better,0.0006758491150686877,True
