tag,model,folds_ok,fit_eval_seconds_mean,pred_true_cosine_mean_mean,pred_true_cosine_mean_std,retrieved_true_cosine_mean_mean,retrieved_true_cosine_mean_std,oracle_true_cosine_mean_mean,oracle_true_cosine_mean_std,retrieval_cosine_regret_mean_mean,retrieval_cosine_regret_mean_std,oracle_hit_at_1_mean,oracle_hit_at_1_std,oracle_hit_at_5_mean,oracle_hit_at_5_std,embedding_mse_mean_mean,embedding_mse_mean_std
COMMUNICATION,elastic_net,5,56.739779999999996,0.8666507959365845,0.002051455051737874,0.8195342302322388,0.0030595828661665134,0.9004393815994263,0.002033992631207537,0.08090518862009048,0.0018698679673857235,0.017,0.008717797887081347,0.053000000000000005,0.010295630140987,0.0001623525138711557,2.3020841482541485e-06
COMMUNICATION,mlp,5,214.53037999999998,0.7577544331550599,0.015388161221576506,0.8172197699546814,0.003214722823723452,0.9004393815994263,0.002033992631207537,0.08321964293718338,0.0016656571218562532,0.012,0.009273618495495703,0.051000000000000004,0.01772004514666935,0.00033829743624664844,3.2873204073192855e-05
CONTRIBUTION,elastic_net,5,85.66028,0.9274536848068238,0.0016491549194926312,0.8943315625190735,0.0030070155541989025,0.943955147266388,0.0014359515465322483,0.04962360560894012,0.0030058022021739726,0.016,0.011575836902790227,0.054000000000000006,0.012806248474865698,9.113146952586249e-05,2.0401999944930093e-06
CONTRIBUTION,mlp,5,255.98128000000003,0.8344226598739624,0.004752627158092249,0.8894035339355468,0.0037838699156935098,0.943955147266388,0.0014359515465322483,0.05455161184072495,0.003301068308352212,0.006,0.007348469228349534,0.032,0.0116619037896906,0.0002339242782909423,1.410198015531399e-05
PUNISHMENT,elastic_net,5,55.000620000000005,0.906596052646637,0.0023245861503962914,0.8621924996376038,0.0024751422060527374,0.9239128589630127,0.00199785932902273,0.06172035560011864,0.0009859737786357741,0.013000000000000001,0.006,0.053000000000000005,0.0116619037896906,0.00011600613943301142,2.762444534449422e-06
PUNISHMENT,mlp,5,334.39144,0.8005579590797425,0.010164567587715606,0.8578445076942444,0.00471604003438205,0.9239128589630127,0.00199785932902273,0.06606834381818771,0.0027988583187211506,0.008,0.004,0.031000000000000007,0.007348469228349535,0.0002788728685118258,2.2478240770130752e-05
RESPONSE_TO_END_GAME,elastic_net,5,75.69118,0.9165889143943786,0.0017987357985776318,0.8806702613830566,0.0010004003402706108,0.9209599971771241,0.0007972777606111924,0.040289740264415744,0.0006746309046502823,0.023,0.009273618495495704,0.07499999999999998,0.022803508501982758,0.00010411373077658936,2.1542412768432677e-06
RESPONSE_TO_END_GAME,mlp,5,220.51038,0.8184348702430725,0.007695451454391546,0.8769046664237976,0.0015668432289635136,0.9209599971771241,0.0007972777606111924,0.04405530467629433,0.0016719764919944679,0.018,0.00812403840463596,0.05800000000000001,0.01805547008526779,0.0002540085813961923,2.3739569751768782e-05
RESPONSE_TO_OTHERS_OUTCOME,elastic_net,5,50.03516,0.9070584774017334,0.0026181085466709803,0.8639119982719421,0.002172359348223165,0.9052658677101135,0.0015574563730648865,0.04135382771492004,0.0010070070783171814,0.018,0.011224972160321823,0.08900000000000001,0.016852299546352718,0.00011543760338099674,3.1244157472508833e-06
RESPONSE_TO_OTHERS_OUTCOME,mlp,5,240.44972,0.7930172681808472,0.007282407795880171,0.8543543696403504,0.0025917519795439245,0.9052658677101135,0.0015574563730648865,0.05091146901249886,0.0017822878275158846,0.015000000000000003,0.011401754250991382,0.054000000000000006,0.021540659228538015,0.00028556270990520716,1.7673058634962478e-05
RESPONSE_TO_PUNISHER,elastic_net,5,94.0818,0.8864673495292663,0.0037360547401201925,0.8372904896736145,0.0052724100899714035,0.9065151453018189,0.0017541097138362824,0.06922464668750763,0.005742631861165993,0.010875697507914187,0.007723841456323558,0.04561188059049784,0.018250542998232425,0.00013950362044852228,4.340846278261477e-06
RESPONSE_TO_PUNISHER,mlp,5,202.35312,0.7636926651000977,0.008503209916645046,0.8313213229179383,0.003943615370132025,0.9065151453018189,0.0017541097138362824,0.07519383728504181,0.004360382363081174,0.010840252226567267,0.009672802748927062,0.038038437582272225,0.009737142582079202,0.00033192833070643245,1.8182892074147912e-05
RESPONSE_TO_REWARDER,elastic_net,5,82.81375999999999,0.8929662942886353,0.004247672846580292,0.8468428134918213,0.004748636680368332,0.9053070187568665,0.0022772145170967236,0.05846421644091606,0.0032689556448575225,0.01963074938841154,0.004373597985233537,0.06546183087523073,0.007978609454824752,0.00013203459384385495,4.958539700881188e-06
RESPONSE_TO_REWARDER,mlp,5,106.58836000000001,0.7659035205841065,0.013177281057567469,0.840516459941864,0.004887907230192611,0.9053070187568665,0.0022772145170967236,0.0647906020283699,0.003253579584548284,0.005458606492106136,0.004874368048661492,0.03058386137502317,0.014580441778118219,0.00033625634387135506,2.598157354114519e-05
REWARD,elastic_net,5,60.2884,0.9031259894371033,0.0029072650788302566,0.8583431005477905,0.0024132350363911727,0.9142915606498718,0.00157292401882118,0.0559484675526619,0.0026255346666698015,0.015,0.00894427190999916,0.066,0.027459060435491962,0.0001200800747028552,3.476215851691992e-06
REWARD,mlp,5,143.56814000000003,0.7996389389038085,0.010965082090316838,0.8513325333595276,0.0017734210001845445,0.9142915606498718,0.00157292401882118,0.0629590980708599,0.0016857548239067749,0.009,0.007348469228349534,0.041999999999999996,0.006782329983125269,0.000282226107083261,3.0260478531019906e-05
