column,n_valid,accuracy,mad,correlation,p_value,gt_mean,pred_mean,gt_std,pred_std
QID117,100,0.16,2.02,0.02495532737330644,0.805330697112634,3.45,1.79,1.6454482671904336,0.8401785524517988
QID118,100,0.08,4.11,-0.045192396241145946,0.6552575002784886,9.13,5.32,2.6670395572619463,1.3407460609675494
QID119,100,0.03,3.6,-0.006947437748213839,0.9453066412439444,7.73,4.29,2.162660398675668,1.4442645187083978
QID120,100,0.06,2.42,0.011210702790209665,0.9118534295463392,6.15,3.89,1.5708278072405009,0.9369631796394137
QID121,100,0.16,1.55,-0.06420041843852814,0.5256973213165311,4.47,3.08,1.1528659939472585,0.6431174076325411
QID122,100,0.38,0.82,0.10814761408717494,0.28415853466559277,2.9,2.16,0.7549834435270749,0.4409081537009721
QID224,100,0.26,0.93,-0.09035079029052505,0.3713332296965583,3.8,2.95,0.7483314773547883,0.2958039891549808
QID225,100,0.86,0.14,,,1.14,1.0,0.34698703145794946,0.0
QID226,100,0.93,0.07,,,1.07,1.0,0.25514701644346144,0.0
QID227,100,0.97,0.03,,,1.03,1.0,0.17058722109231983,0.0
QID228,100,0.69,0.31,-0.040875955965664415,0.6863676857310594,1.05,1.28,0.21794494717703372,0.4489988864128729
QID229,100,0.31,0.69,-0.0034915979766988944,0.9724967035237596,1.28,1.93,0.44899888641287283,0.25514701644346144
QID230,100,0.61,0.39,,,1.61,2.0,0.4877499359302879,0.0
QID231,100,0.17,1.2,-0.12294840541676794,0.22297477365016174,4.08,2.96,0.9019977827023744,0.24166091947189144
