column,n_valid,accuracy,mad,correlation,p_value,gt_mean,pred_mean,gt_std,pred_std
QID117,100,0.14,1.43,0.17686080300326246,0.0783608814745704,3.45,3.18,1.6454482671904336,0.6838128398911504
QID118,100,0.08,3.19,-0.047472275798475655,0.6390561311976828,9.13,7.02,2.6670395572619463,1.6791664598841887
QID119,100,0.16,2.12,-0.04173523783955427,0.6801305852755553,7.73,6.43,2.162660398675668,1.1511298797268708
QID120,100,0.24,1.48,-0.04436574613510583,0.661172082538769,6.15,5.15,1.5708278072405009,0.7533259586659681
QID121,100,0.39,0.94,0.021117007756180205,0.8348086133780017,4.47,3.95,1.1528659939472585,0.5545268253204709
QID122,100,0.45,0.66,0.05195243334661305,0.6077138573416844,2.9,2.6,0.7549834435270749,0.5099019513592785
QID224,100,0.36,0.76,-0.18232201142487306,0.06943986033498158,3.8,3.46,0.7483314773547883,0.49839743177508444
QID225,100,0.86,0.14,,,1.14,1.0,0.34698703145794946,0.0
QID226,100,0.93,0.07,,,1.07,1.0,0.25514701644346144,0.0
QID227,100,0.97,0.03,,,1.03,1.0,0.17058722109231983,0.0
QID228,100,0.75,0.25,0.08594700851870798,0.39519211965805073,1.05,1.24,0.21794494717703372,0.4270831300812525
QID229,100,0.26,0.74,-0.21757208269306602,0.02966858684246282,1.28,1.94,0.44899888641287283,0.23748684174075835
QID230,100,0.61,0.39,,,1.61,2.0,0.4877499359302879,0.0
QID231,100,0.36,0.86,0.05160677489365502,0.6101078678194759,4.08,3.46,0.9019977827023744,0.49839743177508444
