run,axis,n_rows,actual_change_rate,pred_change_rate,tp,fp,tn,fn,precision_change,recall_change,f1_change,specificity_no_change,npv_no_change,accuracy
no_archetype,punish_any,1900,0.09052631578947369,0.17578947368421052,73,261,1467,99,0.218562874251497,0.42441860465116277,0.2885375494071146,0.8489583333333334,0.9367816091954023,0.8105263157894737
oracle_archetype,punish_any,3638,0.102803738317757,0.11737218251786696,191,236,3028,183,0.44730679156908665,0.5106951871657754,0.4769038701622971,0.9276960784313726,0.9430084085954531,0.8848268279274326
random_archetype,punish_any,3848,0.10836798336798337,0.16917879417879417,156,495,2936,261,0.23963133640552994,0.37410071942446044,0.29213483146067415,0.855727193238123,0.9183609634031905,0.8035343035343036
retrieved_archetype,punish_any,3872,0.10872933884297521,0.12267561983471074,138,337,3114,283,0.2905263157894737,0.32779097387173395,0.30803571428571425,0.9023471457548536,0.9166911981159847,0.8398760330578512
no_archetype,reward_any,1900,0.11421052631578947,0.4142105263157895,101,686,997,116,0.12833545108005082,0.46543778801843316,0.20119521912350596,0.5923945335710041,0.8957771787960467,0.5778947368421052
oracle_archetype,reward_any,3638,0.1017042330951072,0.16465090709180868,165,434,2834,205,0.27545909849749584,0.44594594594594594,0.34055727554179566,0.8671970624235006,0.9325435998683778,0.8243540406816933
random_archetype,reward_any,3848,0.10031185031185032,0.23232848232848233,144,750,2712,242,0.1610738255033557,0.37305699481865284,0.225,0.7833622183708839,0.9180771834800271,0.7422037422037422
retrieved_archetype,reward_any,3872,0.10046487603305786,0.15289256198347106,123,469,3014,266,0.20777027027027026,0.3161953727506427,0.25076452599388377,0.8653459661211599,0.9189024390243903,0.8101756198347108
no_archetype,typed_action,1900,0.32473684210526316,0.7242105263157895,493,883,400,124,0.35828488372093026,0.7990275526742301,0.4947315604616157,0.3117692907248636,0.7633587786259542,0.47
oracle_archetype,typed_action,3638,0.3554150632215503,0.4332050577240242,986,590,1755,307,0.6256345177664975,0.7625676720804331,0.6873475078424538,0.7484008528784648,0.8511154219204655,0.7534359538207807
random_archetype,typed_action,3848,0.362006237006237,0.5545738045738046,1053,1081,1374,340,0.49343955014058105,0.7559224694903087,0.5971080238162744,0.5596741344195519,0.8016336056009334,0.6307172557172557
retrieved_archetype,typed_action,3872,0.36389462809917356,0.41038223140495866,955,634,1829,454,0.6010069225928257,0.6777856635911994,0.637091394262842,0.7425903369874137,0.8011388523872098,0.71900826446281
