metric,n_treatments,mean_abs_error,median_abs_error
act_rate,10,0.192,0.13000000000000003
check_rate,8,0.235,0.21999999999999997
fast_rate,2,0.30000000000000004,0.30000000000000004
mean_action_premium,5,1.2760000000000002,1.54
mean_action_premium_after_check,4,0.9750000000000003,0.8400000000000003
mean_action_premium_fast,1,0.7999999999999999,0.7999999999999999
mean_action_premium_slow,1,1.9,1.9
mean_action_premium_without_check,4,1.1649999999999998,1.0899999999999999
mean_fast_premium_if_act,1,2.54,2.54
mean_fast_premium_if_no_act,1,1.44,1.44
mean_process_premium_if_act,4,0.7250000000000001,0.53
mean_process_premium_if_no_act,4,1.0150000000000001,1.15
mean_return_pct,10,6.51,5.309999999999999
mean_send_if_act,5,1.4720000000000002,1.46
mean_send_if_act_after_check,4,0.6400000000000001,0.5900000000000003
mean_send_if_act_fast,1,0.10000000000000053,0.10000000000000053
mean_send_if_act_slow,1,2.6399999999999997,2.6399999999999997
mean_send_if_act_without_check,4,0.5149999999999999,0.56
mean_send_if_no_act,5,0.6360000000000002,0.40000000000000036
mean_send_if_no_act_after_check,4,1.025,1.0
mean_send_if_no_act_fast,1,0.7000000000000002,0.7000000000000002
mean_send_if_no_act_slow,1,0.7400000000000002,0.7400000000000002
mean_send_if_no_act_without_check,4,0.6499999999999998,0.6599999999999997
pattern_checked_act,8,0.31,0.30000000000000004
pattern_checked_no_act,8,0.095,0.039999999999999994
pattern_fast_act,2,0.039999999999999994,0.039999999999999994
pattern_fast_no_act,2,0.26,0.26
pattern_slow_act,2,0.059999999999999984,0.059999999999999984
pattern_slow_no_act,2,0.24000000000000002,0.24000000000000002
pattern_unchecked_act,8,0.09,0.08
pattern_unchecked_no_act,8,0.145,0.12000000000000001
