metric,rmse,mae,r2,n_pairs
mean_contribution_rate,0.26573129428697795,0.2217925078455864,-6.938426610743133,40
punishment_rate,0.24015604023798862,0.14279849829121716,-5.578879344702248,40
reward_rate,0.4429106359348728,0.3095968507088218,-11.536600301055456,40
normalized_efficiency,0.8528619181183015,0.5368581534010402,-66.83539917199303,40
