baseline,k,num_games,contribution_rate_mae_mean,contribution_rate_mae_std,total_contribution_rate_mae_mean,total_contribution_rate_mae_std,round_normalized_efficiency_mae_mean,round_normalized_efficiency_mae_std,future_normalized_efficiency_abs_error_mean,future_normalized_efficiency_abs_error_std,punish_target_f1_mean,punish_target_f1_std,reward_target_f1_mean,reward_target_f1_std,contribution_rate_mae_se,total_contribution_rate_mae_se,round_normalized_efficiency_mae_se,future_normalized_efficiency_abs_error_se,punish_target_f1_se,reward_target_f1_se
ewma,1,136,0.2680539671252802,0.12711497579792572,0.1821683729495271,0.12391017882824905,0.3343880590703062,0.6612705877039792,0.294211925155974,0.6104262149917035,0.5861273735519896,0.4720876427494024,0.6296430705777007,0.43801195780946667,0.010900019249884256,0.010625210176899982,0.05670348509379386,0.05234361610248703,0.04048118139739234,0.037559215519911905
ewma,2,136,0.22325778559322634,0.1257752438485873,0.14735154176054113,0.10707910684391536,0.2916188375559226,0.562703694392736,0.2499646867087153,0.49010626232421683,0.6148249418253303,0.45103741564220573,0.6565656220772502,0.41814156710840383,0.010785138182993379,0.00918195766102751,0.04825144372140845,0.04202626527904323,0.038676139314485984,0.03585534357418133
ewma,3,136,0.21040038837990288,0.12034981727214385,0.13457809472784904,0.10063410179842898,0.28189383775164184,0.5477351813216003,0.24483736656218902,0.49011915367378067,0.6313237932713128,0.4436112530085082,0.6603729573083714,0.41824686498364666,0.01031991169216607,0.008629303037758886,0.04696790431471499,0.042027370703148624,0.038039351122127335,0.03586437279249266
ewma,4,136,0.18923015344627012,0.13225349921633653,0.12568552349776294,0.10720608684882735,0.3259324307901288,0.9246348671141768,0.2988966600657491,0.9265941074621526,0.6426412408835032,0.4414891558129573,0.668234500935805,0.4233202402802148,0.011340643997873807,0.009192846106619407,0.07928678574175649,0.07945478921557247,0.037857382788841404,0.036299411135121855
ewma,5,136,0.17450088363501792,0.11742123004215961,0.11131577939681715,0.08784910700049058,0.30160595041383736,0.8938691576744164,0.2694041377715424,0.8951458593180619,0.6614029468613826,0.41986589306365946,0.6718540081722119,0.42410914205850847,0.010068787408961713,0.007532998778308501,0.07664864792184428,0.07675812418461143,0.036003203305006753,0.036367058904518745
ewma,6,136,0.17511075867451167,0.12305167696901001,0.11211489413711381,0.09591749523349861,0.2711652064205165,0.7739796170863971,0.23656885646998055,0.7683808564502114,0.6726704283064207,0.42136732101464863,0.6728826947081853,0.4231963552934118,0.010551594249799129,0.008224857361479173,0.06636820462972892,0.06588811486590021,0.036131949689650784,0.036288788085143305
ewma,7,136,0.16058189933179262,0.11836713372248575,0.10335508995345044,0.09246920724043393,0.26122344860987295,0.6824656318254069,0.22327736465785394,0.642253837461072,0.6825895454204366,0.41482442937056097,0.6747970481289992,0.4266550855421511,0.010149897980390225,0.007929169105491926,0.05852094513322281,0.055072812213460345,0.03557090135979989,0.036585371757167494
ewma,8,136,0.15333785981149697,0.10694039386942267,0.09653420150252741,0.08654194154538848,0.25111725600253554,0.55739876116774,0.2245290062675593,0.5611715723126893,0.6839824943795375,0.42006500243550626,0.6885063841788098,0.41799669860691635,0.009170063121594307,0.007420910265259914,0.0477965494502273,0.04812006533691165,0.03602027679278692,0.03584292120266292
persistence,1,136,0.2680539671252802,0.12711497579792572,0.1821683729495271,0.12391017882824905,0.3343880590703062,0.6612705877039792,0.294211925155974,0.6104262149917035,0.5872521661585721,0.4714388459420045,0.6364568565678487,0.4307779828800155,0.010900019249884256,0.010625210176899982,0.05670348509379386,0.05234361610248703,0.04042554753013548,0.03693890728723327
persistence,2,136,0.21799059356632572,0.13365748285530515,0.14462757076369046,0.11084794636574073,0.2913642574912694,0.5525959086164483,0.25165902884242475,0.47194558533732206,0.609735689800747,0.4550444918538748,0.6582248593592746,0.4209020775103801,0.011461034601696982,0.00950513298383862,0.04738470824162999,0.04046900007480195,0.0390197432649157,0.03609205538828639
persistence,3,136,0.20442753182886864,0.13069610223568323,0.13155730425239986,0.10590389719459009,0.27995207225999497,0.541816929341487,0.24437289642037743,0.4770330745805897,0.6303597170440891,0.44539659430915773,0.6705726860714062,0.41105846841057025,0.01120709830853018,0.009081184264974956,0.046460418394161845,0.04090524867837601,0.03819244287565628,0.03524797287162973
persistence,4,136,0.1840443821521823,0.1447336778209684,0.12196835053952082,0.11275433420913687,0.3235199925339423,0.9300672862332786,0.2991595177875421,0.9317395299007469,0.646487292826474,0.4366862868854683,0.6665431780823703,0.4285427785846923,0.012410810484383897,0.009668604392776278,0.07975261183817003,0.0798960055496622,0.03744554017599676,0.036747240100157084
persistence,5,136,0.16847332371347162,0.12564037708706477,0.10725996235272085,0.09128549223051582,0.29710597269272404,0.8789597879261124,0.2656068036418627,0.8791688605468005,0.6709064508825334,0.4140622101206364,0.6864217011838071,0.41501690522687273,0.010773573453601446,0.007827666380785473,0.07537018001324394,0.07538810784256397,0.03550554159833467,0.03558740602831568
persistence,6,136,0.17065941708332893,0.13458605964285242,0.1092749889831443,0.10173715886726706,0.2722378422675808,0.7931887214456257,0.2369471639739415,0.7849541489302746,0.6774126167469924,0.4153175948199726,0.6888578114497579,0.4153990000955137,0.011540659404327249,0.008723889401077474,0.06801537173946018,0.06730926297164212,0.03561318994820753,0.035620170392996746
persistence,7,136,0.15464233456872664,0.1260233184569606,0.09982555405847822,0.09820361696650713,0.26293748015805796,0.6837960546140025,0.22557389219398066,0.6418316567136706,0.6830556972884146,0.41311467879074254,0.6975248636424819,0.4139400112515267,0.010806410405166281,0.008420890682816424,0.05863502794616556,0.05503661051303347,0.035424291457107175,0.0354950631317555
persistence,8,136,0.1475969811750136,0.1139890811782214,0.09404306543370457,0.08779043974834885,0.24894175878841585,0.5589551173428725,0.2243209701135414,0.5588643548051603,0.6815554765065274,0.42192399041223816,0.7097058639135804,0.4077017469231458,0.009774483071879777,0.007527968102940249,0.04793000589123382,0.047922223067833024,0.036179683696690154,0.03496013637872435
