bootstrap_iter,metric_family,metric,distance_kind,n_treatments,mean_value,median_value,score
0,distribution_distance,final_surplus_ratio,wasserstein_1d,2,0.0608673635208139,0.0608673635208139,0.0608673635208139
0,distribution_distance,final_total_surplus,wasserstein_1d,2,2.107440476190476,2.107440476190476,2.107440476190476
0,distribution_distance,mean_player_final_surplus,wasserstein_1d,2,0.7024801587301586,0.7024801587301586,0.7024801587301586
0,distribution_distance,proposer_net_surplus,wasserstein_1d,2,0.31269841269841253,0.31269841269841253,0.31269841269841253
0,distribution_distance,trade_ratio,wasserstein_1d,2,0.14377816572757052,0.14377816572757052,0.14377816572757052
0,distribution_distance,acceptance_rate,wasserstein_1d,2,0.038359788359788344,0.038359788359788344,0.038359788359788344
0,distribution_distance,accepted_proposer_net_surplus,wasserstein_1d,2,0.3225267680556503,0.3225267680556503,0.3225267680556503
0,distribution_distance,accepted_trade_ratio,wasserstein_1d,2,0.16557362825554872,0.16557362825554872,0.16557362825554872
0,distribution_distance,declined_proposer_net_surplus,wasserstein_1d,2,0.3719467337283041,0.3719467337283041,0.3719467337283041
0,distribution_distance,declined_trade_ratio,wasserstein_1d,2,0.12757782866775774,0.12757782866775774,0.12757782866775774
1,distribution_distance,final_surplus_ratio,wasserstein_1d,2,0.17520823188474552,0.17520823188474552,0.17520823188474552
1,distribution_distance,final_total_surplus,wasserstein_1d,2,2.216964285714286,2.216964285714286,2.216964285714286
1,distribution_distance,mean_player_final_surplus,wasserstein_1d,2,0.7389880952380954,0.7389880952380954,0.7389880952380954
1,distribution_distance,proposer_net_surplus,wasserstein_1d,2,0.22867063492063477,0.22867063492063477,0.22867063492063477
1,distribution_distance,trade_ratio,wasserstein_1d,2,0.05061689027462832,0.05061689027462832,0.05061689027462832
1,distribution_distance,acceptance_rate,wasserstein_1d,2,0.05191798941798939,0.05191798941798939,0.05191798941798939
1,distribution_distance,accepted_proposer_net_surplus,wasserstein_1d,2,0.22594965450035445,0.22594965450035445,0.22594965450035445
1,distribution_distance,accepted_trade_ratio,wasserstein_1d,2,0.12036358585602913,0.12036358585602913,0.12036358585602913
1,distribution_distance,declined_proposer_net_surplus,wasserstein_1d,2,0.3382755721177095,0.3382755721177095,0.3382755721177095
1,distribution_distance,declined_trade_ratio,wasserstein_1d,2,0.06808094066953709,0.06808094066953709,0.06808094066953709
2,distribution_distance,final_surplus_ratio,wasserstein_1d,2,0.06745819735025992,0.06745819735025992,0.06745819735025992
2,distribution_distance,final_total_surplus,wasserstein_1d,2,1.4752976190476188,1.4752976190476188,1.4752976190476188
2,distribution_distance,mean_player_final_surplus,wasserstein_1d,2,0.49176587301587293,0.49176587301587293,0.49176587301587293
2,distribution_distance,proposer_net_surplus,wasserstein_1d,2,0.29775132275132277,0.29775132275132277,0.29775132275132277
2,distribution_distance,trade_ratio,wasserstein_1d,2,0.06364409400123683,0.06364409400123683,0.06364409400123683
2,distribution_distance,acceptance_rate,wasserstein_1d,2,0.05291005291005291,0.05291005291005291,0.05291005291005291
2,distribution_distance,accepted_proposer_net_surplus,wasserstein_1d,2,0.2645387731481482,0.2645387731481482,0.2645387731481482
2,distribution_distance,accepted_trade_ratio,wasserstein_1d,2,0.10925161846255597,0.10925161846255597,0.10925161846255597
2,distribution_distance,declined_proposer_net_surplus,wasserstein_1d,2,0.44887616241782907,0.44887616241782907,0.44887616241782907
2,distribution_distance,declined_trade_ratio,wasserstein_1d,2,0.1088007918626131,0.1088007918626131,0.1088007918626131
3,distribution_distance,final_surplus_ratio,wasserstein_1d,2,0.0774638838550925,0.0774638838550925,0.0774638838550925
3,distribution_distance,final_total_surplus,wasserstein_1d,2,1.811011904761903,1.811011904761903,1.811011904761903
3,distribution_distance,mean_player_final_surplus,wasserstein_1d,2,0.6036706349206344,0.6036706349206344,0.6036706349206344
3,distribution_distance,proposer_net_surplus,wasserstein_1d,2,0.32751322751322776,0.32751322751322776,0.32751322751322776
3,distribution_distance,trade_ratio,wasserstein_1d,2,0.06613623002511893,0.06613623002511893,0.06613623002511893
3,distribution_distance,acceptance_rate,wasserstein_1d,2,0.06216931216931215,0.06216931216931215,0.06216931216931215
3,distribution_distance,accepted_proposer_net_surplus,wasserstein_1d,2,0.3174006417405465,0.3174006417405465,0.3174006417405465
3,distribution_distance,accepted_trade_ratio,wasserstein_1d,2,0.10156427041555346,0.10156427041555346,0.10156427041555346
3,distribution_distance,declined_proposer_net_surplus,wasserstein_1d,2,0.6939708505779936,0.6939708505779936,0.6939708505779936
3,distribution_distance,declined_trade_ratio,wasserstein_1d,2,0.055633441684578046,0.055633441684578046,0.055633441684578046
4,distribution_distance,final_surplus_ratio,wasserstein_1d,2,0.06436210348732983,0.06436210348732983,0.06436210348732983
4,distribution_distance,final_total_surplus,wasserstein_1d,2,1.5657738095238098,1.5657738095238098,1.5657738095238098
4,distribution_distance,mean_player_final_surplus,wasserstein_1d,2,0.5219246031746032,0.5219246031746032,0.5219246031746032
4,distribution_distance,proposer_net_surplus,wasserstein_1d,2,0.27513227513227506,0.27513227513227506,0.27513227513227506
4,distribution_distance,trade_ratio,wasserstein_1d,2,0.08234712726280183,0.08234712726280183,0.08234712726280183
4,distribution_distance,acceptance_rate,wasserstein_1d,2,0.08134920634920634,0.08134920634920634,0.08134920634920634
4,distribution_distance,accepted_proposer_net_surplus,wasserstein_1d,2,0.21161749894345594,0.21161749894345594,0.21161749894345594
4,distribution_distance,accepted_trade_ratio,wasserstein_1d,2,0.0847158980784409,0.0847158980784409,0.0847158980784409
4,distribution_distance,declined_proposer_net_surplus,wasserstein_1d,2,0.3756205163509352,0.3756205163509352,0.3756205163509352
4,distribution_distance,declined_trade_ratio,wasserstein_1d,2,0.09172732131863467,0.09172732131863467,0.09172732131863467
5,distribution_distance,final_surplus_ratio,wasserstein_1d,2,0.09208095042279445,0.09208095042279445,0.09208095042279445
5,distribution_distance,final_total_surplus,wasserstein_1d,2,1.6779761904761898,1.6779761904761898,1.6779761904761898
5,distribution_distance,mean_player_final_surplus,wasserstein_1d,2,0.5593253968253967,0.5593253968253967,0.5593253968253967
5,distribution_distance,proposer_net_surplus,wasserstein_1d,2,0.23538359788359792,0.23538359788359792,0.23538359788359792
5,distribution_distance,trade_ratio,wasserstein_1d,2,0.04442743286989326,0.04442743286989326,0.04442743286989326
5,distribution_distance,acceptance_rate,wasserstein_1d,2,0.026124338624338606,0.026124338624338606,0.026124338624338606
5,distribution_distance,accepted_proposer_net_surplus,wasserstein_1d,2,0.19024599115403135,0.19024599115403135,0.19024599115403135
5,distribution_distance,accepted_trade_ratio,wasserstein_1d,2,0.09502929116923302,0.09502929116923302,0.09502929116923302
5,distribution_distance,declined_proposer_net_surplus,wasserstein_1d,2,0.3455967904051723,0.3455967904051723,0.3455967904051723
5,distribution_distance,declined_trade_ratio,wasserstein_1d,2,0.09004143794513314,0.09004143794513314,0.09004143794513314
6,distribution_distance,final_surplus_ratio,wasserstein_1d,2,0.10822645594951322,0.10822645594951322,0.10822645594951322
6,distribution_distance,final_total_surplus,wasserstein_1d,2,2.019047619047618,2.019047619047618,2.019047619047618
6,distribution_distance,mean_player_final_surplus,wasserstein_1d,2,0.6730158730158726,0.6730158730158726,0.6730158730158726
6,distribution_distance,proposer_net_surplus,wasserstein_1d,2,0.37215608465608474,0.37215608465608474,0.37215608465608474
6,distribution_distance,trade_ratio,wasserstein_1d,2,0.05284291325957996,0.05284291325957996,0.05284291325957996
6,distribution_distance,acceptance_rate,wasserstein_1d,2,0.06117724867724869,0.06117724867724869,0.06117724867724869
6,distribution_distance,accepted_proposer_net_surplus,wasserstein_1d,2,0.423253985948546,0.423253985948546,0.423253985948546
6,distribution_distance,accepted_trade_ratio,wasserstein_1d,2,0.08980797105566155,0.08980797105566155,0.08980797105566155
6,distribution_distance,declined_proposer_net_surplus,wasserstein_1d,2,0.37982538596669035,0.37982538596669035,0.37982538596669035
6,distribution_distance,declined_trade_ratio,wasserstein_1d,2,0.10114669448908581,0.10114669448908581,0.10114669448908581
7,distribution_distance,final_surplus_ratio,wasserstein_1d,2,0.04690131351059862,0.04690131351059862,0.04690131351059862
7,distribution_distance,final_total_surplus,wasserstein_1d,2,1.3261904761904764,1.3261904761904764,1.3261904761904764
7,distribution_distance,mean_player_final_surplus,wasserstein_1d,2,0.44206349206349205,0.44206349206349205,0.44206349206349205
7,distribution_distance,proposer_net_surplus,wasserstein_1d,2,0.12695105820105826,0.12695105820105826,0.12695105820105826
7,distribution_distance,trade_ratio,wasserstein_1d,2,0.040683144750605055,0.040683144750605055,0.040683144750605055
7,distribution_distance,acceptance_rate,wasserstein_1d,2,0.03240740740740744,0.03240740740740744,0.03240740740740744
7,distribution_distance,accepted_proposer_net_surplus,wasserstein_1d,2,0.13280154105568726,0.13280154105568726,0.13280154105568726
7,distribution_distance,accepted_trade_ratio,wasserstein_1d,2,0.044198766593892894,0.044198766593892894,0.044198766593892894
7,distribution_distance,declined_proposer_net_surplus,wasserstein_1d,2,0.19615825448091034,0.19615825448091034,0.19615825448091034
7,distribution_distance,declined_trade_ratio,wasserstein_1d,2,0.048275839188560724,0.048275839188560724,0.048275839188560724
8,distribution_distance,final_surplus_ratio,wasserstein_1d,2,0.13105883842850366,0.13105883842850366,0.13105883842850366
8,distribution_distance,final_total_surplus,wasserstein_1d,2,2.310416666666666,2.310416666666666,2.310416666666666
8,distribution_distance,mean_player_final_surplus,wasserstein_1d,2,0.7701388888888886,0.7701388888888886,0.7701388888888886
