target,style_source,eval_granularity,group_col,model,k_clusters,baseline_r2,baseline_rmse,baseline_mae,augmented_r2,augmented_rmse,augmented_mae,delta_r2,baseline_r2_oos_train_mean,augmented_r2_oos_train_mean,delta_r2_oos_train_mean,delta_rmse,delta_mae,missing_style_games_learn,missing_style_games_val,n_train_eval_rows,n_val_eval_rows,style_map_val_rmse,style_map_val_mae
itt_efficiency,oracle,config_treatment,CONFIG_treatmentName,linear,12,-0.10552900251260744,0.0889894627717357,0.07315489659967898,0.06876805058378721,0.08167374100809606,0.06716548124291569,0.17429705309639465,0.020911775308675273,0.17527424965102745,0.15436247434235217,-0.007315721763639635,-0.005989415356763297,0,0,96,20,0.0,0.0
itt_efficiency,oracle,config_treatment,CONFIG_treatmentName,linear,16,-0.10552900251260744,0.0889894627717357,0.07315489659967898,-0.5526335975169334,0.10546005769457953,0.0886287317997203,-0.447104595004326,0.020911775308675273,-0.37505689053293145,-0.3959686658416067,0.016470594922843834,0.015473835200041322,0,0,96,20,0.0,0.0
itt_efficiency,oracle,config_treatment,CONFIG_treatmentName,linear,6,-0.10552900251260744,0.0889894627717357,0.07315489659967898,-0.6089378430602552,0.1073552155067218,0.0884546317009104,-0.5034088405476478,0.020911775308675273,-0.424921546897717,-0.44583332220639227,0.0183657527349861,0.015299735101231421,0,0,96,20,0.0,0.0
itt_efficiency,oracle,config_treatment,CONFIG_treatmentName,linear,4,-0.10552900251260744,0.0889894627717357,0.07315489659967898,-0.6480494048369638,0.10865222595585473,0.08829286763094905,-0.5425204023243564,0.020911775308675273,-0.4595598689117304,-0.48047164422040567,0.01966276318411904,0.01513797103127007,0,0,96,20,0.0,0.0
itt_efficiency,oracle,config_treatment,CONFIG_treatmentName,linear,10,-0.10552900251260744,0.0889894627717357,0.07315489659967898,-0.6719692334354113,0.10943787599653372,0.0877754239964375,-0.5664402309228038,0.020911775308675273,-0.4807439558639022,-0.5016557311725774,0.020448413224798026,0.01462052739675851,0,0,96,20,0.0,0.0
itt_efficiency,oracle,config_treatment,CONFIG_treatmentName,linear,8,-0.10552900251260744,0.0889894627717357,0.07315489659967898,-0.7431783465112745,0.11174405472154471,0.08870795023681873,-0.637649343998667,0.020911775308675273,-0.5438087908386822,-0.5647205661473574,0.022754591949809014,0.015553053637139741,0,0,96,20,0.0,0.0
itt_efficiency,oracle,config_treatment,CONFIG_treatmentName,ridge,12,-0.09786225706672469,0.08868035892706212,0.0737760143002546,0.1395977356213598,0.07850625978802706,0.06301125113861845,0.2374599926880845,0.027701665190088764,0.23800305226160556,0.2103013870715168,-0.010174099139035067,-0.010764763161636146,0,0,96,20,0.0,0.0
itt_efficiency,oracle,config_treatment,CONFIG_treatmentName,ridge,16,-0.09786225706672469,0.08868035892706212,0.0737760143002546,-0.442471871037055,0.10164995512127113,0.08472416490150991,-0.3446096139703303,0.027701665190088764,-0.2774945027864504,-0.30519616797653915,0.01296959619420901,0.010948150601255313,0,0,96,20,0.0,0.0
itt_efficiency,oracle,config_treatment,CONFIG_treatmentName,ridge,6,-0.09786225706672469,0.08868035892706212,0.0737760143002546,-0.5764675767748506,0.10626641666343048,0.08810593374825476,-0.4786053197081259,0.027701665190088764,-0.3961649468443693,-0.4238666120344581,0.017586057736368357,0.014329919448000161,0,0,96,20,0.0,0.0
itt_efficiency,oracle,config_treatment,CONFIG_treatmentName,ridge,10,-0.09786225706672469,0.08868035892706212,0.0737760143002546,-0.5947441215635361,0.10688063361429381,0.08531911072614803,-0.4968818644968114,0.027701665190088764,-0.41235117963426093,-0.4400528448243497,0.01820027468723169,0.011543096425893434,0,0,96,20,0.0,0.0
itt_efficiency,oracle,config_treatment,CONFIG_treatmentName,ridge,4,-0.09786225706672469,0.08868035892706212,0.0737760143002546,-0.6508990024454584,0.10874611919750547,0.08809953526518291,-0.5530367453787337,0.027701665190088764,-0.4620835543666073,-0.48978521955669607,0.02006576027044335,0.01432352096492831,0,0,96,20,0.0,0.0
itt_efficiency,oracle,config_treatment,CONFIG_treatmentName,ridge,8,-0.09786225706672469,0.08868035892706212,0.0737760143002546,-0.6711339299147971,0.10941053540271362,0.08695299228873679,-0.5732716728480725,0.027701665190088764,-0.480004187084234,-0.5077058522743227,0.020730176475651493,0.013176977988482191,0,0,96,20,0.0,0.0
itt_efficiency,oracle,game,,linear,4,-0.013252688573206939,0.15830149869587634,0.12086334461356592,0.005183247271819291,0.1568547551725452,0.12107362533496273,0.01843593584502623,-0.010439884461125315,0.007944872959466664,0.01838475742059198,-0.0014467435233311288,0.00021028072139681053,0,0,100,124,0.0,0.0
itt_efficiency,oracle,game,,linear,12,-0.013252688573206939,0.15830149869587634,0.12086334461356592,0.0035450570634654177,0.15698385041826016,0.12388323005698007,0.016797745636672357,-0.010439884461125315,0.006311230390814493,0.016751114851939808,-0.0013176482776161846,0.0030198854434141525,0,0,100,124,0.0,0.0
itt_efficiency,oracle,game,,linear,6,-0.013252688573206939,0.15830149869587634,0.12086334461356592,-0.004178205059775619,0.1575910465553799,0.1270732897981766,0.00907448351343132,-0.010439884461125315,-0.0013905918451171395,0.009049292616008175,-0.0007104521404964481,0.0062099451846106685,0,0,100,124,0.0,0.0
itt_efficiency,oracle,game,,linear,10,-0.013252688573206939,0.15830149869587634,0.12086334461356592,-0.030911632881792883,0.15967497772445302,0.12336596816620035,-0.017658944308585944,-0.010439884461125315,-0.02804980728501505,-0.017609922823889734,0.0013734790285766796,0.0025026235526344337,0,0,100,124,0.0,0.0
itt_efficiency,oracle,game,,linear,16,-0.013252688573206939,0.15830149869587634,0.12086334461356592,-0.03556101588125671,0.16003463753703312,0.1263838827351049,-0.02230832730804977,-0.010439884461125315,-0.032686283530056315,-0.022246399068931,0.0017331388411567783,0.005520538121538979,0,0,100,124,0.0,0.0
itt_efficiency,oracle,game,,linear,8,-0.013252688573206939,0.15830149869587634,0.12086334461356592,-0.05271160013007381,0.16135441324532696,0.1289298413723617,-0.03945891155686687,-0.010439884461125315,-0.04978925750905261,-0.039349373047927294,0.003052914549450614,0.008066496758795769,0,0,100,124,0.0,0.0
itt_efficiency,oracle,game,,ridge,12,-0.01639959619949516,0.1585471304166529,0.12118561029624751,0.03378625567238902,0.15458336241779078,0.12126069086440924,0.05018585187188418,-0.013578056226348112,0.03646847899520245,0.05004653522155056,-0.003963767998862111,7.508056816173114e-05,0,0,100,124,0.0,0.0
itt_efficiency,oracle,game,,ridge,6,-0.01639959619949516,0.1585471304166529,0.12118561029624751,0.012194047927971408,0.156301074446091,0.1259408358584143,0.028593644127466566,-0.013578056226348112,0.014936211531642152,0.028514267757990264,-0.0022460559705618777,0.004755225562166801,0,0,100,124,0.0,0.0
itt_efficiency,oracle,game,,ridge,4,-0.01639959619949516,0.1585471304166529,0.12118561029624751,0.002962964405073265,0.1570296958457263,0.12155943666451788,0.019362560604568424,-0.013578056226348112,0.0057307536300573725,0.019308809856405484,-0.0015174345709265957,0.0003738263682703663,0,0,100,124,0.0,0.0
itt_efficiency,oracle,game,,ridge,10,-0.01639959619949516,0.1585471304166529,0.12118561029624751,0.001439411570912874,0.15714962705375782,0.12156523113216032,0.017839007770408033,-0.013578056226348112,0.00421143020059056,0.017789486426938672,-0.0013975033628950695,0.0003796208359128084,0,0,100,124,0.0,0.0
itt_efficiency,oracle,game,,ridge,16,-0.01639959619949516,0.1585471304166529,0.12118561029624751,-0.008022189643625444,0.15789238695977098,0.12488878992915334,0.008377406555869715,-0.013578056226348112,-0.0052239054721898714,0.00835415075415824,-0.0006547434568819066,0.003703179632905826,0,0,100,124,0.0,0.0
itt_efficiency,oracle,game,,ridge,8,-0.01639959619949516,0.1585471304166529,0.12118561029624751,-0.019655675543238216,0.15880088359030026,0.12669013190826547,-0.003256079343743057,-0.013578056226348112,-0.016825096646759796,-0.0032470404204116843,0.0002537531736473697,0.005504521612017962,0,0,100,124,0.0,0.0
itt_efficiency,synthetic,config_treatment,CONFIG_treatmentName,linear,6,-0.10552900251260744,0.0889894627717357,0.07315489659967898,-0.19224241679014908,0.0924135809586354,0.07747146514335293,-0.08671341427754164,0.020911775308675273,-0.055884113943405644,-0.07679588925208092,0.003424118186899708,0.004316568543673946,0,0,96,20,0.259156049682257,0.17002981424466226
itt_efficiency,synthetic,config_treatment,CONFIG_treatmentName,linear,4,-0.10552900251260744,0.0889894627717357,0.07315489659967898,-0.3527421940163735,0.09843760370936748,0.0810496181565988,-0.24721319150376608,0.020911775308675273,-0.1980273246512454,-0.21893909995992067,0.009448140937631785,0.00789472155691981,0,0,96,20,0.2723943455759961,0.19550202122781907
itt_efficiency,synthetic,config_treatment,CONFIG_treatmentName,linear,10,-0.10552900251260744,0.0889894627717357,0.07315489659967898,-0.35399624261991636,0.09848322102783084,0.08355857787232443,-0.24846724010730892,0.020911775308675273,-0.19913794609865065,-0.22004972140732593,0.00949375825609515,0.010403681272645446,0,0,96,20,0.1995881116815652,0.12084693704297393
