metric,rmse,mae,r2,n_pairs
mean_contribution_rate,0.2702528567522416,0.2344145477159439,-27.481504217685092,13
punishment_rate,0.3998979509813389,0.2131524418443459,-33.142670789123834,13
reward_rate,0.43835239016327854,0.27879273504273505,-10.054008279960543,13
normalized_efficiency,0.4787759378826394,0.38643668495112365,-24.929470016757463,13
