domain,feature_name,feature_label,feature_value,metric_label,model_name,mean_wd,stderr,num_treatments
macro,chat_enabled,Chat enabled,True,Final-round eff,gpt-5-mini twin,0.44660283813953033,0.04246795215070679,26
macro,chat_enabled,Chat enabled,False,Final-round eff,gpt-5.1 baseline,0.5843680791085265,0.14820745574313465,14
macro,chat_enabled,Chat enabled,True,Final-round eff,gpt-5.1 baseline,0.4944425453991964,0.05606147646224313,26
macro,chat_enabled,Chat enabled,False,Final-round eff,gpt-5.1 twin,0.4903699159594254,0.15036123863421058,14
macro,chat_enabled,Chat enabled,True,Final-round eff,gpt-5.1 twin,0.445261280229443,0.04277924551187488,26
macro,chat_enabled,Chat enabled,False,First-round contrib,gpt-5-mini baseline,0.14248441616862667,0.01710769746608163,14
macro,chat_enabled,Chat enabled,True,First-round contrib,gpt-5-mini baseline,0.13261114464239462,0.011620734858440509,26
macro,chat_enabled,Chat enabled,False,First-round contrib,gpt-5-mini twin,0.06435783149598931,0.009834233512444095,14
macro,chat_enabled,Chat enabled,True,First-round contrib,gpt-5-mini twin,0.07647472897472894,0.007201734062307818,26
macro,chat_enabled,Chat enabled,False,First-round contrib,gpt-5.1 baseline,0.14073421826711296,0.025396975710772242,14
macro,chat_enabled,Chat enabled,True,First-round contrib,gpt-5.1 baseline,0.17490888740888738,0.014726424858471055,26
macro,chat_enabled,Chat enabled,False,First-round contrib,gpt-5.1 twin,0.09833867521367519,0.019911527958730975,14
macro,chat_enabled,Chat enabled,True,First-round contrib,gpt-5.1 twin,0.11321002492877491,0.009326694376724242,26
macro,chat_enabled,Chat enabled,False,First-round eff,gpt-5-mini baseline,0.1341581657616641,0.01680221067417852,14
macro,chat_enabled,Chat enabled,True,First-round eff,gpt-5-mini baseline,0.1453853555337417,0.01498986477194842,26
macro,chat_enabled,Chat enabled,False,First-round eff,gpt-5-mini twin,0.07999601815505021,0.008208453552018187,14
macro,chat_enabled,Chat enabled,True,First-round eff,gpt-5-mini twin,0.10985797966094478,0.012581297050871543,26
macro,chat_enabled,Chat enabled,False,First-round eff,gpt-5.1 baseline,0.1562387003577265,0.023040501209278592,14
macro,chat_enabled,Chat enabled,True,First-round eff,gpt-5.1 baseline,0.1880916248112055,0.014080597329604429,26
macro,chat_enabled,Chat enabled,False,First-round eff,gpt-5.1 twin,0.11916927323734604,0.02046267167096315,14
macro,chat_enabled,Chat enabled,True,First-round eff,gpt-5.1 twin,0.13781553484490708,0.011895988475326684,26
macro,chat_enabled,Chat enabled,False,Mean contrib,gpt-5-mini baseline,0.3003962211434059,0.03590158243540329,14
macro,chat_enabled,Chat enabled,True,Mean contrib,gpt-5-mini baseline,0.2905549796578394,0.03173768697060623,26
macro,chat_enabled,Chat enabled,False,Mean contrib,gpt-5-mini twin,0.1823514306039719,0.03132387994742084,14
macro,chat_enabled,Chat enabled,True,Mean contrib,gpt-5-mini twin,0.17654694050466052,0.022045383992071073,26
macro,chat_enabled,Chat enabled,False,Mean contrib,gpt-5.1 baseline,0.1787891153547356,0.03620505652413888,14
macro,chat_enabled,Chat enabled,True,Mean contrib,gpt-5.1 baseline,0.18327612083216602,0.02392650530386809,26
macro,chat_enabled,Chat enabled,False,Mean contrib,gpt-5.1 twin,0.1536861087018346,0.02403119938026065,14
macro,chat_enabled,Chat enabled,True,Mean contrib,gpt-5.1 twin,0.1534103884864756,0.014797651910868553,26
macro,chat_enabled,Chat enabled,False,Mean eff,gpt-5-mini baseline,0.3366165697373143,0.044194511081337796,14
macro,chat_enabled,Chat enabled,True,Mean eff,gpt-5-mini baseline,0.3632459003069008,0.03653106360217232,26
macro,chat_enabled,Chat enabled,False,Mean eff,gpt-5-mini twin,0.23252014288428202,0.03946512665167177,14
macro,chat_enabled,Chat enabled,True,Mean eff,gpt-5-mini twin,0.2495829465891612,0.025653132200555713,26
macro,chat_enabled,Chat enabled,False,Mean eff,gpt-5.1 baseline,0.21743578291400326,0.044437679084625176,14
macro,chat_enabled,Chat enabled,True,Mean eff,gpt-5.1 baseline,0.2553604680374737,0.026981583587466117,26
macro,chat_enabled,Chat enabled,False,Mean eff,gpt-5.1 twin,0.18984876270340884,0.03279160025130516,14
macro,chat_enabled,Chat enabled,True,Mean eff,gpt-5.1 twin,0.21201740403484032,0.01985041613336745,26
macro,opt_out_default,Opt-out default,False,Final-round contrib,gpt-5-mini baseline,0.5246890000665253,0.046203800706966815,24
macro,opt_out_default,Opt-out default,True,Final-round contrib,gpt-5-mini baseline,0.5566796670658725,0.061440508286749136,16
macro,opt_out_default,Opt-out default,False,Final-round contrib,gpt-5-mini twin,0.3253606774439319,0.03692326991225366,24
macro,opt_out_default,Opt-out default,True,Final-round contrib,gpt-5-mini twin,0.32819173589194084,0.043834156046848136,16
macro,opt_out_default,Opt-out default,False,Final-round contrib,gpt-5.1 baseline,0.405951897566402,0.057068069184268246,24
macro,opt_out_default,Opt-out default,True,Final-round contrib,gpt-5.1 baseline,0.3809443122181917,0.04884315781898112,16
macro,opt_out_default,Opt-out default,False,Final-round contrib,gpt-5.1 twin,0.3206076059590895,0.03992932300065373,24
macro,opt_out_default,Opt-out default,True,Final-round contrib,gpt-5.1 twin,0.3548988724945882,0.0476815496074203,16
macro,opt_out_default,Opt-out default,False,Final-round eff,gpt-5-mini baseline,0.5947591319686415,0.04737057062696527,24
macro,opt_out_default,Opt-out default,True,Final-round eff,gpt-5-mini baseline,0.7627561944003116,0.13636905959122725,16
macro,opt_out_default,Opt-out default,False,Final-round eff,gpt-5-mini twin,0.4166738437680286,0.04151904354322178,24
