fold,model,n_train,n_test,n_train_games,n_test_games,status,pred_true_cosine_mean,retrieved_true_cosine_mean,oracle_true_cosine_mean,retrieval_cosine_regret_mean,oracle_hit_at_1,oracle_hit_at_5,embedding_mse_mean,fit_eval_seconds
1,elastic_net,1496,374,146,36,ok,0.8736521601676941,0.8287692666053772,0.9090261459350586,0.08025681227445602,0.016042780748663103,0.0481283422459893,0.00015409945626743138,29.2887
1,mlp,1496,374,146,36,ok,0.863202691078186,0.8240190148353577,0.9090261459350586,0.08500712364912033,0.00267379679144385,0.02406417112299465,0.00016819390293676406,531.8887
2,elastic_net,1495,375,145,37,ok,0.8744992017745972,0.8301769495010376,0.9065808653831482,0.07640390843153,0.005333333333333333,0.029333333333333333,0.00015370511391665787,247.4666
2,mlp,1495,375,145,37,ok,0.8642719984054565,0.820750892162323,0.9065808653831482,0.085829958319664,0.008,0.024,0.00016784000035841018,1953.5237
3,elastic_net,1495,375,145,37,ok,0.8663639426231384,0.8160638213157654,0.9034918546676636,0.08742806315422058,0.005333333333333333,0.021333333333333333,0.0001623576390556991,121.9155
3,mlp,1495,375,145,37,ok,0.8449243307113647,0.8011429905891418,0.9034918546676636,0.10234887897968292,0.005333333333333333,0.021333333333333333,0.00019041133054997772,2782.7815
4,elastic_net,1497,373,146,36,ok,0.8630520105361938,0.8132899403572083,0.9051005840301514,0.09181065857410431,0.005361930294906166,0.029490616621983913,0.0001658873079577461,97.3532
4,mlp,1497,373,146,36,ok,0.8495354056358337,0.80123370885849,0.9051005840301514,0.10386690497398376,0.002680965147453083,0.013404825737265416,0.0001828437962103635,2765.9095
5,elastic_net,1497,373,146,36,ok,0.8656356930732727,0.8189609050750732,0.9024344086647034,0.0834735780954361,0.00804289544235925,0.040214477211796246,0.00016338465502485633,70.6256
5,mlp,1497,373,146,36,ok,0.8521783947944641,0.8082677125930786,0.9024344086647034,0.09416673332452774,0.005361930294906166,0.029490616621983913,0.00018014339730143547,1900.5187
