metric,num_treatments,mean_abs_diff_from_human_mean,mean_abs_z_score,median_abs_z_score,mean_percentile_within_humans,median_percentile_within_humans,within_human_range_rate,within_human_iqr_rate
final_round_normalized_efficiency,40,0.533138055578159,1.8339239218931787,1.290800666351487,0.14975384858197358,0.08333333333333333,0.5408653846153846,0.18990384615384615
final_total_contribution_rate,40,0.48310840799405474,3.3148437358679357,2.2633936510629633,0.11895517676767678,0.0,0.3485576923076923,0.15144230769230768
first_round_normalized_efficiency,40,0.14294133287141036,1.0028738297582787,0.7287828881031496,0.29043833770396266,0.25,0.8413461538461539,0.4206730769230769
first_round_total_contribution_rate,40,0.13353598581631856,1.1550839678581388,0.9019991355644952,0.2559841200466201,0.20833333333333334,0.8173076923076923,0.40625
mean_round_normalized_efficiency,40,0.3160026589607959,1.870569660298538,1.2076921936928637,0.18964525058275059,0.1,0.6298076923076923,0.27403846153846156
mean_total_contribution_rate,40,0.26917674597356317,2.424133806294234,1.7945418943013378,0.1705018939393939,0.09090909090909091,0.5552884615384616,0.23317307692307693
mean_within_round_contribution_rate_var,40,0.038188141695271564,1.131241143574938,0.7385086344916011,0.3549254564879565,0.3333333333333333,0.7764423076923077,0.47836538461538464
messages_per_round,26,2.2324277766757152,1.6071144824348629,0.8579834838654152,0.6137246559800907,0.6666666666666666,0.7753623188405797,0.391304347826087
punish_actor_round_rate,20,0.09654033158396477,1.0093476011048992,0.611578528793139,0.5127691549642769,0.5833333333333334,0.751219512195122,0.5365853658536586
reward_actor_round_rate,22,0.09782472516670276,0.7605059999821685,0.5443428865919805,0.47619866790172466,0.5,0.8777292576419214,0.5633187772925764
round_normalized_efficiency_decay_slope,40,0.4070505720214369,1.4492171872720125,0.9084373221219599,0.24017033313908315,0.10555555555555556,0.6322115384615384,0.2668269230769231
round_normalized_efficiency_rmse_to_treatment_mean,40,0.2060855645289295,2.1900400381655953,0.8735879061964624,0.6586854118104118,0.75,0.6971153846153846,0.31971153846153844
rounds_with_chat_rate,26,0.42568640393831186,1.6957368247070335,1.4345426824682708,0.8582143902796078,0.9444444444444444,0.6811594202898551,0.2536231884057971
total_contribution_rate_decay_slope,40,0.34888762134435897,2.353347687188047,1.704405074182186,0.2205091783216783,0.08333333333333333,0.49038461538461536,0.1971153846153846
total_contribution_rate_rmse_to_treatment_mean,40,0.18361720025964345,3.247295677315196,1.729514475161062,0.7850494123931624,0.9166666666666666,0.5240384615384616,0.20673076923076922
total_contribution_rate_sd,40,0.06390744438311464,1.6478914137800398,1.1358032891048575,0.6935144716394717,0.8,0.6274038461538461,0.2932692307692308
