config_feature,config_value,n_games,n_player_round_rows,share_any,mean_units,median_units,p95_units,mean_targets,conditional_mean_units_if_any,delta_vs_overall_mean_units,delta_vs_overall_share_any
CONFIG_MPCR,0.07,3,1206,0.07048092868988391,0.26285240464344944,0.0,1.0,0.148424543946932,3.7294117647058824,-0.7568020459898213,-0.1063736496618385
CONFIG_MPCR,0.1,2,456,0.19956140350877194,1.2850877192982457,0.0,9.25,0.6754385964912281,6.43956043956044,0.26543326866497496,0.022706825157049526
CONFIG_MPCR,0.11,2,456,0.13815789473684212,0.24342105263157895,0.0,2.0,0.21052631578947367,1.7619047619047619,-0.7762333980016918,-0.038696683614880295
CONFIG_MPCR,0.12,2,64,0.140625,0.359375,0.0,2.8499999999999943,0.328125,2.5555555555555554,-0.6602794506332708,-0.036229578351722413
CONFIG_MPCR,0.13,4,618,0.2022653721682848,0.6601941747572816,0.0,5.0,0.48381877022653724,3.264,-0.35946027587598917,0.025410793816562388
CONFIG_MPCR,0.16,2,408,0.20833333333333334,0.5122549019607843,0.0,3.0,0.4534313725490196,2.458823529411765,-0.5073995486724865,0.03147875498161093
CONFIG_MPCR,0.17,4,648,0.08796296296296297,0.16049382716049382,0.0,1.0,0.14506172839506173,1.8245614035087718,-0.8591606234727769,-0.08889161538875945
CONFIG_MPCR,0.18,2,650,0.3707692307692308,1.0507692307692307,0.0,4.0,1.0261538461538462,2.8340248962655603,0.03111478013595992,0.19391465241750838
CONFIG_MPCR,0.19,4,316,0.05379746835443038,0.13924050632911392,0.0,1.0,0.1360759493670886,2.588235294117647,-0.8804139443041569,-0.12305710999729202
CONFIG_MPCR,0.2,4,808,0.08168316831683169,0.6175742574257426,0.0,2.0,0.4542079207920792,7.5606060606060606,-0.4020801932075282,-0.09517141003489073
CONFIG_MPCR,0.22,4,344,0.14244186046511628,0.5436046511627907,0.0,4.0,0.49709302325581395,3.816326530612245,-0.4760497994704801,-0.03441271788660613
CONFIG_MPCR,0.23,4,242,0.1115702479338843,0.28512396694214875,0.0,2.0,0.21487603305785125,2.5555555555555554,-0.734530483691122,-0.06528433041783811
CONFIG_MPCR,0.24,2,252,0.36507936507936506,1.0238095238095237,0.0,5.0,0.8095238095238095,2.8043478260869565,0.004155073176252966,0.18822478672764265
CONFIG_MPCR,0.25,4,436,0.08944954128440367,0.2018348623853211,0.0,2.0,0.16055045871559634,2.2564102564102564,-0.8178195882479496,-0.08740503706731874
CONFIG_MPCR,0.26,4,1174,0.19080068143100512,0.45741056218057924,0.0,3.0,0.393526405451448,2.3973214285714284,-0.5622438884526915,0.013946103079282707
CONFIG_MPCR,0.29,4,300,0.22666666666666666,1.15,0.0,6.0,0.6333333333333333,5.073529411764706,0.13034554936672915,0.04981208831494424
CONFIG_MPCR,0.3,4,1078,0.11410018552875696,0.4777365491651206,0.0,4.0,0.39239332096474955,4.186991869918699,-0.5419179014681501,-0.06275439282296545
