config_feature,n_values,n_player_round_rows,overall_mean_units,overall_share_any,max_group_mean_units_gap,max_group_share_any_gap,eta_squared_units,min_group_size,max_group_size
CONFIG_MPCR,58,30157,0.6925755214378088,0.17110455284013662,2.629324652112856,0.3464285714285714,0.015529040441729538,30,1430
CONFIG_numRounds,30,30157,0.6925755214378088,0.17110455284013662,1.5939678474889742,0.2154490106544901,0.008050958124805718,35,1980
CONFIG_playerCount,19,30157,0.6925755214378088,0.17110455284013662,1.1344130675526025,0.14983817552310702,0.005334217996249584,168,3612
CONFIG_punishmentMagnitude,16,30157,0.6925755214378088,0.17110455284013662,1.3215791180285343,0.2760416666666667,0.005201892068723328,96,4874
CONFIG_chat,2,30157,0.6925755214378088,0.17110455284013662,0.4533647495676655,0.08763767915249834,0.003578271239457574,14946,15211
CONFIG_rewardMagnitude,6,30157,0.6925755214378088,0.17110455284013662,0.7018470924507002,0.05810306697886705,0.0016876918699789756,553,9687
CONFIG_showNRounds,2,30157,0.6925755214378088,0.17110455284013662,0.23686114814498138,0.04338671840500663,0.0009767775420015216,15037,15120
CONFIG_rewardExists,2,30157,0.6925755214378088,0.17110455284013662,0.15203685508182807,0.017700779687375046,0.00040054934407711797,14043,16114
CONFIG_showOtherSummaries,2,30157,0.6925755214378088,0.17110455284013662,0.09253872743891545,0.02059346764002007,0.0001488910201305235,14523,15634
CONFIG_showRewardId,2,30157,0.6925755214378088,0.17110455284013662,0.06776825546135867,0.011702588452177809,7.971287157006845e-05,14243,15914
CONFIG_showPunishmentId,2,30157,0.6925755214378088,0.17110455284013662,0.06776825546135867,0.011702588452177809,7.971287157006845e-05,14243,15914
CONFIG_allOrNothing,2,30157,0.6925755214378088,0.17110455284013662,0.05919171651301969,0.00922639073713627,6.0930272266731975e-05,14567,15590
CONFIG_defaultContribProp,2,30157,0.6925755214378088,0.17110455284013662,0.025369121660771987,0.012055355616458319,1.116556710191642e-05,14181,15976
