config_feature,n_values,n_player_round_rows,overall_mean_units,overall_share_any,max_group_mean_units_gap,max_group_share_any_gap,eta_squared_units,min_group_size,max_group_size
CONFIG_MPCR,49,28187,1.0196544506332708,0.1768545783517224,5.834255599472991,0.41967754467754464,0.04328500044495676,48,1750
CONFIG_numRounds,28,28187,1.0196544506332708,0.1768545783517224,4.93154960981048,0.3597222222222222,0.025622762693223243,102,3108
CONFIG_playerCount,19,28187,1.0196544506332708,0.1768545783517224,3.386625615763547,0.19405942453609798,0.015609170878174114,232,3276
CONFIG_punishmentMagnitude,16,28187,1.0196544506332708,0.1768545783517224,2.2477249916359985,0.33418367346938777,0.011608607443749891,8,4270
CONFIG_rewardMagnitude,6,28187,1.0196544506332708,0.1768545783517224,1.8356696238554346,0.2389094746716698,0.008223523208515193,650,8929
CONFIG_punishmentExists,2,28187,1.0196544506332708,0.1768545783517224,0.9791884263524154,0.1313485972544573,0.006369984365616924,14043,14144
CONFIG_showOtherSummaries,2,28187,1.0196544506332708,0.1768545783517224,0.7322928912128709,0.022860273301960166,0.0035600213054512377,13706,14481
CONFIG_defaultContribProp,2,28187,1.0196544506332708,0.1768545783517224,0.591210506797787,0.03027874739493916,0.0023091540619919536,13038,15149
CONFIG_showNRounds,2,28187,1.0196544506332708,0.1768545783517224,0.556395940057638,0.017313757747976805,0.002056298019794384,13887,14300
CONFIG_showRewardId,2,28187,1.0196544506332708,0.1768545783517224,0.3645660239296785,0.01626621751641802,0.000877680794749116,12999,15188
CONFIG_showPunishmentId,2,28187,1.0196544506332708,0.1768545783517224,0.3645660239296785,0.01626621751641802,0.000877680794749116,12999,15188
CONFIG_chat,2,28187,1.0196544506332708,0.1768545783517224,0.35438736857821984,0.06627644173861602,0.0008314411948431317,13256,14931
CONFIG_allOrNothing,2,28187,1.0196544506332708,0.1768545783517224,0.31863055216926417,0.01503729847924723,0.0006744651793657976,13983,14204
