roundIndex,n_rows,predicted_contribution_parsed,contrib_mae,contrib_rmse,contrib_bias,contrib_corr,action_exact_match,target_set_exact,target_precision,target_recall,target_f1,target_jaccard,target_hit_any,unit_mae_on_overlap,unit_exact_on_overlap_rate,actual_any_action_rate,pred_any_action_rate,actual_any_punish_rate,pred_any_punish_rate,actual_any_reward_rate,pred_any_reward_rate
1,13,1.0,4.615384615384615,8.770580193070291,0.0,0.20012511730970398,0.07692307692307693,0.07692307692307693,0.10256410256410256,0.15384615384615385,0.11538461538461539,0.10256410256410256,0.15384615384615385,1.0,0.0,0.15384615384615385,0.9230769230769231,0.07692307692307693,0.6153846153846154,0.07692307692307693,0.3076923076923077
2,13,1.0,3.076923076923077,6.793662204867575,1.5384615384615385,0.6292532049656927,0.5384615384615384,0.5384615384615384,0.6153846153846154,0.5641025641025641,0.5769230769230769,0.5641025641025641,0.6153846153846154,1.0,0.0,0.3076923076923077,0.23076923076923078,0.23076923076923078,0.0,0.07692307692307693,0.23076923076923078
3,13,1.0,4.615384615384615,8.770580193070291,0.0,0.3954528780062225,0.0,0.15384615384615385,0.23076923076923078,0.19230769230769232,0.20512820512820512,0.19230769230769232,0.23076923076923078,3.0,0.3333333333333333,0.38461538461538464,1.0,0.3076923076923077,0.6923076923076923,0.07692307692307693,0.3076923076923077
4,13,1.0,5.0,8.879535677396303,0.38461538461538464,0.4680314071280392,0.07692307692307693,0.15384615384615385,0.2692307692307692,0.2692307692307692,0.2564102564102564,0.23076923076923078,0.3076923076923077,0.6666666666666666,0.3333333333333333,0.5384615384615384,0.9230769230769231,0.3076923076923077,0.6923076923076923,0.23076923076923078,0.23076923076923078
5,13,1.0,3.4615384615384617,7.467879938056768,-3.4615384615384617,0.6449020216370243,0.15384615384615385,0.23076923076923078,0.46153846153846156,0.3910256410256411,0.39743589743589747,0.3487179487179487,0.5384615384615384,0.6666666666666666,0.5,0.46153846153846156,0.9230769230769231,0.3076923076923077,0.6923076923076923,0.15384615384615385,0.23076923076923078
6,13,1.0,3.8461538461538463,7.337993857053428,-0.7692307692307693,0.23759548165574573,0.0,0.07692307692307693,0.19230769230769232,0.19230769230769232,0.17948717948717946,0.15384615384615385,0.23076923076923078,2.0,0.3333333333333333,0.3076923076923077,1.0,0.15384615384615385,0.6923076923076923,0.15384615384615385,0.3076923076923077
7,4,1.0,6.5,7.842193570679061,4.0,0.37240365016950633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.25,1.0,0.0,0.0,0.25,1.0
8,4,1.0,10.0,12.24744871391589,0.0,-0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.25,1.0,0.0,0.0,0.25,1.0
9,4,1.0,10.0,12.24744871391589,5.0,-0.5222329678670935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,1.0
10,4,1.0,7.5,8.660254037844387,2.5,-0.5773502691896257,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,0.0,0.75,0.0,0.0,0.0,0.75
11,4,1.0,10.0,12.24744871391589,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.5,1.0,0.0,0.0,0.5,1.0
