treatment_name,metric_scope,metric,generated_mean,human_mean,abs_error
CHIP2__GAME_1,game,final_surplus_ratio,0.5923226842766764,0.5267422587585121,0.06558042551816434
CHIP2__GAME_1,turn,proposer_net_surplus,0.2657407407407408,0.8212962962962962,0.5555555555555554
CHIP2__GAME_1,turn,trade_ratio,1.1064814814814814,0.9454707654666805,0.16101071601480088
CHIP2__GAME_1,turn,acceptance_rate,0.7916666666666666,0.4027777777777778,0.38888888888888884
CHIP2__GAME_2_ALT_PROFILE,game,final_surplus_ratio,0.6752155248619779,0.6810182725720562,0.005802747710078271
CHIP2__GAME_2_ALT_PROFILE,turn,proposer_net_surplus,0.28425925925925927,0.9722222222222222,0.6879629629629629
CHIP2__GAME_2_ALT_PROFILE,turn,trade_ratio,1.0451388888888888,0.8539981494842606,0.19114073940462828
CHIP2__GAME_2_ALT_PROFILE,turn,acceptance_rate,0.7962962962962963,0.39814814814814814,0.39814814814814814
CHIP3__GAME_1,game,final_surplus_ratio,0.4673766508761632,0.611695835541549,0.14431918466538585
CHIP3__GAME_1,turn,proposer_net_surplus,0.347979797979798,1.4652777777777777,1.1172979797979796
CHIP3__GAME_1,turn,trade_ratio,1.1877104377104377,0.9175411522633744,0.2701692854470633
CHIP3__GAME_1,turn,acceptance_rate,0.9242424242424242,0.5555555555555556,0.3686868686868686
CHIP3__GAME_2_ALT_PROFILE,game,final_surplus_ratio,0.4403582290253198,0.5673695802086812,0.12701135118336143
CHIP3__GAME_2_ALT_PROFILE,turn,proposer_net_surplus,0.3694444444444445,1.5671296296296295,1.197685185185185
CHIP3__GAME_2_ALT_PROFILE,turn,trade_ratio,1.2191358024691359,0.9641689714606381,0.2549668310084978
CHIP3__GAME_2_ALT_PROFILE,turn,acceptance_rate,0.9074074074074074,0.4583333333333333,0.4490740740740741
CHIP4__GAME_1,game,final_surplus_ratio,0.3720651309695235,0.5114705904481,0.13940545947857647
CHIP4__GAME_1,turn,proposer_net_surplus,0.39855072463768115,1.3361111111111112,0.9375603864734301
CHIP4__GAME_1,turn,trade_ratio,1.1924315619967794,1.0191945914168137,0.17323697057996568
CHIP4__GAME_1,turn,acceptance_rate,0.9710144927536232,0.5185185185185185,0.4524959742351047
CHIP4__GAME_2_ALT_PROFILE,game,final_surplus_ratio,0.3226443403641377,0.5620252069498449,0.23938086658570723
CHIP4__GAME_2_ALT_PROFILE,turn,proposer_net_surplus,0.4227053140096618,1.7481481481481482,1.3254428341384865
CHIP4__GAME_2_ALT_PROFILE,turn,trade_ratio,1.1360708534621577,1.0203924162257496,0.11567843723640814
CHIP4__GAME_2_ALT_PROFILE,turn,acceptance_rate,0.927536231884058,0.49074074074074076,0.4367954911433172
