player,most_aligned_count,most_aligned_share,top_k_probability_mass,top_k_probability_share
camel-pink-767,7,0.14583333333333334,5.2,0.10833333333333334
badger-red-5032,6,0.125,4.180000000000001,0.08708333333333335
bear-purple-7271,6,0.125,4.1,0.08541666666666665
butterfly-purple-4350,6,0.125,4.46,0.09291666666666666
squid-pink-8454,5,0.10416666666666667,3.9,0.08125
owl-orange-1045,4,0.08333333333333333,3.62,0.07541666666666667
dog-purple-778,3,0.0625,2.85,0.059375000000000004
camel-yellow-5577,2,0.041666666666666664,2.3400000000000003,0.04875000000000001
otter-orange-7286,2,0.041666666666666664,2.02,0.042083333333333334
peacock-red-7894,1,0.020833333333333332,2.08,0.043333333333333335
owl-yellow-8687,1,0.020833333333333332,1.51,0.03145833333333333
swan-purple-1670,1,0.020833333333333332,1.9000000000000001,0.03958333333333334
butterfly-yellow-2139,1,0.020833333333333332,1.9,0.03958333333333333
ram-green-9746,1,0.020833333333333332,2.0300000000000002,0.04229166666666667
peacock-purple-2249,1,0.020833333333333332,1.53,0.031875
peacock-red-7768,1,0.020833333333333332,2.0,0.041666666666666664
