metric,rmse,mae,r2,n_pairs
mean_contribution_rate,0.3225743474714009,0.28906233418600175,-10.697920979668398,40
punishment_rate,0.2471507277651697,0.13040831635728048,-5.9676877584950505,40
reward_rate,0.4184276918730787,0.2721323801855578,-10.188925915831758,40
normalized_efficiency,1.6576450077293527,0.6835439496418937,-255.26069484493593,40
