config,metric,sim_mean,human_mean,human_std
VALIDATION_0_C,mean_contribution_rate,1.0,0.6472222222222223,0.13295664381971467
VALIDATION_0_T,mean_contribution_rate,0.9666666666666667,0.7930555555555555,0.1414963573234395
VALIDATION_10_C,mean_contribution_rate,0.5,0.6462121212121212,0.26444060541541303
VALIDATION_10_T,mean_contribution_rate,0.48055555555555557,0.6497474747474747,0.18258361607631757
VALIDATION_11_C,mean_contribution_rate,1.0,0.7173659673659674,0.12467321894630179
VALIDATION_11_T,mean_contribution_rate,1.0,0.7867132867132867,0.1334403402497714
VALIDATION_12_C,mean_contribution_rate,1.0,0.7314814814814815,0.1484372179803833
VALIDATION_12_T,mean_contribution_rate,1.0,0.8310185185185185,0.11021533201034642
VALIDATION_13_C,mean_contribution_rate,0.5,0.8009191176470588,0.10391134694794413
VALIDATION_13_T,mean_contribution_rate,0.189453125,0.8798963903743315,0.0486939834780396
VALIDATION_14_C,mean_contribution_rate,0.5,0.7596125730994152,0.15871401102775579
VALIDATION_14_T,mean_contribution_rate,0.5635964912280702,0.8436038011695907,0.1060187698272115
VALIDATION_15_C,mean_contribution_rate,0.29120879120879123,0.6034798534798534,0.11100245932136879
VALIDATION_15_T,mean_contribution_rate,0.2857142857142857,0.6998001998001998,0.18675842070943022
VALIDATION_16_C,mean_contribution_rate,1.0,0.7533333333333333,0.1937734454153823
VALIDATION_16_T,mean_contribution_rate,1.0,0.7713333333333333,0.17238329385413192
VALIDATION_17_C,mean_contribution_rate,0.9473684210526315,0.5471695906432749,0.1251476996138901
VALIDATION_17_T,mean_contribution_rate,1.0,0.6059964012595591,0.10714780244840078
VALIDATION_18_C,mean_contribution_rate,1.0,0.5969202898550725,0.23757971887523557
VALIDATION_18_T,mean_contribution_rate,1.0,0.6657608695652174,0.24695391436927303
VALIDATION_19_C,mean_contribution_rate,0.75,0.6092672413793103,0.16705376111081227
VALIDATION_19_T,mean_contribution_rate,0.2025862068965517,0.704058908045977,0.16610778070475388
VALIDATION_1_C,mean_contribution_rate,0.5,0.5803819444444445,0.2506598761369985
VALIDATION_1_T,mean_contribution_rate,0.15104166666666666,0.5408854166666667,0.2190478812585371
