run_id,run_label,metric,n,mean,std,se,ci_low,ci_high,ci_half
2602262019,no archetype,contrib_mae,2810,4.068327402135231,6.997962403406966,0.13201353025595386,3.8095808828335613,4.3270739214369005,0.2587465193016696
2602262019,no archetype,target_f1,2810,0.4831506048320995,0.48247848532463955,0.009101747687189882,0.46531117936520733,0.5009900302989917,0.017839425466892166
2602262019,no archetype,action_exact_match,2810,0.4202846975088968,0.49369242245482464,0.009313293754928589,0.40203064174923675,0.43853875326855685,0.018254055759660034
2602262019,no archetype,target_hit_any,2810,0.5192170818505338,0.49971949325618503,0.009426991835558859,0.5007401778528384,0.5376939858482293,0.018476903997695363
2602270203,oracle archetype,contrib_mae,4373,3.376171964326549,6.513800486598062,0.09850192402736313,3.1831081932329175,3.5692357354201807,0.19306377109363174
2602270203,oracle archetype,target_f1,4373,0.6778936403828171,0.4448245654183857,0.006726652994438015,0.6647094005137185,0.6910778802519156,0.013184239869098509
2602270203,oracle archetype,action_exact_match,4373,0.6037045506517265,0.48918308265211013,0.007397444079229866,0.5892055602564359,0.618203541047017,0.014498990395290538
2602270203,oracle archetype,target_hit_any,4373,0.718271209695861,0.44989328061209655,0.0068033022869600215,0.7049367372134193,0.7316056821783027,0.013334472482441642
2602270212,retrieved archetype,contrib_mae,4590,3.869281045751634,6.891076854223903,0.10171400399169171,3.6699215979279183,4.06864049357535,0.19935944782371576
2602270212,retrieved archetype,target_f1,4590,0.6782521137568219,0.4500904687027163,0.0066434469820474,0.665230957672009,0.6912732698416348,0.013021156084812904
2602270212,retrieved archetype,action_exact_match,4590,0.6226579520697167,0.48477440774824315,0.007155390527178798,0.6086333866364463,0.6366825175029872,0.014024565433270445
2602270212,retrieved archetype,target_hit_any,4590,0.7100217864923747,0.4538014052065933,0.006698221325499526,0.6968932726943956,0.7231503002903538,0.01312851379797907
