tag,config_feature,config_value_0,config_value_1,cluster_mix_total_variation_distance,dominant_cluster_changes,actual_mean_contribution_gap,implied_mean_contribution_gap,actual_mean_punish_units_gap,implied_mean_punish_units_gap,actual_mean_reward_units_gap,implied_mean_reward_units_gap,actual_punish_any_round_rate_gap,actual_reward_any_round_rate_gap
RESPONSE_TO_PUNISHER,CONFIG_defaultContribProp,0,1,0.14852440043721468,False,-0.6734018839359486,-0.07616235240296376,-0.07495319021097402,-0.053609403769716346,-0.10044090387741739,-0.06125790886117666,0.011980899717541765,-0.002722524016199143
COMMUNICATION,CONFIG_rewardExists,False,True,0.14257068926430003,False,0.4263576151850259,-0.15634083114310826,-0.03578469827998598,-0.0016040810995329169,0.802657200313526,-0.010090672752934793,-0.0025138207705554805,0.1404798033980834
COMMUNICATION,CONFIG_showOtherSummaries,False,True,0.1354301082220297,False,-0.39881305659462996,0.03909153427966672,-0.00042306046207429837,0.005107499002773408,-0.27917935813282585,0.004794837232696414,0.0007999140791836029,-0.006845674103870623
RESPONSE_TO_PUNISHER,CONFIG_showOtherSummaries,False,True,0.13440428380187416,False,-0.6969810209648628,0.0784250093369181,-0.0013431436327825397,-0.09449729900819348,-0.29387120308794923,-0.03924770515108922,-0.0037860827743556313,-0.023072039026547482
COMMUNICATION,CONFIG_punishmentExists,False,True,0.12829904627394986,False,1.2570332960516488,0.059495233425852945,0.5673992434844606,0.013709787905346549,-0.35440498805927256,-0.008262860355299828,0.15781273037691348,-0.049196757482714265
REWARD,CONFIG_showRewardId,False,True,0.12436002246408234,False,-0.28730706952768337,0.20951381427588167,-0.031499395807690844,0.0452924328037268,0.18973905481291153,0.21396327401682746,-0.004385556783172817,0.02994555075353439
REWARD,CONFIG_showPunishmentId,False,True,0.12436002246408234,False,-0.28730706952768337,0.20951381427588167,-0.031499395807690844,0.0452924328037268,0.18973905481291153,0.21396327401682746,-0.004385556783172817,0.02994555075353439
PUNISHMENT,CONFIG_showOtherSummaries,False,True,0.12264297958547607,False,-0.10435562475838012,0.10292769392036227,0.05860672404531364,-0.03641568683152441,-0.18912536640781666,-0.015671824978314042,0.0077209902021730115,-0.00814198874574254
REWARD,CONFIG_showNRounds,False,True,0.11742708617708617,False,0.20085432255369717,0.20378988908442963,-0.008734809415462397,0.07054022648944802,-0.2679081142872264,-0.18076176903576202,0.017642659534325242,-0.04179168313572129
PUNISHMENT,CONFIG_showNRounds,False,True,0.1114672364672365,False,-0.5336136890111476,0.29786810659086527,0.09468142803143464,0.0933666143485058,-0.21698469859287825,0.003810397239442931,0.0368792132190269,-0.019773022373604683
RESPONSE_TO_REWARDER,CONFIG_defaultContribProp,0,1,0.1100780939490617,False,-0.3039658551525779,-0.007718244195142887,-0.0414420471854523,-0.018145047895140376,0.19476568630982982,0.04242200734937496,-0.0206563236392939,-0.010419095714886195
RESPONSE_TO_OTHERS_OUTCOME,CONFIG_allOrNothing,False,True,0.10994279592110047,False,0.4761185890173323,0.03108607283969178,0.10848276469616824,0.007707422776926209,0.04229248154002452,-0.09628039511041114,0.008474900888801734,-0.015560848188727494
PUNISHMENT,CONFIG_showRewardId,False,True,0.10485087964527672,False,-0.057512413159725995,0.2690390592773717,0.10566556416754846,0.015349626351051748,0.1004434412387967,0.018908938864538205,-0.00813072649713567,0.014811709778392919
PUNISHMENT,CONFIG_showPunishmentId,False,True,0.10485087964527672,False,-0.057512413159725995,0.2690390592773717,0.10566556416754846,0.015349626351051748,0.1004434412387967,0.018908938864538205,-0.00813072649713567,0.014811709778392919
RESPONSE_TO_END_GAME,CONFIG_showRewardId,False,True,0.09692264353468583,False,0.5147821079342236,0.4219434734700247,0.02851959374961499,0.031239183922590397,0.22760113987861694,0.05769132052900594,-0.015336765439297781,0.03174861353410983
RESPONSE_TO_END_GAME,CONFIG_showPunishmentId,False,True,0.09692264353468583,False,0.5147821079342236,0.4219434734700247,0.02851959374961499,0.031239183922590397,0.22760113987861694,0.05769132052900594,-0.015336765439297781,0.03174861353410983
RESPONSE_TO_OTHERS_OUTCOME,CONFIG_defaultContribProp,0,1,0.09398499615861647,False,-0.5398476073109961,-0.08992159385828558,0.040713684964059416,0.033730192045612006,-0.05588534317966465,-0.024603763485869068,0.020962584539546553,-0.0052078528951118724
RESPONSE_TO_PUNISHER,CONFIG_allOrNothing,False,True,0.09363071626375272,False,0.5289378250488781,-0.17045747627808971,0.027212737568253265,-0.09093414502602615,-0.17569449410103508,-0.013270600444220071,0.008518134434222224,0.012624546714786099
REWARD,CONFIG_allOrNothing,False,True,0.08771715211921122,False,0.8751453756365066,0.06079346271997288,0.014223583352864222,0.029019560221926866,0.06807368133171121,0.20989696521581436,0.005680141948622472,0.041252452787357424
RESPONSE_TO_REWARDER,CONFIG_showNRounds,False,True,0.08680817170042837,False,0.7195551227333894,0.13775124337226607,0.09251859127289952,0.004552595204325716,-0.0022080233426535756,0.11477457730719454,0.027932466512239087,-0.009651446372044153
COMMUNICATION,CONFIG_allOrNothing,False,True,0.07387658195074463,False,0.1603380068842526,0.041537893717244145,0.03775700396535553,-0.006953208071433958,-0.016306276794838703,0.018024654708200416,0.01025043282575018,0.02383316560606958
COMMUNICATION,CONFIG_showRewardId,False,True,0.06468351628318816,False,0.12867710762875717,0.027140067582408278,-0.0647061509948712,0.0068132510538240765,0.12410364245886796,-0.0013946674532018255,-0.02117579408413857,0.004908607369094334
COMMUNICATION,CONFIG_showPunishmentId,False,True,0.06468351628318816,False,0.12867710762875717,0.027140067582408278,-0.0647061509948712,0.0068132510538240765,0.12410364245886796,-0.0013946674532018255,-0.02117579408413857,0.004908607369094334
PUNISHMENT,CONFIG_allOrNothing,False,True,0.06383980039097527,False,0.7024363031829104,0.11868979309558547,0.0862561318518007,0.037282517267685056,-0.07788861581439194,-0.004035469536889047,0.007869399331945692,0.005525081350360388
COMMUNICATION,CONFIG_defaultContribProp,0,1,0.05931398553443659,False,0.09745075410027226,-0.10075394755587652,0.1352469117599383,-0.008056059448718789,0.15802577287276176,0.004455864573586321,0.02684906398781743,0.006751006992578051
RESPONSE_TO_PUNISHER,CONFIG_showNRounds,False,True,0.05841672202104181,False,0.3093728992741127,0.38766017815744647,0.04375004475456845,-0.08508759292613344,-0.27135444033048195,0.0001591672490349194,0.013714712567624715,-0.016577524977837037
RESPONSE_TO_OTHERS_OUTCOME,CONFIG_showRewardId,False,True,0.05396594882769956,False,-0.7348834054407174,-0.0034426449806392867,0.041207870856383555,0.025982731538352233,-0.07390231086903831,-0.013087377465076044,-0.005681257980492946,0.006370277237624622
RESPONSE_TO_OTHERS_OUTCOME,CONFIG_showPunishmentId,False,True,0.05396594882769956,False,-0.7348834054407174,-0.0034426449806392867,0.041207870856383555,0.025982731538352233,-0.07390231086903831,-0.013087377465076044,-0.005681257980492946,0.006370277237624622
REWARD,CONFIG_defaultContribProp,0,1,0.051002963057705006,False,-0.09179016410008423,0.04545098191834995,0.02685603688008259,-0.012614046729146067,0.10781792507612897,0.05313044076650475,-0.005593490004698387,0.005660868660811225
RESPONSE_TO_END_GAME,CONFIG_defaultContribProp,0,1,0.04966153127917833,False,0.6899540741924763,0.3604090564202451,0.02721934703136658,0.03426991982096511,0.25140109143188716,0.011657395473579912,0.011170589722423477,0.019243664405288505
PUNISHMENT,CONFIG_defaultContribProp,0,1,0.04234669033058324,False,-0.006148815231714622,0.1182658517707118,0.03191710922073665,-0.0014211758780052763,0.0030243131621454644,0.00012302634984290295,0.01780383501276986,0.009214254073779342
