tag,config_feature,config_value_0,config_value_1,cluster_mix_total_variation_distance,dominant_cluster_changes,actual_mean_contribution_gap,implied_mean_contribution_gap,actual_mean_punish_units_gap,implied_mean_punish_units_gap,actual_mean_reward_units_gap,implied_mean_reward_units_gap,actual_punish_any_round_rate_gap,actual_reward_any_round_rate_gap
RESPONSE_TO_OTHERS_OUTCOME,CONFIG_punishmentExists,False,True,0.6810065297021818,True,1.8509272398880867,1.7723078264389844,0.7952895084455786,0.7115465496185301,-0.2722104983621936,-0.22340320648976186,0.20341550237137543,-0.06477060809028634
PUNISHMENT,CONFIG_chat,False,True,0.48440203151857686,False,2.5406437950496947,1.090791901432107,-0.39818132372097037,-0.38828112354741684,-0.18074952739858535,-0.028185786154584225,-0.08175997622490588,-0.035940386906594325
RESPONSE_TO_OTHERS_OUTCOME,CONFIG_chat,False,True,0.4645351704521561,False,2.7503191022632247,1.2586220853308294,-0.2260424812809148,-0.14655144517211832,-0.1876286190489771,-0.1095329402309988,-0.04472913946571276,-0.048946052659911164
REWARD,CONFIG_chat,False,True,0.40822885708104173,False,2.477799454067812,0.4754848825942215,-0.11995116954333856,0.005644431411248707,-0.13714410077066042,-0.3205408515828485,-0.027251269274020412,-0.0831603011378041
REWARD,CONFIG_punishmentExists,False,True,0.40586228464206514,False,1.4622898673008091,0.6948410078121796,0.6582429166623468,0.27854274493358133,-0.5880929597388642,-0.515344185192226,0.1848373509681992,-0.12780730441633995
RESPONSE_TO_PUNISHER,CONFIG_chat,False,True,0.3967241230530267,False,2.411413394889216,2.1489045841046366,-0.5797266214186722,-0.2748406108681519,-0.3977226625839356,-0.09021968608290742,-0.10819859438301885,-0.05780828387181347
RESPONSE_TO_REWARDER,CONFIG_chat,False,True,0.3522402654478334,False,2.768292709898107,0.6901493900047022,-0.21268539017829102,0.04210037433653885,-0.027914197838522337,-0.42249741929858387,-0.060660260804392484,-0.09066106552078454
RESPONSE_TO_REWARDER,CONFIG_punishmentExists,False,True,0.29625570776255705,False,1.4302831536621134,0.5094262101913891,0.6205161783450281,0.08271435185323422,-0.6062706928585827,-0.5107624158945109,0.17864181600325887,-0.1343112429062781
RESPONSE_TO_END_GAME,CONFIG_punishmentExists,False,True,0.27916437389385096,False,1.5909360965222596,1.2407303539591386,0.8094871951711473,0.43025264057177315,-0.35822115996556336,0.008449738555797226,0.21666467200856915,-0.059564784310902265
RESPONSE_TO_OTHERS_OUTCOME,CONFIG_rewardExists,False,True,0.24212538226299693,False,0.050719300211216733,0.9105460225020803,-0.2016379361993465,-0.022272374846153797,0.6509303824090822,0.20455752413534448,-0.018735124604362066,0.17380512168769346
RESPONSE_TO_END_GAME,CONFIG_chat,False,True,0.24150415625323043,False,2.195439841598782,1.1125527135617759,-0.1567814677310324,-0.008123556382375663,-0.010803229497629185,0.16329281451011884,-0.02842306239207945,-0.04324101159353695
RESPONSE_TO_PUNISHER,CONFIG_rewardExists,False,True,0.2275668449197861,False,0.33580692991845673,0.8213240331864071,-0.38289194574346097,-0.14220064093196982,0.6587073292776006,-0.008306427511430015,-0.030609274323087632,0.1302708797911996
RESPONSE_TO_END_GAME,CONFIG_rewardExists,False,True,0.2214441332088391,False,1.4506955727642694,1.245397570039012,-0.13829049839838398,0.07872372261271265,0.7442907088029755,0.04313984365830592,-0.010477476985159023,0.16362044328142028
RESPONSE_TO_REWARDER,CONFIG_showOtherSummaries,False,True,0.2003093580819799,False,-1.9703502350844282,-0.5055987091231842,-0.15690042937941773,-0.03815406269394739,-0.7698801146460081,-0.3522181530817118,0.0004140896007811534,-0.0326242580538712
RESPONSE_TO_REWARDER,CONFIG_allOrNothing,False,True,0.18780561197622808,False,1.249741316700547,0.07434566377694374,-0.059743355491105876,-0.009569176559205417,-0.28179225795654406,0.20662032448082357,0.002049563018762135,0.03868911538675615
RESPONSE_TO_OTHERS_OUTCOME,CONFIG_showNRounds,False,True,0.18119514186568686,False,-0.2714076101785654,-0.2557195450448049,0.07713207425340307,0.00501424761193342,-0.18107327436891638,-0.07080283180609115,0.014963276440403114,-0.015615829171449838
RESPONSE_TO_END_GAME,CONFIG_allOrNothing,False,True,0.1776552888645205,False,0.9732368628603183,0.6378411878204062,0.09867603594578173,0.03437611578393268,-0.05230680327307774,-0.024680626614267398,0.005233416679796002,0.01217428457392096
PUNISHMENT,CONFIG_rewardExists,False,True,0.1771504357711255,False,0.6127618940471713,0.37969854625502286,-0.2075635426518978,-0.046223315442006974,0.5769894293653511,0.02816790680971426,-0.02730867669189782,0.11917499052134897
COMMUNICATION,CONFIG_showNRounds,False,True,0.17499413925138707,False,-1.4958809216843019,-0.5016507039772513,0.08111766860051337,-0.0031430781258327545,-0.03713669782708734,-0.03768525400645617,0.02939110183355527,-0.014671498668287028
REWARD,CONFIG_showOtherSummaries,False,True,0.1672860655177909,False,-1.0742539878616295,0.09443051375048483,-0.06368031608550806,0.05366988213848062,-0.46493279493642103,-0.12638565955357206,0.0017154252952345933,-0.02100315100093139
RESPONSE_TO_END_GAME,CONFIG_showOtherSummaries,False,True,0.1551048136645963,False,-0.01863609109457265,-0.15408248656210155,0.08239225309003673,0.1196139588147388,-0.24494069770004015,-0.013378608125205749,0.007059327541685895,0.0003551839570331977
