cluster_id,cluster_title,n_player_game_rows,mean_contribution,mean_punish_units,mean_reward_units,punish_any_round_rate,reward_any_round_rate,tag
4,Group / Cooperative / Low,254,18.633168786307635,0.22893601815936002,0.3421843627288771,0.067230650559179,0.06007430325976606,COMMUNICATION
6,Group / Norm / Cooperative,184,18.302467390507687,0.636219329978502,0.28235035051396606,0.13066671683538164,0.034039696160691586,COMMUNICATION
5,Group / Cooperative / Social,360,18.105334137898044,0.20990747680893562,0.616146990189769,0.06516186122394804,0.0793547483305265,COMMUNICATION
2,Group / Low / Cooperative,257,15.640881594154067,0.0897034119790932,0.35762350707597595,0.037593390517657956,0.06428046210775802,COMMUNICATION
0,Unknown / Chat / Chat Content,129,15.110901756314401,0.42746967115172174,0.13072438277636636,0.10063465172685168,0.044099475775622364,COMMUNICATION
3,Low / Group / Chat,225,14.857316682147356,0.262105443110633,0.36582018205581734,0.09064722218322224,0.06974809561144799,COMMUNICATION
1,Social / Chat / Low,350,14.564655123459103,0.2873681785808298,0.26276753684625875,0.08074352356323589,0.07049338044400183,COMMUNICATION
2,Punishment / Use / Non,287,17.677437302128485,0.00015837820715869496,0.3701911148245385,0.00015837820715869496,0.06533286408351195,PUNISHMENT
5,Punishment / Punish / Norm,183,17.659032444618607,1.5671250066227176,0.30874232845809907,0.45238572140973804,0.08133220265848413,PUNISHMENT
3,Punishment / Punish / Norm,184,17.545826023810015,0.2821179936905909,0.24175445490649683,0.14292492064035192,0.05432271018343597,PUNISHMENT
4,Punishment / Punish / Low,265,15.004007430168876,0.5233364066984302,0.4394347091217155,0.2590885267482871,0.06805661422136966,PUNISHMENT
6,Punishment / Punish / Norm,274,14.81852853358646,2.990429661150991,0.2846480807897947,0.5767981740901615,0.0711570589930401,PUNISHMENT
0,Punishment / Non / Use,229,14.811500306982936,0.0006758161779995841,0.02543392903012734,0.0006758161779995841,0.01010727435078835,PUNISHMENT
1,Punishment / Non / Low,274,14.634707740058847,0.01505203108186288,0.22269985064904219,0.003814018768001631,0.04851746639425596,PUNISHMENT
3,Reward / Punishment / Rewards,128,17.455453036051267,1.8712915208069816,0.005892854401744488,0.4644497620146334,0.005111604401744488,REWARD
1,Reward / Rewards / Use,195,16.579206826931557,0.4923513524540534,1.178119936465011,0.16354112044557226,0.2845557732102587,REWARD
5,Reward / Rewards / Use,340,16.015184285504404,0.031224387449450396,0.014711841962962918,0.014721430726910047,0.0069079039429071456,REWARD
0,Reward / Rewards / Rewarding,307,15.470911722015213,0.2767768809852365,3.596064083666186,0.05786878887148511,0.6517464293202256,REWARD
6,Reward / Rewards / Rewarding,195,14.647265518915807,0.01616705581617862,0.14866643611065516,0.010775942705767268,0.012771067111837904,REWARD
2,Reward / Rewards / Rewarding,165,14.451710139483097,0.248804894902258,0.5527951368316318,0.08156643078955453,0.2724336800016831,REWARD
4,Reward / Rewards / Rewarding,348,14.388480703370094,0.18136982672315352,0.021018646136124162,0.06185658197882422,0.007339414742220692,REWARD
2,End / Round / End,333,18.756419730698962,0.11720326571729302,0.393045871669501,0.03219659620929574,0.11041039707174778,RESPONSE_TO_END_GAME
0,End / End / Cooperation,341,18.638576275395227,0.13080047104794693,0.2775811003827214,0.05172558298758481,0.05428007291714907,RESPONSE_TO_END_GAME
6,End / Punishment / Round,189,17.535079221048935,2.1552838439737614,0.23557552210610372,0.48584777609357754,0.07139627725646808,RESPONSE_TO_END_GAME
3,End / Round / Final,160,15.992402251246656,0.2368963780784433,1.2106070402298852,0.06954907863875255,0.09135237068965517,RESPONSE_TO_END_GAME
4,End / End / Horizon,259,12.341827362001045,0.3004481122211963,0.32614766699886955,0.08986304934668989,0.10151976654801922,RESPONSE_TO_END_GAME
1,End / End / Cooperation,317,12.135854126704055,0.21980409359385858,0.22272087242473917,0.07307476688675911,0.0707218468157098,RESPONSE_TO_END_GAME
5,End / Cooperation / Round,217,6.075995105683642,0.13965275361782561,0.11166856904670161,0.05251638331445666,0.042715093166695736,RESPONSE_TO_END_GAME
2,Group / Punishment / Outcomes,225,17.95859463787002,0.22192437549455094,0.2726620938371871,0.07258409480924101,0.06420608220632915,RESPONSE_TO_OTHERS_OUTCOME
4,Punishment / Payoffs / Reward,272,16.435815019198188,0.060452018400801354,0.019280314813552198,0.015388087011122,0.012894786464281452,RESPONSE_TO_OTHERS_OUTCOME
1,Punishment / Payoffs / Contributions,290,15.552986511681652,1.0352752026111343,0.16380944807987655,0.27360012743676415,0.05608876671639931,RESPONSE_TO_OTHERS_OUTCOME
5,Reward / Contributions / Payoffs,289,15.51183758690128,0.002757036767235274,0.27422614841632864,0.002574920577105971,0.06445375670593852,RESPONSE_TO_OTHERS_OUTCOME
0,Punishment / Payoffs / High,202,14.959986345930611,1.5971251088693814,0.3279671903361901,0.37070686150936283,0.08855823604011893,RESPONSE_TO_OTHERS_OUTCOME
