tag,config_feature,config_value,n_player_game_rows,n_games,top_cluster_id,top_cluster_title,top_cluster_share,actual_mean_contribution,actual_mean_punish_units,actual_mean_reward_units,actual_punish_any_round_rate,actual_reward_any_round_rate,implied_mean_contribution,implied_mean_punish_units,implied_mean_reward_units,implied_punish_any_round_rate,implied_reward_any_round_rate
COMMUNICATION,CONFIG_punishmentExists,False,898,84,0,Unknown / Chat / Chat Content,0.05011135857461024,15.887226797199759,0.0,0.5394393231213653,0.0,0.08813144429669124,16.473400914266733,0.2710213878644782,0.37000875350617457,0.07554572214825973,0.06428524387426844
COMMUNICATION,CONFIG_punishmentExists,True,861,80,0,Unknown / Chat / Chat Content,0.0975609756097561,17.144260093251408,0.5673992434844606,0.1850343350620928,0.15781273037691348,0.03893468681397698,16.532896147692586,0.28473117576982476,0.36174589315087474,0.0790205602385427,0.0638056368480486
COMMUNICATION,CONFIG_showRewardId,False,954,88,0,Unknown / Chat / Chat Content,0.05555555555555555,16.443634185635982,0.3073446277379146,0.30916864267882843,0.08693762085972374,0.06180407810866513,16.490102245463902,0.27461403157577724,0.36660249116047494,0.07661713635500551,0.06436650106642151
COMMUNICATION,CONFIG_showRewardId,True,805,76,0,Unknown / Chat / Chat Content,0.09440993788819876,16.57231129326474,0.2426384767430434,0.4332722851376964,0.06576182677558517,0.06671268547775946,16.51724231304631,0.2814272826296013,0.3652078237072731,0.07799256244949969,0.06367597553775997
COMMUNICATION,CONFIG_showNRounds,False,804,76,0,Unknown / Chat / Chat Content,0.08706467661691543,17.314669632963817,0.23369151513736794,0.38612656115765565,0.06128951597696261,0.07201596563585959,16.77488006053048,0.2794385379478629,0.38642438443866606,0.07695519856373213,0.06398176416502326
COMMUNICATION,CONFIG_showNRounds,True,955,88,0,Unknown / Chat / Chat Content,0.061780104712041886,15.818788711279515,0.3148091837378813,0.3489898633305683,0.09068061781051788,0.05734446696757256,16.27322935655323,0.27629545982203013,0.3487391304322099,0.07749191749663023,0.06410833920061174
COMMUNICATION,CONFIG_showPunishmentId,False,954,88,0,Unknown / Chat / Chat Content,0.05555555555555555,16.443634185635982,0.3073446277379146,0.30916864267882843,0.08693762085972374,0.06180407810866513,16.490102245463902,0.27461403157577724,0.36660249116047494,0.07661713635500551,0.06436650106642151
COMMUNICATION,CONFIG_showPunishmentId,True,805,76,0,Unknown / Chat / Chat Content,0.09440993788819876,16.57231129326474,0.2426384767430434,0.4332722851376964,0.06576182677558517,0.06671268547775946,16.51724231304631,0.2814272826296013,0.3652078237072731,0.07799256244949969,0.06367597553775997
COMMUNICATION,CONFIG_rewardExists,False,957,90,0,Unknown / Chat / Chat Content,0.06583072100313479,16.308128935074734,0.2940477979878734,0.0,0.07839274878482548,0.0,16.57380497484458,0.2784634574655747,0.3705649768046058,0.0765461498084532,0.06361506760378537
COMMUNICATION,CONFIG_rewardExists,True,802,74,0,Unknown / Chat / Chat Content,0.08229426433915212,16.73448655025976,0.2582630997078874,0.802657200313526,0.07587892801427,0.1404798033980834,16.417464143701473,0.2768593763660418,0.360474304051671,0.0780824133264748,0.0645700531526687
COMMUNICATION,CONFIG_showOtherSummaries,False,890,83,0,Unknown / Chat / Chat Content,0.09662921348314607,16.699548692641034,0.277941096180593,0.5038874001528559,0.076851413029967,0.06743245771547839,16.483210381401825,0.27520883002087004,0.3635954298443631,0.07590291648327892,0.06358864931896989
COMMUNICATION,CONFIG_showOtherSummaries,True,869,81,0,Unknown / Chat / Chat Content,0.04948216340621404,16.300735636046404,0.2775180357185187,0.22470804202003009,0.0776513271091506,0.06058678361160776,16.522301915681492,0.28031632902364345,0.3683902670770595,0.07862274474614991,0.06452348035831956
