metric_family,metric,distance_kind,n_groups,mean_value,median_value,stderr,run_name,run_label
payoff_distribution_distance,sender_expected_payoff,wasserstein_1d,4,0.1652426072469804,0.1640306122448979,0.0098605775871788,baseline_gpt_5_mini,Baseline
payoff_distribution_distance,sender_expected_payoff,wasserstein_1d,4,0.1570349293563579,0.1554754429244225,0.0149209815749731,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
payoff_distribution_distance,sender_expected_payoff,wasserstein_1d,4,0.064547193877551,0.0581653911564625,0.0217762618332254,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
payoff_distribution_distance,sender_expected_payoff,wasserstein_1d,4,0.0786401952085182,0.0864729370008873,0.0217936502466846,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
payoff_distribution_distance,receiver_expected_payoff,wasserstein_1d,4,0.0143773427738441,0.0163265306122448,0.0053554205154332,baseline_gpt_5_mini,Baseline
payoff_distribution_distance,receiver_expected_payoff,wasserstein_1d,4,0.0152203408836061,0.0162446736936532,0.0051436020437903,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
payoff_distribution_distance,receiver_expected_payoff,wasserstein_1d,4,0.0081494472789115,0.0091198979591836,0.0030267915447658,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
payoff_distribution_distance,receiver_expected_payoff,wasserstein_1d,4,0.0080201863354037,0.0086512866015971,0.0025935901176525,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
payoff_distribution_distance,pd_expected_payoff,wasserstein_1d,4,0.7268658892128279,0.7270918367346938,0.108336706685447,baseline_gpt_5_mini,Baseline
payoff_distribution_distance,pd_expected_payoff,wasserstein_1d,4,0.7177856582193317,0.6573469387755102,0.1341985797455692,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
payoff_distribution_distance,pd_expected_payoff,wasserstein_1d,4,0.6089678996598639,0.605408163265306,0.1132335140984202,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
payoff_distribution_distance,pd_expected_payoff,wasserstein_1d,4,0.6165150842945873,0.5718367346938775,0.122969457766784,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
payoff_distribution_distance,sh_expected_payoff,wasserstein_1d,4,0.3882533319450229,0.2668877551020407,0.1520456654081994,baseline_gpt_5_mini,Baseline
payoff_distribution_distance,sh_expected_payoff,wasserstein_1d,4,0.3307706324287956,0.2041747028481722,0.1681171309762649,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
