role_slice,game,n_case_groups,mean_abs_error_relative_payoff_diff_pct,median_abs_error_relative_payoff_diff_pct,summary_scope,run_name,run_label
both,Proposer,4,24.722727102644512,27.511272566695297,by_game,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
both,Responder,4,15.252568651335698,9.789982891864796,by_game,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
no,Sender,4,3.4797961990912256,3.0626945355770263,by_game,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
no,Receiver,4,0.0798085210167193,0.0717190037578419,by_game,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
no,PD,4,17.733515833463787,20.289913106154657,by_game,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
no,SH,4,7.029411357707684,1.4650327098498117,by_game,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
no,C,4,8.340689947374461,8.609578941619795,by_game,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
no,Proposer,4,48.862752624639185,53.63117314663165,by_game,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
no,Responder,4,21.792761897654884,15.73824526289208,by_game,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
yes,Sender,4,2.1682048909953844,2.5435286620804187,by_game,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
yes,Receiver,4,0.1686851062144695,0.1011443514968291,by_game,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
yes,PD,4,14.53672563771471,15.299796507500837,by_game,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
yes,SH,4,1.6798877829186627,1.1432235463388785,by_game,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
yes,C,4,8.019544488060674,9.674512588061813,by_game,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
yes,Proposer,4,3.2373507266095833,2.8642141961153778,by_game,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
yes,Responder,4,9.39537084203636,4.896892411970821,by_game,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
both,Sender,3,2.6931460131106992,2.432114210022829,by_game_non_benchmark,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
