role_slice,game,n_case_groups,mean_abs_error_relative_payoff_diff_pct,median_abs_error_relative_payoff_diff_pct,summary_scope
both,Sender,4,2.8133867567416844,2.8031115988287336,by_game
both,Receiver,4,0.09601067234421556,0.045141859979386245,by_game
both,PD,4,16.120923584484228,14.305995930150017,by_game
both,SH,4,4.134949584740372,1.8383050391418465,by_game
both,C,4,8.180117217717573,9.142045764840818,by_game
both,Proposer,4,24.722727102644512,27.511272566695297,by_game
both,Responder,4,15.252568651335698,9.789982891864796,by_game
no,Sender,4,3.4797961990912256,3.0626945355770263,by_game
no,Receiver,4,0.07980852101671931,0.0717190037578419,by_game
no,PD,4,17.733515833463787,20.289913106154657,by_game
no,SH,4,7.029411357707684,1.4650327098498117,by_game
no,C,4,8.340689947374461,8.609578941619795,by_game
no,Proposer,4,48.862752624639185,53.63117314663165,by_game
no,Responder,4,21.792761897654884,15.738245262892079,by_game
yes,Sender,4,2.1682048909953844,2.5435286620804187,by_game
yes,Receiver,4,0.16868510621446953,0.1011443514968291,by_game
yes,PD,4,14.53672563771471,15.299796507500837,by_game
yes,SH,4,1.6798877829186627,1.1432235463388785,by_game
yes,C,4,8.019544488060674,9.674512588061813,by_game
yes,Proposer,4,3.2373507266095833,2.8642141961153778,by_game
yes,Responder,4,9.39537084203636,4.896892411970821,by_game
both,Sender,3,2.6931460131106992,2.432114210022829,by_game_non_benchmark
both,Receiver,3,0.03998361823563945,0.0447941133449814,by_game_non_benchmark
both,PD,3,13.066050728726418,14.145094884293218,by_game_non_benchmark
both,SH,3,4.710788462531827,1.2691771269176866,by_game_non_benchmark
both,C,3,6.499876072810384,8.945442630113057,by_game_non_benchmark
both,Proposer,3,22.480177859443234,23.572170301142258,by_game_non_benchmark
both,Responder,3,8.810127791308856,8.943425166656848,by_game_non_benchmark
no,Sender,3,3.70299237397627,3.315181396717959,by_game_non_benchmark
no,Receiver,3,0.06925299985350113,0.03196292300930992,by_game_non_benchmark
no,PD,3,15.95116665392564,19.3507169561308,by_game_non_benchmark
no,SH,3,9.166318186865503,1.9625909886667348,by_game_non_benchmark
no,C,3,6.41390721124215,6.946644093714161,by_game_non_benchmark
no,Proposer,3,42.79358684672395,40.19209633487841,by_game_non_benchmark
no,Responder,3,14.902115205274123,14.79668697276167,by_game_non_benchmark
yes,Sender,3,1.711603087716133,1.5490470233276987,by_game_non_benchmark
yes,Receiver,3,0.0870128357203237,0.08870574827017919,by_game_non_benchmark
yes,PD,3,10.218793873140571,9.583076995882834,by_game_non_benchmark
yes,SH,3,0.8301593832231022,0.5630102280191567,by_game_non_benchmark
yes,C,3,6.5858449343785965,8.40478400961171,by_game_non_benchmark
yes,Proposer,3,2.6686703915490106,0.7850366604394532,by_game_non_benchmark
yes,Responder,3,3.4905106764489795,4.882532023665931,by_game_non_benchmark
both,ALL,4,10.188669081429754,7.896921378426913,overall
no,ALL,4,15.331248054421135,8.773093769496521,overall
yes,ALL,4,5.600824210649977,2.6307235827458695,overall
